Minister,Start Date of Trip,End Date of Trip,Destination,Purpose of Trip,Mode of Transport,"Cost of private jet or RAF plane hire, if relevant (£)",Number of officials who accompanied minister if non-scheduled travel was used,"Accompanied by spouse, family member(s) or friend at public expense?","Total cost (for minister only) including all visas, accommodation, travel, meals etc (£)"
Liz Sugg,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return
Dominic Raab ,23/11/2020,23/11/2020,"Berlin, Germany ",Bilateral visit,RAF flight,"£4,363.73",3,No,"£1,091"
Dominic Raab ,14/12/2020,18/12/2020,"New Delhi, Bangalore, India",Bilateral visit,Scheduled flight,"£2,000.00",8,No,"£2,482"
Wendy Morton,07/10/2020,08/10/2020,"Warsaw, Poland",Bilateral visit,Scheduled flight,Nil Return,Nil Return,No,£72
Wendy Morton,16/11/2020,19/11/2020,"Moscow, Russia",Bilateral visit ,Scheduled flight,Nil Return,Nil Return,No,£440
Wendy Morton,01/12/2020,03/12/2020,"Belgrade, Serbia",Bilateral visit,Scheduled flight,Nil Return,Nil Return,No,£807
James Cleverly ,17/10/2020,21/10/2020," Muscat, Oman; Doha, Qatar ",Official Ministerial business,Scheduled flight,Nil Return,Nil Return,No,"£5,400"
James Cleverly ,09/11/2020,13/11/2020,"Abu Dhabi, Dubai, UAE;  Manama, Bahrain ",Official Ministerial business,Scheduled flight,Nil Return,Nil Return,No,"£1,200"
James Cleverly ,29/11/2020,04/12/2020,"Erbil, Baghdad, Iraq; Beirut, Tripoli, Lebanon",Official Ministerial business,Scheduled flight,Nil Return,Nil Return,No,"£5,000"
Nigel Adams,18/11/2020,21/11/2020,"Manila, Philippines",Bilateral discussions in support of the pacific tilt. ,Scheduled flight,Nil Return,Nil Return,No,"£4,185.10"
Tariq Ahmad,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return
James Duddridge,05/10/2020,07/10/2020,"Lilongwe, Malawi","To cement the UK’s historically close relationship with the new government. To explore with the new President areas where the UK can support his planned reform agenda, including on anti-corruption and long-term economic development.  Discuss Malawi's expectations for COP26 and also discuss post-COVID plans.",Scheduled flight,Nil Return,Nil Return,No,"£3,611.96"
James Duddridge,08/10/2020,09/10/2020,"Lusaka, Zambia ",Discuss Zambian government plans to manage economic challenges.  Discuss Zambia's expectations for COP26 and also discuss post-COVID plans.,Scheduled flight,Nil Return,Nil Return,No,Included with above
James Duddridge,20/10/2020,22/10/2020," Juba, South Sudan ",Underline continued UK commitment to South Sudan and highlight FCDO delivery on the force for good agenda. Inject momentum on peace process implementation. Visit Pibor to review humanitarian situation following flooding. ,Scheduled flight,Nil Return,Nil Return,No,"£3,325.96"
James Duddridge,23/11/2020,24/11/2020,"Brazzaville, Republic of Congo","Show support for democratic process ahead of Presidential elections in 2021.  Reaffirm UK interest in enhanced dialogue, and in a strategic bilateral relationship based on issues of mutual interest such as climate.",Scheduled flight,Nil Return,Nil Return,No,"£3,086.57"
James Duddridge,24/11/2020,26/11/2020,"Kinshasa, Democratic Republic of Congo","To discuss democratic and governance reforms.  Ahead of COP26, seek greater commitment from DRC to protect its natural resources.",Scheduled flight & internal UN charter flight,"£18,880",8,No,"£19,180"
James Duddridge,07/12/2020,10/12/2020,"Nairobi, Kenya ","Showcase the strength, range and impact of the UK-Kenya relationship.  Reassure Kenya of the UK’s continued commitment to the bilateral relationship and emphasise the importance of Kenya to the UK for mutual prosperity and as a regional ally.",Scheduled flight,Nil Return,Nil Return,No,"£3,110.32"
James Duddridge,08/12/2020,09/12/2020," Mogadishu, Somalia",To press the Somalia government to complete key tasks that need to be done under the current administration.  To lay the strongest foundations for the incoming administration.  To underline the UK’s continuing intent to be one of Somalia’s leading partners.,Private charter in-country,"£16,302.92",12,No,"£16,302.92"
