Minister      ,Date,Person or organisation that offered hospitality,Type of hospitality received,"Accompanied by spouse, family member(s) or friend"
James Cleverly,16/10/2022,British Film Institute,London Film Institute tickets,Yes
James Cleverly,20/11/2022,Government of Qatar,World Cup Opening Ceremony ticket,No
James Cleverly,21/11/2022,Government of Qatar,World Cup England v Iran match tickets,No
Tariq Ahmad,11/12/2022,Government of Qatar,World Cup Quarter Final tickets (accompanied by Private Secretary),No
Leo Docherty,Nil return,Nil return,Nil return,Nil return
Vicky Ford,Nil return,Nil return,Nil return,Nil return
Zac Goldsmith,Nil return,Nil return,Nil return,Nil return
Gillian Keegan,19/10/2022,British University in Egypt,Breakfast,No
Gillian Keegan,19/10/2022,Price Waterhouse Coopers,Lunch,No
Andrew Mitchell,20/12/2022,Soros Foundation  ,Dinner,No
Andrew Mitchell,12/12/2022,Conservative Friends of Israel lunch,Lunch,No
Jesse Norman,Nil return,Nil return,Nil return,Nil return
David Rutley,Nil return,Nil return,Nil return,Nil return
Anne-Marie Trevelyan ,28/11/2022,National Press Club,Lunch ,No
Anne-Marie Trevelyan ,29/11/2022,"Teal Independent MPs: Dr Sophie Scamps MP, Kate Chaney MP, Allegra Spender MP and Dr Monique Ryan ",Breakfast ,No
Anne-Marie Trevelyan ,01/12/2022,Australian Shadow Foreign Minister Simon Birmingham,Breakfast ,No
