Name,Start date of trip,Duration of Visit (Days),Destination,Purpose of trip (specific),Mode of transport,Class of travel,Accommodation / Meals,Other (including hospitality given),"Total cost, including all visas, accommodation, travel, meals etc. (£)",Total Cost of Use of Official Secure Car
John Manzoni,04/07/18,2,Cardiff,Civil Service Live,Rail,Standard,Y,,£158.10,
John Manzoni,09/07/18,1,London,Time Saved Justified,Taxi,,,,£22.15,
John Manzoni,11/07/18,2,Newcastle,Civil Service Live,Rail,First,Y,,£633.60,
John Manzoni,20/09/18,1,Belfast,"The Future of Data in the Public Sector, Northern Ireland (NICS event)",Air,Economy,,,£282.77,
Mark Sedwell,2018-07-02 - 2018-09-30,,Various,Various,Government Car,,,,,"£21,769.97"
Andy Helliwell,04/07/18,2,Waterloo - Winchester - Waterloo,Conference Attendance - Deloitte Shared Services Conference,Rail,Standard,Y,,£132.50,
Andy Helliwell,02/08/18,1,Paddington - Swindon - Paddington,Meeting with External Bodies - UKSBS,Rail,Standard,,,£64.70,
Andy Helliwell,06/09/18,1,Marylebone - Warwick - Marylebone,Conference Attendance - Shared Services Discussion Forum,Rail,Standard,,,£51.50,
Gareth Rhys Williams,23/08/18,1,Londoin - Norwich,Meeting with Commercial Policy in Norwich,Rail,Standard,,,£30.50,
Gareth Rhys Williams,12/09/18,1,London - Leeds,Commercial Conference,Rail,Standard,,,£187.00,
Gareth Rhys Williams,04/07/18,1,London - Liverpool,Carillion Town Hall,Rail,Standard,,,£147.00,
Gareth Rhys Williams,03/07/18,3,London - Wolverhampton,CCS Board,Taxi,,,,£34.40,
Gareth Rhys Williams,27/09/18,1,Kingston,EXCO  ,Taxi,,,,£14.59,
Gareth Rhys Williams,04/07/18,1,London,Carillion Town Hall Meeting,Taxi,,,,£26.09,
Gareth Rhys Williams,12/09/18,1,Lodnon,Event Attendance,Taxi,,,,£20.00,
Gareth Rhys Williams,24/09/18,1,Liverpool,Internal Meeting,taxi,,,,£7.00,
Gareth Rhys Williams,26/09/18,1,London,Internal Meeting,Taxi,,,,£6.60,
Jonathan Black,06/07/18,1,Ayelsbury,Attendance at meeting of the Cabinet,Taxi,,,,£172.03,
Jonathan Black,16/07/18,1,Brussels,Negotiations in Brussels,Rail,Business,,,£492.50,
Jonathan Black,24/07/18,3,Brussels,Negotiations in Brussels,Rail,Business,Y,,£815.49,
Jonathan Black,30/08/18,2,Brussels,Negotiations in Brussels,Rail,Business,Y,,£810.29,
Jonathan Black,06/09/18,1,Prague,Meeting with Czech government officials,Flight / Taxi,Economy,Y,,£854.41,
Jonathan Black,06/09/18,2,Budapest,Meeting with Hungarian government officials,Flight / Taxi,Economy,Y,,£722.81,
Jonathan Black,10/09/18,1,Lisbon,Meeting with Portuguese government officials,Air,Economy,Y,,£690.33,
Jonathan Black,11/09/18,2,Brussels,Negotiations in Brussels,Rail,Business,Y,,£432.66,
Jonathan Black,12/09/18,2,Vlinius,Meeting with Lithuanian government officials,Flight / Taxi,Economy,Y,,£658.69,
Jonathan Black,13/09/18,1,Tallinn,Meeting with Estonian government officials,Air,Economy,Y,,£159.54,
Jonathan Black,13/09/18,2,Brussels,Negotiations in Brussels,Rail / Flight / Taxi,"Economy, business",Y,,£736.13,
Jonathan Black,20/09/18,1,Brussels,Negotiations in Brussels,Rail,Business,,,£278.50,
Jonathan Black,20/09/18,2,London,Meeting with German government officials,Flight / Taxi,Economy,Y,,£590.81,
William Priest,02/07/18,1,Cheltenham,Internal Meeting,Rail,Standard,,,£311.50,
William Priest,05/07/18,1,London,Internal Meeting,Rail,Standard,,,£23.80,
William Priest,09/07/18,4,London,Internal Meeting,Rail,Standard,,,£314.60,
William Priest,12/07/18,4,London,Internal Meeting,Rail,Standard,,,£176.60,
William Priest,16/07/18,4,Southamptrion - London - Edunburgh,Internal Meeting,Rail,Standard,,,£514.90,
William Priest,23/07/18,4,London - Bath,Internal Meeting,Rail / Air,Standard  /  Economy,,,£713.06,
William Priest,25/07/18,4,London - Maidenhead,OPERATIONAL ACTIVITY,Rail,Standard,,,£88.30,
William Priest,30/07/18,4,London - Bath,Internal Meeting,Rail,Standard,,,£363.10,
William Priest,06/08/18,4,London - Bath,Internal Meeting,Rail,Standard,,,£485.30,
William Priest,13/08/18,4,London / Bath,Internal Meeting,Rail,Standard,,,£538.30,
William Priest,17/08/18,4,Berlin,Internal Meeting,Rail,Standard,,,£48.20,
William Priest,21/08/18,4,London - Bristol,Internal Meeting,Rail,Standard,,,£439.90,
William Priest,28/08/18,4,London,Internal Meeting,Rail,Standard,,,£95.00,
William Priest,28/08/18,4,Bath - London - Guildford,Internal Meeting,Rail,Standard,,,£547.20,
William Priest,03/09/18,4,London - Edinburgh - Cambridge,Internal Meeting,Rail / Air,Standard,,,"£1,420.60",
William Priest,10/09/18,4,Bath - London,Internal Meeting,Rail ,Standard,,,£810.30,
William Priest,17/09/18,4,London,Operational Meeting,Rail,Standard,,,£598.20,
