Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type
11/10/2023,Capital Grants To Local Government,DESNZ - Net Zero Buildings and Industry (NZBI) - DESNZ - Net Zero Buildings - Domestic,BRISTOL CITY COUNCIL,537625,286544.36,DESNZ - Homes Upgrade Grant (HUG) - Main Scheme-Capital Grants To Local Government,BS1 9NE,WGA ONLY
11/10/2023,Capital Grants To Local Government,DESNZ - Net Zero Buildings and Industry (NZBI) - DESNZ - Net Zero Buildings - Domestic,Sedgemoor District Council,537627,141013.2,DESNZ - Homes Upgrade Grant (HUG) - Main Scheme-Capital Grants To Local Government,TA4 3AR,GRANT
25/10/2023,Other IT Consultancy,DESNZ - Energy Markets & Supply - DESNZ - Analysis Directorate,Methods Business and Digital Technology Ltd,538633,25413.77,DESNZ - Devolved Admin-Other IT Consultancy,EC1N 8TS,VENDOR
02/10/2023,CA - Other Receivables - Unclassified,DESNZ - Net Zero Buildings and Industry (NZBI) - DESNZ - Net Zero Buildings - Clean Heat,Office of Gas and Electricity Markets (OFGEM),538814,7612401,DESNZ - RHI Domestic AME Payments-CA - Other Receivables - Unclassified,SW1P 3GE,GRANT
05/10/2023,Programme Monitoring and Evaluation,DESNZ - Energy Markets & Supply - DESNZ - Energy Affordability,IFF RESEARCH LTD,538817,30707.5,DESNZ - Energy Bills Relief Scheme-Programme Monitoring and Evaluation,EC3R 6HD,VENDOR
03/10/2023,Salaries - Seconded UK Staff - VAT recoverable,DESNZ - Energy Markets & Supply - DESNZ - Energy Affordability,HM Revenue and Customs,538830,62277.92,DESNZ - Energy Bills Relief Scheme-Salaries - Seconded UK Staff - VAT recoverable,BN11 1UR,WGA ONLY
05/10/2023,Programme Monitoring and Evaluation,DESNZ - Energy Markets & Supply - DESNZ - Energy Affordability,IFF RESEARCH LTD,539610,32230,DESNZ - Energy Bills Relief Scheme-Programme Monitoring and Evaluation,EC3R 6HD,VENDOR
03/10/2023,Salaries - Seconded UK Staff - VAT recoverable,DESNZ - Energy Markets & Supply - DESNZ - Energy Affordability,HM Revenue and Customs,539673,69569.94,DESNZ - Energy Bills Relief Scheme-Salaries - Seconded UK Staff - VAT recoverable,BN11 1UR,WGA ONLY
04/10/2023,Other Professional Services,DESNZ - Energy Infrastructure - DESNZ - Energy Development,MCC Economics FZ LLC,539908,25781.56,DESNZ - Devolved Admin-Other Professional Services,.,VENDOR
04/10/2023,Salaries - Seconded UK Staff - VAT recoverable,DESNZ - Energy Markets & Supply - DESNZ - Energy Affordability,HM Revenue and Customs,539945,59389.75,DESNZ - Energy Bills Relief Scheme-Salaries - Seconded UK Staff - VAT recoverable,BN11 1UR,WGA ONLY
