ORGANISATION NAME,EFEFCTIVE DATE,DIRECTORATE,SUPPLIER NAME,DATE PAID,AMOUNT (£),PURPOSE,TRANSACTION No.,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,18/12/2023,EARLY HELP AND SCHOOLS,HOME START ROCHDALE AND BURY,18/12/2023,10000.00 ,GRANTS TO THE VOLUNTARY SECTOR,V002042809,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,18/12/2023,EARLY HELP AND SCHOOLS,PATTERSONS BRISTOL LTD,18/12/2023,180.38 ,CONSUMABLES,V002043285,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,13/12/2023,PROPERTY AND HIGHWAYS,HARVEYS OF OLDHAM HOLDINGS LIMITED,13/12/2023,-207.60 ,HEALTH AND SAFETY,V002043388,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,13/12/2023,PROPERTY AND HIGHWAYS,HARVEYS OF OLDHAM HOLDINGS LIMITED,13/12/2023,-207.60 ,HEALTH AND SAFETY,V002043388,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,13/12/2023,PROPERTY AND HIGHWAYS,HARVEYS OF OLDHAM HOLDINGS LIMITED,13/12/2023,-46.20 ,HEALTH AND SAFETY,V002043391,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,13/12/2023,PROPERTY AND HIGHWAYS,HARVEYS OF OLDHAM HOLDINGS LIMITED,13/12/2023,-46.20 ,HEALTH AND SAFETY,V002043391,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,13/12/2023,PROPERTY AND HIGHWAYS,HARVEYS OF OLDHAM HOLDINGS LIMITED,13/12/2023,46.20 ,HEALTH AND SAFETY,V002045755,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,13/12/2023,PROPERTY AND HIGHWAYS,HARVEYS OF OLDHAM HOLDINGS LIMITED,13/12/2023,46.20 ,HEALTH AND SAFETY,V002045755,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,13/12/2023,PROPERTY AND HIGHWAYS,HARVEYS OF OLDHAM HOLDINGS LIMITED,13/12/2023,207.60 ,HEALTH AND SAFETY,V002045756,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,13/12/2023,PROPERTY AND HIGHWAYS,HARVEYS OF OLDHAM HOLDINGS LIMITED,13/12/2023,207.60 ,HEALTH AND SAFETY,V002045756,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,19/12/2023,PUBLIC HEALTH,ROCHDALE ASSOCIATION FOOTBALL CLUB LTD,19/12/2023,200.00 ,EXPENSES - GENERAL,V002049091,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,19/12/2023,PUBLIC HEALTH,ROCHDALE ASSOCIATION FOOTBALL CLUB LTD,19/12/2023,200.00 ,EXPENSES - GENERAL,V002049091,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,18/12/2023,RESOURCES,TAMESIDE METROPOLITAN BOROUGH COUNCIL,18/12/2023,1700.00 ,SUBSCRIPTIONS,V002049320,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,22/12/2023,ECONOMY DIRECTORATE,HOMEFRONT ELECTRICAL FIRE AND SECURITY,22/12/2023,141.66 ,SECURITY,V002055275,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,05/12/2023,ADULT CARE LCO FUNCTIONS,MILLBROOK HEALTHCARE LTD,05/12/2023,10574.92 ,ADAPTATIONS,V002057760,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,22/12/2023,NEIGHBOURHOODS AND ENVIRONMENT,RIPON FARM SERVICES,22/12/2023,-46.39 ,VEHICLE MAINTENANCE,V002058072,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,06/12/2023,CHILDREN’S SOCIAL CARE,ROCHDALE HOUSING INITIATIVE,06/12/2023,334.96 ,ACCOMMODATION,V002059360,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,06/12/2023,CHILDREN’S SOCIAL CARE,ROCHDALE HOUSING INITIATIVE,06/12/2023,334.96 ,ACCOMMODATION,V002059360,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,13/12/2023,NEIGHBOURHOODS AND ENVIRONMENT,INTELLIGENCE GROUP LTD,13/12/2023,13291.99 ,SOFTWARE,V002066352,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,01/12/2023,EARLY HELP AND SCHOOLS,REDACTED - PERSONAL DATA,01/12/2023,420.00 ,ACTIVITIES,V002070174,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,22/12/2023,ADULT CARE LCO FUNCTIONS,BARTON KENDAL RESIDENTIAL LTD,22/12/2023,150.00 ,PROPERTY FEES ELEMENT,V002073076,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,13/12/2023,NEIGHBOURHOODS AND ENVIRONMENT,INTELLIGENCE GROUP LTD,13/12/2023,-13291.99 ,SOFTWARE,V002078593,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,22/12/2023,ADULT CARE LCO FUNCTIONS,NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST,22/12/2023,1666.67 ,SERVICE LEVEL AGREEMENTS,V002079118,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,22/12/2023,NEIGHBOURHOODS AND ENVIRONMENT,LOCKHART CATERING EQUIPMENT,22/12/2023,-394.80 ,CONSUMABLES,V002083536,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,22/12/2023,EARLY HELP AND SCHOOLS,CONNECT CARS UK LTD,22/12/2023,324.00 ,TAXI HIRE,V002093356,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,22/12/2023,PROPERTY AND HIGHWAYS,ASSOCIATED CLEANING CONTRACTORS,22/12/2023,135.00 ,REPAIRS & ALTS OF BUILDINGS,V002095071,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,22/12/2023,RESOURCES,KNOW NO BOUNDARIES LTD T/A QUIRKY CATERING,22/12/2023,50.00 ,REFRESHMENTS,V002095345,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,27/12/2023,RESOURCES,JACOBS,27/12/2023,430.00 ,BAILIFFS,V002095348,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,22/12/2023,EARLY HELP AND SCHOOLS,CONNECT CARS UK LTD,22/12/2023,576.00 ,TAXI HIRE,V002095416,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,27/12/2023,RESOURCES,PEOPLE ASSET MANAGEMENT LTD,27/12/2023,95.00 ,OCCUPATIONAL HEALTH,V002102378,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,22/12/2023,CHILDREN’S SOCIAL CARE,YOUR CHAPTER LTD,22/12/2023,3258.90 ,FOSTER PARENTS BASIC ALLOWANCE,V002102546,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,08/12/2023,ECONOMY DIRECTORATE,AEGIS SERVICES LTD,08/12/2023,344.70 ,CONSULTANTS FEES,V002103119,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,08/12/2023,ECONOMY DIRECTORATE,AEGIS SERVICES LTD,08/12/2023,4732.30 ,CONSULTANTS FEES,V002103119,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,19/12/2023,NEIGHBOURHOODS AND ENVIRONMENT,ROYAL MAIL GROUP LTD,19/12/2023,4.64 ,POSTAGE,V002112755,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,22/12/2023,EARLY HELP AND SCHOOLS,WHITEGATE NW LTD,22/12/2023,78.19 ,"CLOTHES, UNIFORM AND LAUNDRY",V002114653,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,22/12/2023,EARLY HELP AND SCHOOLS,WHITEGATE NW LTD,22/12/2023,78.19 ,"CLOTHES, UNIFORM AND LAUNDRY",V002114653,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,22/12/2023,EARLY HELP AND SCHOOLS,WHITEGATE NW LTD,22/12/2023,59.79 ,"CLOTHES, UNIFORM AND LAUNDRY",V002114657,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,22/12/2023,EARLY HELP AND SCHOOLS,WHITEGATE NW LTD,22/12/2023,59.79 ,"CLOTHES, UNIFORM AND LAUNDRY",V002114657,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,22/12/2023,ECONOMY DIRECTORATE,E ON NEXT ENERGY LTD,22/12/2023,2685.76 ,ELECTRICITY,V002114840,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,22/12/2023,CHILDREN’S SOCIAL CARE,THE BIG WORD,22/12/2023,2207.42 ,TRANSLATION & INTERPRETATION,V002115085,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,22/12/2023,EARLY HELP AND SCHOOLS,THE BIG WORD,22/12/2023,565.05 ,TRANSLATION & INTERPRETATION,V002115085,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,22/12/2023,NEIGHBOURHOODS AND ENVIRONMENT,THE BIG WORD,22/12/2023,41.80 ,TRANSLATION & INTERPRETATION,V002115085,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,22/12/2023,ADULT CARE LCO FUNCTIONS,THE BIG WORD,22/12/2023,313.06 ,TRANSLATION & INTERPRETATION,V002115085,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,22/12/2023,EARLY HELP AND SCHOOLS,THE BIG WORD,22/12/2023,54.77 ,TRANSLATION & INTERPRETATION,V002115085,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,22/12/2023,EARLY HELP AND SCHOOLS,THE BIG WORD,22/12/2023,197.09 ,TRANSLATION & INTERPRETATION,V002115085,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,22/12/2023,EARLY HELP AND SCHOOLS,THE BIG WORD,22/12/2023,60.03 ,TRANSLATION & INTERPRETATION,V002115085,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,22/12/2023,ADULT CARE LCO FUNCTIONS,THE BIG WORD,22/12/2023,124.91 ,TRANSLATION & INTERPRETATION,V002115085,,,,,,,,,
