"KpiId","KpiName","Value","DataType","Period","StartDate","EndDate","CollectionFrequency"
"LIB01-K","Library Visits - New Earswick Library","28272.00 Number","Number","2011/2012","2011-04-01","2012-03-31","Monthly"
"LIB01-K","Library Visits - New Earswick Library","25239.00 Number","Number","2012/2013","2012-04-01","2013-03-31","Monthly"
"LIB01-K","Library Visits - New Earswick Library","25651.00 Number","Number","2013/2014","2013-04-01","2014-03-31","Monthly"
"LIB01-K","Library Visits - New Earswick Library","1791.00 Number","Number","2014/2015_Apr","2014-04-01","2014-04-30","Monthly"
"LIB01-K","Library Visits - New Earswick Library","6320.00 Number","Number","2014/2015_Q1","2014-04-01","2014-06-30","Monthly"
"LIB01-K","Library Visits - New Earswick Library","23135.00 Number","Number","2014/2015","2014-04-01","2015-03-31","Monthly"
"LIB01-K","Library Visits - New Earswick Library","2215.00 Number","Number","2014/2015_May","2014-05-01","2014-05-31","Monthly"
"LIB01-K","Library Visits - New Earswick Library","2314.00 Number","Number","2014/2015_Jun","2014-06-01","2014-06-30","Monthly"
"LIB01-K","Library Visits - New Earswick Library","6446.00 Number","Number","2014/2015_Q2","2014-07-01","2014-09-30","Monthly"
"LIB01-K","Library Visits - New Earswick Library","2391.00 Number","Number","2014/2015_Jul","2014-07-01","2014-07-31","Monthly"
"LIB01-K","Library Visits - New Earswick Library","2031.00 Number","Number","2014/2015_Aug","2014-08-01","2014-08-31","Monthly"
"LIB01-K","Library Visits - New Earswick Library","2024.00 Number","Number","2014/2015_Sep","2014-09-01","2014-09-30","Monthly"
"LIB01-K","Library Visits - New Earswick Library","5212.00 Number","Number","2014/2015_Q3","2014-10-01","2014-12-31","Monthly"
"LIB01-K","Library Visits - New Earswick Library","2103.00 Number","Number","2014/2015_Oct","2014-10-01","2014-10-31","Monthly"
"LIB01-K","Library Visits - New Earswick Library","1834.00 Number","Number","2014/2015_Nov","2014-11-01","2014-11-30","Monthly"
"LIB01-K","Library Visits - New Earswick Library","1275.00 Number","Number","2014/2015_Dec","2014-12-01","2014-12-31","Monthly"
"LIB01-K","Library Visits - New Earswick Library","1836.00 Number","Number","2014/2015_Jan","2015-01-01","2015-01-31","Monthly"
"LIB01-K","Library Visits - New Earswick Library","5157.00 Number","Number","2014/2015_Q4","2015-01-01","2015-03-31","Monthly"
"LIB01-K","Library Visits - New Earswick Library","1513.00 Number","Number","2014/2015_Feb","2015-02-01","2015-02-28","Monthly"
"LIB01-K","Library Visits - New Earswick Library","1808.00 Number","Number","2014/2015_Mar","2015-03-01","2015-03-31","Monthly"
"LIB01-K","Library Visits - New Earswick Library","21963.00 Number","Number","2015/2016","2015-04-01","2016-03-31","Monthly"
"LIB01-K","Library Visits - New Earswick Library","1663.00 Number","Number","2015/2016_Apr","2015-04-01","2015-04-30","Monthly"
"LIB01-K","Library Visits - New Earswick Library","5022.00 Number","Number","2015/2016_Q1","2015-04-01","2015-06-30","Monthly"
"LIB01-K","Library Visits - New Earswick Library","1479.00 Number","Number","2015/2016_May","2015-05-01","2015-05-31","Monthly"
"LIB01-K","Library Visits - New Earswick Library","1880.00 Number","Number","2015/2016_Jun","2015-06-01","2015-06-30","Monthly"
"LIB01-K","Library Visits - New Earswick Library","4707.00 Number","Number","2015/2016_Q2","2015-07-01","2015-09-30","Monthly"
"LIB01-K","Library Visits - New Earswick Library","1699.00 Number","Number","2015/2016_Jul","2015-07-01","2015-07-31","Monthly"
"LIB01-K","Library Visits - New Earswick Library","1345.00 Number","Number","2015/2016_Aug","2015-08-01","2015-08-31","Monthly"
