Allocated,1st Pref,2nd Pref,3rd Pref,4th Pref,5th Pref,CatchmentName,CatchmentCode,Year 
8163401,8163401,,,,,Osbaldwick Primary School,8162176,2022
8162007,8162007,,,,,Woodthorpe Primary School,8162027,2022
8163401,8163401,,,,,Tang Hall Primary School,8162429,2022
8162176,8162176,,,,,Osbaldwick Primary School,8162176,2022
8162429,8162429,8162020,,,,Tang Hall Primary School,8162429,2022
8162430,8162430,8162018,8162024,,,Burton Green Primary School,8162024,2022
8162386,8162386,8162013,8162011,8162007,8162016,Bishopthorpe Infant School,8162386,2022
8162007,8162007,,,,,Woodthorpe Primary School,8162027,2022
8162012,8162012,,,,,Haxby Road Primary Academy,8162004,2022
8162020,8162020,8163401,8163402,,,Tang Hall Primary School,8162429,2022
8162011,8162011,,,,,Scarcroft Primary School,8162016,2022
8162386,8162386,,,,,Bishopthorpe Infant School,8162386,2022
8162004,8162004,,,,,St Barnabas' CE Primary School,8163002,2022
8162029,8162029,8162014,8162428,,,Poppleton Ousebank Primary School,8162029,2022
8162169,8162169,8162029,8162349,,,Skelton Primary School,8162169,2022
8162016,8162016,8162011,,,,Scarcroft Primary School,8162016,2022
8162003,8162003,,,,,Carr Infant School,8162003,2022
8162016,8162016,,,,,Scarcroft Primary School,8162016,2022
8162011,8162011,8162016,,,,Knavesmire Primary School,8162011,2022
8162027,8162027,,,,,Woodthorpe Primary School,8162027,2022
8162007,8162007,8163904,8162011,8162016,,Dringhouses Primary School,8162007,2022
8162000,8162000,,,,,Acomb Primary School,8162000,2022
8162003,8162003,,,,,Carr Infant School,8162003,2022
8162016,8162016,8162011,,,,Scarcroft Primary School,8162016,2022
8162028,8162028,,,,,Hob Moor Community Primary School,8162028,2022
8163904,8163904,8162000,,,,Hob Moor Community Primary School,8162028,2022
8162386,8162386,,,,,Hob Moor Community Primary School,8162028,2022
8162018,8162018,,,,,Carr Infant School,8162003,2022
8162013,8162013,8162007,,,,Dringhouses Primary School,8162007,2022
8162180,8162180,8163212,8162015,,,Huntington Primary Academy,8162180,2022
8162011,8162011,8162016,8163402,8162008,,Fishergate Primary School,8162008,2022
8162015,8162015,8162180,,,,Yearsley Grove Primary School,8162015,2022
8162241,8162241,8162058,,,,Headlands Primary School,8162241,2022
8162430,8162430,,,,,Clifton with Rawcliffe Primary School,8162430,2022
8162180,8162180,8162004,,,,Huntington Primary Academy,8162180,2022
8162240,8162240,,,,,Wigginton Primary School,8162240,2022
8162017,8162017,,,,,Westfield Community Primary School,8162017,2022
8163212,8163212,,,,,Robert Wilkinson Primary School,8163212,2022
8162430,8162430,8162428,8162018,,,Clifton with Rawcliffe Primary School,8162430,2022
8162429,8162429,,,,,Tang Hall Primary School,8162429,2022
8162001,8162001,8162176,8163302,8162429,8163158,Hempland Primary School,8162001,2022
8162013,8162013,,,,,Copmanthorpe Primary School,8162013,2022
8162227,8162227,,,,,Stockton On The Forest Primary School,8162227,2022
8162241,8162241,8162240,,,,Headlands Primary School,8162241,2022
8162024,8162024,8162012,,,,Clifton Green Primary School,8162018,2022
8162386,8162386,,,,,Bishopthorpe Infant School,8162386,2022
8162016,8162016,8162008,,,,Scarcroft Primary School,8162016,2022
8162016,8162016,8162008,,,,Scarcroft Primary School,8162016,2022
8162001,8162001,8163302,8162012,8162429,8162227,Hempland Primary School,8162001,2022
8162001,8162001,,,,,Hempland Primary School,8162001,2022
8162431,8162431,8163158,8162176,,,Osbaldwick Primary School,8162176,2022
8162429,8162429,8163401,8163302,8162001,8163403,Tang Hall Primary School,8162429,2022
8162169,8162169,,,,,Skelton Primary School,8162169,2022
8163302,8163302,,,,,Park Grove Primary Academy,8162012,2022
8162020,8162020,,,,,St Lawrence's CE Primary School,8162020,2022
8162004,8162004,8163403,8162015,,,Haxby Road Primary Academy,8162004,2022
8162349,8162349,8162028,8162027,8162029,8162003,Carr Infant School,8162003,2022
8162000,8162000,8163003,,,,Acomb Primary School,8162000,2022
8162015,8162015,,,,,Fishergate Primary School,8162008,2022
8162029,8162029,,,,,Poppleton Ousebank Primary School,8162029,2022
8162429,8162429,8162176,,,,Osbaldwick Primary School,8162176,2022
8162029,8162029,,,,,Poppleton Ousebank Primary School,8162029,2022
8162021,8162021,,,,,New Earswick Primary School,8162021,2022
8162176,8163158,8162176,8162001,,,Osbaldwick Primary School,8162176,2022
8162430,8162430,8162018,8162014,8163002,,Clifton with Rawcliffe Primary School,8162430,2022
8162058,8162058,8162241,8162240,8162180,8162015,Yearsley Grove Primary School,8162015,2022
8162013,8162013,,,,,Copmanthorpe Primary School,8162013,2022
