WeekBeginning,Location,DateOfSample,NoOfSamples
02/01/2023,Foyle ,03/01/2023,2
02/01/2023,Belfast ,03/01/2023,3
02/01/2023,Dundrum N,04/01/2023,1
02/01/2023,Killough ,04/01/2023,1
09/01/2023,Skate Rock ,09/01/2023,1
09/01/2023,Paddy's Point ,10/01/2023,1
09/01/2023,Carlingford ,10/01/2023,4
16/01/2023,Dundrum S ,16/01/2023,1
16/01/2023,Belfast ,16/01/2023,2
16/01/2023,Larne ,17/01/2023,1
06/02/2023,Skate Rock ,06/02/2023,1
06/02/2023,Belfast ,06/02/2023,3
06/02/2023,Paddy's Point ,07/02/2023,1
06/02/2023,Foyle ,07/02/2023,2
06/02/2023,Carlingford ,08/02/2023,4
13/02/2023,Dundrum N ,13/02/2023,1
13/02/2023,Dundrum S ,13/02/2023,1
13/02/2023,Killough,13/02/2023,1
13/02/2023,Belfast ,13/02/2023,3
13/02/2023,Larne,14/02/2023,1
27/02/2023,Dundrum N ,27/02/2023,1
06/03/2023,Skate Rock ,06/03/2023,1
06/03/2023,Belfast ,06/03/2023,3
06/03/2023,Foyle ,07/03/2023,2
06/03/2023,Carlingford ,07/03/2023,4
06/03/2023,Paddy's Point ,08/03/2023,1
13/03/2023,Dundrum N ,13/03/2023,1
13/03/2023,Dundrum S ,13/03/2023,1
13/03/2023,Killough ,13/03/2023,1
13/03/2023,Belfast ,13/03/2023,2
13/03/2023,Larne ,14/03/2023,1
