ArrivalAtBip,CountryOfOriginName,CountryFromWhereConsigned,BCPName,CommodityCode,CommodityGroups,CommodityDescription,SpeciesNomination,GrossWeightKg,NetWeightKg,NumberOfPackages,Temperature,ForInternalMarket,DocumentaryCheck,IdentityCheckType,IdentityCheckResult,PhysicalCheck,PhysicalCheckDone,PhysicalCheckNotDone,LabTestDate,LabTestName,LabTestResult
2022-07-01,New Zealand,New Zealand,London Gateway,2044290,Sheep meat,Other,Ovis aries,25868.12,24985.8,1207,frozen,HumanConsumption,satisfactory,sealcheck,satisfactory,notdone,N/A,reducedchecksregime,N/A,N/A,N/A
2022-07-01,Thailand,Thailand,Felixstowe,160232,Poultry,Of fowls of the species Gallus domesticus,Aves,23051.7,22001.2,41,frozen,HumanConsumption,satisfactory,sealcheck,satisfactory,notdone,N/A,reducedchecksregime,N/A,N/A,N/A
2022-07-01,Thailand,Thailand,Felixstowe,160232,Poultry,Of fowls of the species Gallus domesticus,Aves,23051.1,22000.6,41,frozen,HumanConsumption,satisfactory,sealcheck,satisfactory,notdone,N/A,reducedchecksregime,N/A,N/A,N/A
2022-07-01,Thailand,Thailand,Felixstowe,160232,Poultry,Of fowls of the species Gallus domesticus,Aves,23050,22000,40,frozen,HumanConsumption,satisfactory,sealcheck,satisfactory,notdone,N/A,reducedchecksregime,N/A,N/A,N/A
2022-07-01,Uruguay,Uruguay,London Gateway,20130,Bovine meat and bovine meat products,Boneless,Bos taurus,12764,11877,835,chilled,HumanConsumption,satisfactory,fullidentitycheck,satisfactory,satisfactory,N/A,N/A,N/A,N/A,N/A
2022-07-01,Brazil,Brazil,Liverpool,5079000,By-products,Other,Ruminantia,51060,50400,96,ambient,TechnicalUse,satisfactory,fullidentitycheck,satisfactory,notdone,N/A,reducedchecksregime,N/A,N/A,N/A
2022-07-01,Thailand,Thailand,Felixstowe,160232,Poultry,Of fowls of the species Gallus domesticus,Aves,18900,18000,1800,frozen,HumanConsumption,satisfactory,sealcheck,satisfactory,notdone,N/A,reducedchecksregime,N/A,N/A,N/A
2022-07-01,Thailand,Thailand,Felixstowe,160232,Poultry,Of fowls of the species Gallus domesticus,Aves,23699.52,22464,36,frozen,HumanConsumption,satisfactory,sealcheck,satisfactory,notdone,N/A,reducedchecksregime,N/A,N/A,N/A
2022-07-01,Thailand,Thailand,Felixstowe,160232,Poultry,Of fowls of the species Gallus domesticus,Aves,23699.52,22464,36,frozen,HumanConsumption,satisfactory,sealcheck,satisfactory,notdone,N/A,reducedchecksregime,N/A,N/A,N/A
2022-07-01,Argentina,Argentina,London Gateway,20712,Poultry,"Not cut in pieces, frozen",Gallus gallus,26624,25008.6,1493,frozen,HumanConsumption,satisfactory,sealcheck,satisfactory,notdone,N/A,reducedchecksregime,N/A,N/A,N/A
