Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Invoice Number,Invoice Distribution Amount,Account Code,Cost Centre
DWP,CORPORATE,31-Jan-18,EXP - CURRENT GRANTS TO CENTRAL GOV - BBC TV LIC O/75'S - GRANT,STR BBC TV LIC O 75s AME,BBC,BBC-01-02-2018,"£53,000,000",5415102901,10419603
DWP,CORPORATE,19-Jan-18,CL - TAXATION AND SOCIAL SECURITY PAYABLE TO HMRC - NIC,BALANCE SHEET,INLAND REVENUE SHIPLEY NATIONAL INSURANCE,948PJ001803761809NI,"£25,930,964",2613200002,99999999
DWP,CORPORATE,16-Jan-18,Exp - Purchase Of Goods/Services - Consultancy,STR LEGAL SERVICES,GOVERNMENT LEGAL DEPARTMENT,A2542,"£2,569,250",5211200000,10382030
DWP,EUROPEAN SOCIAL FUND,15-Jan-18,CA - OTHER RECEIVABLES,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,ESFA ESF PROJECTS,23S17C02087/CL/17Q02/13,"£2,298,303",1816900000,10419400
DWP,CORPORATE,31-Jan-18,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - HR,HR SHARED SERVICES,SHARED SERVICES CONNECTED LTD,100007365,"£1,385,222",5211402911,10396165
DWP,CORPORATE,31-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME FIXED CHARGE,FG CD CAXTON,TELEREAL TRILLIUM,995466,"£1,379,062",9115102900,10393822
DWP,EUROPEAN SOCIAL FUND,08-Jan-18,CA - OTHER RECEIVABLES,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,ESFA ESF PROJECTS,25S17C02054/CL/17Q02/13,"£1,341,394",1816900000,10419400
DWP,EUROPEAN SOCIAL FUND,10-Jan-18,CA - OTHER RECEIVABLES,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,IMPACT ESF 1420,01S17P01825/CL/17Q2/08,"£1,314,267",1816900000,10419400
DWP,CORPORATE,31-Jan-18,STAFF TRAVEL,STAFF TRAVEL,REDFERN TRAVEL,,"£1,237,812",,
DWP,CORPORATE,15-Jan-18,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - COURIER COSTS,FG CD ACC POSTAGE,TNT UK LTD,9649185,"£1,202,075",5217100005,10392328
