OrganisationLabel,OrganisationURI,PublishedDate,LatestData,DurationFrom,DurationTo,ReportingPeriodType,Month,GeoEntityName,GeoCode,GeoName,GeoURI,AveragePrice,AveragePriceDetached,AveragePriceSemiDetached,AveragePriceTerraced,AveragePriceFlatOrMaisonette
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2024-03-19T00:00:00,TRUE,2023-08-01T00:00:00,2023-08-30T23:59:59,Month,2023-08,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,234293,311586,208396,165757,112292
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2024-03-19T00:00:00,TRUE,2023-08-01T00:00:00,2023-08-30T23:59:59,Month,2023-08,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,202993,280004,175183,139704,95933
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2024-03-19T00:00:00,TRUE,2023-08-01T00:00:00,2023-08-30T23:59:59,Month,2023-08,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,236247,293774,202209,158629,106501
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2024-03-19T00:00:00,TRUE,2023-08-01T00:00:00,2023-08-30T23:59:59,Month,2023-08,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,183760,296748,201620,153706,112888
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2024-03-19T00:00:00,TRUE,2023-08-01T00:00:00,2023-08-30T23:59:59,Month,2023-08,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,263027,320735,217891,178145,112873
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2024-03-19T00:00:00,TRUE,2023-08-01T00:00:00,2023-08-30T23:59:59,Month,2023-08,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,228793,284839,195678,156593,91274
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2024-03-19T00:00:00,TRUE,2023-08-01T00:00:00,2023-08-30T23:59:59,Month,2023-08,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,279525,396337,255302,204326,127648
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2024-03-19T00:00:00,TRUE,2023-08-01T00:00:00,2023-08-30T23:59:59,Month,2023-08,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,210065,278519,180004,144457,101997
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2024-03-19T00:00:00,,2023-07-01T00:00:00,2023-07-30T23:59:59,Month,2023-07,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,230426,306067,205186,162943,111211
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2024-03-19T00:00:00,,2023-07-01T00:00:00,2023-07-30T23:59:59,Month,2023-07,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,197650,272521,170615,135870,94001
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2024-03-19T00:00:00,,2023-07-01T00:00:00,2023-07-30T23:59:59,Month,2023-07,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,228453,283736,195613,153541,103786
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2024-03-19T00:00:00,,2023-07-01T00:00:00,2023-07-30T23:59:59,Month,2023-07,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,181916,294009,199628,151862,112390
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2024-03-19T00:00:00,,2023-07-01T00:00:00,2023-07-30T23:59:59,Month,2023-07,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,264780,322722,219478,179127,114616
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2024-03-19T00:00:00,,2023-07-01T00:00:00,2023-07-30T23:59:59,Month,2023-07,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,226197,281387,193507,154907,91114
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2024-03-19T00:00:00,,2023-07-01T00:00:00,2023-07-30T23:59:59,Month,2023-07,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,274857,389231,251325,200650,126450
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2024-03-19T00:00:00,,2023-07-01T00:00:00,2023-07-30T23:59:59,Month,2023-07,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,205057,271611,175753,141105,100558
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2024-03-19T00:00:00,,2023-06-01T00:00:00,2023-06-30T23:59:59,Month,2023-06,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,229935,305300,204825,162514,111356
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2024-03-19T00:00:00,,2023-06-01T00:00:00,2023-06-30T23:59:59,Month,2023-06,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,202929,280104,175069,139146,96758
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2024-03-19T00:00:00,,2023-06-01T00:00:00,2023-06-30T23:59:59,Month,2023-06,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,224755,279345,192396,150666,102319
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2024-03-19T00:00:00,,2023-06-01T00:00:00,2023-06-30T23:59:59,Month,2023-06,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,184776,299452,202863,153974,114257
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2024-03-19T00:00:00,,2023-06-01T00:00:00,2023-06-30T23:59:59,Month,2023-06,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,265355,323674,219908,179070,115091
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2024-03-19T00:00:00,,2023-06-01T00:00:00,2023-06-30T23:59:59,Month,2023-06,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,226130,281506,193347,154489,91245
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2024-03-19T00:00:00,,2023-06-01T00:00:00,2023-06-30T23:59:59,Month,2023-06,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,270312,383190,247148,196874,124641
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2024-03-19T00:00:00,,2023-06-01T00:00:00,2023-06-30T23:59:59,Month,2023-06,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,204110,270615,174983,140143,100399
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2024-03-19T00:00:00,,2023-05-01T00:00:00,2023-05-31T23:59:59,Month,2023-05,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,227703,303335,202892,159957,109837
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2024-03-19T00:00:00,,2023-05-01T00:00:00,2023-05-31T23:59:59,Month,2023-05,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,201231,278399,173644,137308,95587
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2024-03-19T00:00:00,,2023-05-01T00:00:00,2023-05-31T23:59:59,Month,2023-05,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,224135,279152,191747,149506,101783
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2024-03-19T00:00:00,,2023-05-01T00:00:00,2023-05-31T23:59:59,Month,2023-05,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,181954,296028,200156,151211,112383
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2024-03-19T00:00:00,,2023-05-01T00:00:00,2023-05-31T23:59:59,Month,2023-05,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,261102,319030,216384,175325,112929
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2024-03-19T00:00:00,,2023-05-01T00:00:00,2023-05-31T23:59:59,Month,2023-05,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,228411,284818,195223,155256,91616
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2024-03-19T00:00:00,,2023-05-01T00:00:00,2023-05-31T23:59:59,Month,2023-05,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,265371,377054,242786,192462,122179
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2024-03-19T00:00:00,,2023-05-01T00:00:00,2023-05-31T23:59:59,Month,2023-05,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,201458,267693,172806,137739,98800
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2024-03-19T00:00:00,,2023-04-01T00:00:00,2023-04-30T23:59:59,Month,2023-04,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,230254,307669,204695,161407,110415
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2024-03-19T00:00:00,,2023-04-01T00:00:00,2023-04-30T23:59:59,Month,2023-04,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,199149,275995,171527,135754,94412
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2024-03-19T00:00:00,,2023-04-01T00:00:00,2023-04-30T23:59:59,Month,2023-04,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,229267,286255,195580,152630,103439
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2024-03-19T00:00:00,,2023-04-01T00:00:00,2023-04-30T23:59:59,Month,2023-04,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,183277,298663,201556,152375,112791
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2024-03-19T00:00:00,,2023-04-01T00:00:00,2023-04-30T23:59:59,Month,2023-04,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,261730,320349,216463,175599,112440
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2024-03-19T00:00:00,,2023-04-01T00:00:00,2023-04-30T23:59:59,Month,2023-04,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,235242,293864,200619,159637,93795
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2024-03-19T00:00:00,,2023-04-01T00:00:00,2023-04-30T23:59:59,Month,2023-04,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,267319,380725,244038,193792,122563
