Organisation Name,Department where exp. Incurred,Service Category Label,Supplier (Beneficiary),Purpose of Expenditure,Procurement (Merchant) Category,Purchase Date,Settlement Date,Transaction Number,Net Amount (£)
Stockport MBC,Corporate and Support Services,Central Support Costs,MIRO.COM,Information and Communications Technology,Information Communication Technology  ,24.11.2020,16.12.2020,GPC11200000001,108.66
Stockport MBC,Corporate and Support Services,Central Support Costs,AUTH0.COM,Information and Communications Technology,Information Communication Technology  ,19.11.2020,16.12.2020,GPC11200000002,9.36
Stockport MBC,Corporate and Support Services,Central Support Costs,GITHUB,Information and Communications Technology,Information Communication Technology  ,14.11.2020,16.12.2020,GPC11200000003,78.55
Stockport MBC,Corporate and Support Services,Central Support Costs,WWW.CONTENTFUL.COM,Information and Communications Technology,Information Communication Technology  ,09.11.2020,16.12.2020,GPC11200000004,774.65
Stockport MBC,Corporate and Support Services,Central Support Costs,SCREENCONNECT SOFTWARE,Information and Communications Technology,Information Communication Technology  ,06.11.2020,16.12.2020,GPC11200000005,"1,237.46"
Stockport MBC,Corporate and Support Services,Central Support Costs,AUTH0.COM,Information and Communications Technology,Information Communication Technology  ,05.11.2020,16.12.2020,GPC11200000006,159.42
Stockport MBC,Corporate and Support Services,Central Support Costs,FASTHOSTS INTERNET,Information and Communications Technology,Information Communication Technology  ,05.11.2020,16.12.2020,GPC11200000007,19.19
Stockport MBC,Corporate and Support Services,Central Support Costs,AWS EMEA,Information and Communications Technology,Information Communication Technology  ,03.11.2020,16.12.2020,GPC11200000008,"1,074.93"
Stockport MBC,Services to People,Childrens & Educational Services,MACMILLAN PUBLISHERS I,Furniture and Equipment,Furniture & Soft Furnishings  ,04.11.2020,16.12.2020,GPC11200000009,250.00
Stockport MBC,Corporate and Support Services,Central Services to the public,WWW.JOHNLEWIS.COM,COVID 19,COVID 19,18.11.2020,16.12.2020,GPC11200000010,398.00
Stockport MBC,Corporate and Support Services,Central Services to the public,AMZNMKTPLACE,COVID 19,COVID 19,18.11.2020,16.12.2020,GPC11200000011,41.98
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK  2KZR9YEMG2,Office Expenses,Facilities & Management Services  ,30.11.2020,16.12.2020,GPC11200000012,581.22
Stockport MBC,Corporate and Support Services,Central Support Costs,CANVA  02887-0541469,Publicity and Promotion,Facilities & Management Services  ,26.11.2020,16.12.2020,GPC11200000013,92.27
Stockport MBC,Corporate and Support Services,Central Support Costs,LINKEDIN,Office Expenses,Facilities & Management Services  ,28.11.2020,16.12.2020,GPC11200000014,280.00
Stockport MBC,Corporate and Support Services,Central Support Costs,APPLE.COM/BILL,Information and Communications Technology,Information Communication Technology  ,26.11.2020,16.12.2020,GPC11200000015,5.83
Stockport MBC,Corporate and Support Services,Central Support Costs,FASTHOSTS INTERNET,MISCLASSIFIED? CHECK BEFORE PUBLICATION,UNCLASSIFIED  ,09.11.2020,16.12.2020,GPC11200000016,10.00
Stockport MBC,Services to People,Childrens & Educational Services,TESCO STORES 5128,Catering Supplies,Catering Food & Beverages ,01.12.2020,16.12.2020,GPC11200000017,5.00
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,01.12.2020,16.12.2020,GPC11200000018,10.56
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,30.11.2020,16.12.2020,GPC11200000019,34.97
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,26.11.2020,16.12.2020,GPC11200000020,11.44
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,13.11.2020,16.12.2020,GPC11200000021,3.12
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,12.11.2020,16.12.2020,GPC11200000022,6.50
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,11.11.2020,16.12.2020,GPC11200000023,12.15
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,09.11.2020,16.12.2020,GPC11200000024,0.79
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,09.11.2020,16.12.2020,GPC11200000025,25.63
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,05.11.2020,16.12.2020,GPC11200000026,8.44
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,03.11.2020,16.12.2020,GPC11200000027,6.05
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,02.11.2020,16.12.2020,GPC11200000028,15.88
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,02.11.2020,16.12.2020,GPC11200000029,0.94
Stockport MBC,Services to People,Childrens & Educational Services,AMZNMKTPLACE,Furniture and Equipment,Environmental Services Technical Equipment ,20.11.2020,16.12.2020,GPC11200000030,29.64
Stockport MBC,Services to People,Childrens & Educational Services,AMZNMKTPLACE AMAZON.CO,Furniture and Equipment,Environmental Services Technical Equipment ,17.11.2020,16.12.2020,GPC11200000031,239.98
Stockport MBC,Services to People,Childrens & Educational Services,AMZNMKTPLACE AMAZON.CO,Cleaning,Cleaning & Janitorial  ,08.11.2020,16.12.2020,GPC11200000032,70.80
Stockport MBC,Services to Place,Cultural & Related Services,ALDI 40 773,Furniture and Equipment,Furniture & Soft Furnishings  ,27.11.2020,16.12.2020,GPC11200000033,17.96
Stockport MBC,Services to Place,Cultural & Related Services,MARKS&SPENCER PLC SF,Furniture and Equipment,Furniture & Soft Furnishings  ,23.11.2020,16.12.2020,GPC11200000034,-24.20
Stockport MBC,Services to Place,Cultural & Related Services,MARKS&SPENCER PLC,Furniture and Equipment,Furniture & Soft Furnishings  ,22.11.2020,16.12.2020,GPC11200000035,24.20
Stockport MBC,Services to Place,Cultural & Related Services,PAINTMASTER 2000 LIMIT,Repairs and Maintenance,"Works - Construction, Repair & Maintenance  ",16.11.2020,16.12.2020,GPC11200000036,48.00
Stockport MBC,Services to Place,Cultural & Related Services,PAINTMASTER 2000 LIMIT,Repairs and Maintenance,"Works - Construction, Repair & Maintenance  ",06.11.2020,16.12.2020,GPC11200000037,89.10
