Age At Death (Months),Female,Male,Total
0,702,"6,745","7,447"
1,130,"1,430","1,560"
2,23,153,176
3,20,25,45
4,27,23,50
5,17,16,33
6,11,18,29
7,23,19,42
8,12,20,32
9,48,49,97
10,56,145,201
11,91,356,447
12,151,931,"1,082"
13,275,"1,558","1,833"
14,405,"1,969","2,374"
15,519,"2,513","3,032"
16,649,"1,809","2,458"
17,911,"1,736","2,647"
18,"1,359","1,799","3,158"
19,"1,838","2,023","3,861"
20,"2,316","2,325","4,641"
21,"2,869","2,833","5,702"
22,"3,343","3,511","6,854"
23,"3,977","4,301","8,278"
24,"4,037","5,105","9,142"
25,"4,485","5,804","10,289"
26,"4,976","6,907","11,883"
27,"5,233","8,319","13,552"
28,"6,024","10,482","16,506"
29,"11,721","25,527","37,248"
30,816,"1,230","2,046"
31,411,287,698
32,442,296,738
33,458,343,801
34,432,322,754
35,512,289,801
36,460,223,683
37,511,212,723
38,493,190,683
39,442,147,589
40,457,135,592
41,448,137,585
42,460,118,578
43,419,96,515
44,458,76,534
45,457,79,536
46,426,74,500
47,433,59,492
48,455,60,515
49,444,55,499
50,426,34,460
51,464,34,498
52,424,33,457
53,437,42,479
54,482,18,500
55,433,24,457
56,420,28,448
57,473,15,488
58,451,16,467
59,440,11,451
60,416,12,428
61,446,16,462
62,462,18,480
63,465,15,480
64,433,14,447
65,422,10,432
66,410,8,418
67,451,9,460
68,429,12,441
69,419,14,433
70,397,17,414
71,392,3,395
72,380,12,392
73,385,17,402
74,412,13,425
75,390,13,403
76,395,7,402
77,371,10,381
78,432,12,444
79,390,7,397
80,410,13,423
81,374,8,382
82,365,10,375
83,380,9,389
84,405,8,413
85,362,12,374
86,421,5,426
87,422,7,429
88,434,5,439
89,396,9,405
90,435,6,441
91,446,9,455
92,402,7,409
93,436,13,449
94,392,10,402
95,413,7,420
96,427,8,435
97,386,15,401
98,405,6,411
99,437,8,445
100,397,6,403
101,387,2,389
102,412,4,416
103,391,8,399
104,353,6,359
105,341,2,343
106,345,5,350
107,364,6,370
108,390,7,397
109,364,7,371
110,394, -   ,394
111,322,7,329
112,360,4,364
113,341,4,345
114,336,7,343
115,326,13,339
116,350,4,354
117,348,2,350
118,312,1,313
119,293,4,297
120,323,5,328
121,294,5,299
122,324,4,328
123,268,2,270
124,288,7,295
125,254,5,259
126,257,2,259
127,200,2,202
128,176,3,179
129,148,3,151
130,142, -   ,142
131,100,2,102
132,91,1,92
133,80,2,82
134,59, -   ,59
135,29,1,30
136,8, -   ,8
Total,"96,744","103,691","200,435"
