Age at Death in Months,England,,Scotland,,Wales,,Totals
,F,M,F,M,F,M,0
0,"19,662","55,074","3,963","4,903","3,362","7,657","94,621"
1,"10,334","16,807","2,919","3,555","1,935","2,278","37,828"
2,"6,676","8,704","1,947","2,376","1,259","1,346","22,308"
3,"4,977","6,873","1,350","1,700",899,"1,070","16,869"
4,"4,014","5,853","1,025","1,486",692,878,"13,948"
5,"3,359","4,975",941,"1,244",555,623,"11,697"
6,"3,142","4,726",820,"1,133",468,512,"10,801"
7,"2,368","3,770",723,"1,069",421,464,"8,815"
8,"1,912","3,216",638,872,373,416,"7,427"
9,"1,889","3,024",567,815,355,364,"7,014"
10,"2,150","3,594",517,956,268,375,"7,860"
11,"2,818","6,779",604,"1,799",304,571,"12,875"
12,"4,328","15,316",967,"4,562",312,"1,225","26,710"
13,"6,440","26,576","1,751","8,769",337,"2,267","46,140"
14,"8,827","35,635","2,955","11,720",461,"3,213","62,811"
15,"11,395","41,193","4,375","14,435",576,"4,045","76,019"
16,"14,017","32,628","6,597","8,018",713,"3,059","65,032"
17,"16,900","28,991","9,822","7,567",892,"2,459","66,631"
18,"20,060","27,200","13,976","9,562","1,211","2,217","74,226"
19,"23,946","27,408","17,899","12,674","1,605","2,358","85,890"
20,"28,313","28,650","20,047","16,290","2,069","2,571","97,940"
21,"32,578","31,321","20,193","19,981","2,654","3,008","109,735"
22,"35,793","36,362","19,889","22,805","3,185","4,019","122,053"
23,"38,504","41,064","18,189","24,625","3,587","5,002","130,971"
24,"37,018","44,123","15,640","24,628","3,877","5,366","130,652"
25,"36,386","46,751","13,761","23,259","3,589","6,098","129,844"
26,"34,940","49,013","11,736","21,157","3,794","6,683","127,323"
27,"34,383","51,478","10,415","18,989","3,934","6,992","126,191"
28,"34,580","56,022","9,221","18,065","3,920","8,170","129,978"
29,"59,072","116,465","12,874","28,945","7,025","18,364","242,745"
30,"6,226","6,150","1,205","1,617",601,820,"16,619"
31,"4,280","2,184",856,524,398,136,"8,378"
32,"4,455","2,323",881,395,417,116,"8,587"
33,"4,492","2,074",859,370,433,156,"8,384"
34,"4,515","1,841",852,320,440,92,"8,060"
35,"4,532","1,534",953,273,467,112,"7,871"
36,"4,675","1,455",941,237,416,77,"7,801"
37,"4,675","1,161",956,204,418,58,"7,472"
38,"4,650","1,048",959,193,437,57,"7,344"
39,"4,568",867,920,198,432,43,"7,028"
40,"4,573",774,847,113,447,28,"6,782"
41,"4,332",674,952,134,400,33,"6,525"
42,"4,486",595,882,95,326,47,"6,431"
43,"4,354",456,880,87,436,32,"6,245"
44,"4,484",382,869,76,406,35,"6,252"
45,"4,486",320,886,60,408,45,"6,205"
46,"4,597",308,884,52,431,30,"6,302"
47,"4,603",284,888,57,406,24,"6,262"
48,"4,740",291,920,54,401,29,"6,435"
49,"4,863",313,917,56,353,12,"6,514"
50,"4,873",249,837,52,399,24,"6,434"
51,"4,577",256,883,45,329,21,"6,111"
52,"4,668",243,877,43,361,17,"6,209"
53,"4,482",235,918,44,370,12,"6,061"
54,"4,459",187,830,42,363,18,"5,899"
55,"4,440",178,872,49,345,23,"5,907"
56,"4,285",187,815,33,355,20,"5,695"
57,"4,334",158,745,48,367,9,"5,661"
58,"4,262",197,781,32,339,15,"5,626"
59,"4,296",184,759,39,356,16,"5,650"
60,"4,536",182,828,45,329,14,"5,934"
61,"4,441",182,802,38,327,14,"5,804"
62,"4,563",199,782,45,342,12,"5,943"
63,"4,432",158,761,42,335,14,"5,742"
64,"4,441",176,796,39,355,10,"5,817"
65,"4,247",208,785,40,303,20,"5,603"
66,"4,163",181,774,41,382,12,"5,553"
67,"4,141",145,772,38,339,7,"5,442"
68,"4,171",153,783,28,315,11,"5,461"
69,"4,220",153,782,31,346,10,"5,542"
70,"4,211",132,697,35,364,14,"5,453"
71,"4,440",146,737,25,328,16,"5,692"
72,"4,690",118,785,24,371,13,"6,001"
73,"4,683",158,816,23,370,7,"6,057"
74,"4,852",131,835,25,389,13,"6,245"
75,"4,773",112,787,20,394,14,"6,100"
76,"4,663",115,781,20,378,15,"5,972"
77,"4,593",107,809,25,396,11,"5,941"
78,"4,623",131,778,26,361,16,"5,935"
79,"4,471",111,764,18,371,13,"5,748"
80,"4,503",120,741,24,371,18,"5,777"
81,"4,530",106,759,22,404,16,"5,837"
82,"4,612",108,706,17,371,8,"5,822"
83,"4,616",109,700,14,374,7,"5,820"
84,"4,794",120,732,20,374,5,"6,045"
85,"4,866",99,711,13,351,6,"6,046"
86,"4,826",114,746,19,402,13,"6,120"
87,"4,665",93,694,24,363,9,"5,848"
88,"4,445",101,691,24,385,12,"5,658"
89,"4,245",87,691,20,403,10,"5,456"
90,"4,133",123,648,28,355,7,"5,294"
91,"4,085",102,671,19,354,10,"5,241"
92,"4,064",121,647,18,360,14,"5,224"
93,"4,147",117,620,22,380,10,"5,296"
94,"3,944",111,623,22,328,12,"5,040"
95,"4,046",84,622,17,333,7,"5,109"
96,"4,201",77,691,17,326,10,"5,322"
97,"4,155",68,695,19,370,6,"5,313"
98,"4,036",74,692,17,357,4,"5,180"
99,"3,953",84,663,23,346,7,"5,076"
100,"3,745",57,597,25,287,10,"4,721"
101,"3,529",62,665,18,321,11,"4,606"
102,"3,566",67,609,26,316,3,"4,587"
103,"3,440",72,610,19,306,7,"4,454"
104,"3,409",59,589,24,304,6,"4,391"
105,"3,305",53,592,17,305,10,"4,282"
106,"3,386",48,615,26,308,3,"4,386"
107,"3,297",65,578,8,287,7,"4,242"
108,"3,536",60,641,5,305,8,"4,555"
109,"3,398",52,620,13,307,6,"4,396"
110,"3,417",52,582,20,296,2,"4,369"
111,"3,132",53,554,19,302,5,"4,065"
112,"2,990",56,559,12,293,2,"3,912"
113,"2,819",69,528,15,291,7,"3,729"
114,"2,843",55,575,18,284,7,"3,782"
115,"2,684",70,579,33,284,3,"3,653"
116,"2,636",70,603,19,296,12,"3,636"
117,"2,607",55,613,21,317,10,"3,623"
118,"2,437",45,583,22,303,5,"3,395"
119,"2,444",47,626,29,318,3,"3,467"
120,"2,716",36,745,23,399,9,"3,928"
121,"2,504",41,697,20,348,3,"3,613"
122,"2,384",46,612,17,334,10,"3,403"
123,"2,271",44,620,23,382,8,"3,348"
124,"2,184",45,717,21,375,3,"3,345"
125,"1,996",56,704,15,360,10,"3,141"
126,"2,033",36,725,14,357,7,"3,172"
127,"1,924",35,780,19,358,7,"3,123"
128,"1,882",36,729,14,324,7,"2,992"
129,"1,901",34,766,22,326,4,"3,053"
130,"1,838",25,729,12,319,6,"2,929"
131,"1,814",22,654,12,290,7,"2,799"
132,"2,234",28,798,17,408,7,"3,492"
133,"1,806",25,617,5,359,5,"2,817"
134,"1,845",25,661,13,344,4,"2,892"
135,"1,794",30,643,8,303,4,"2,782"
136,"1,722",15,704,9,339,6,"2,795"
137,"1,619",32,697,13,283,4,"2,648"
138,"1,522",18,617,15,268,6,"2,446"
139,"1,597",31,759,12,284,2,"2,685"
140,"1,545",22,668,9,293,2,"2,539"
141,"1,708",22,854,13,307,3,"2,907"
142,"1,773",15,878,4,322,2,"2,994"
143,"1,713",24,706,8,240,3,"2,694"
144,"1,625",19,651,15,298,5,"2,613"
145,"1,298",20,528,4,220,3,"2,073"
146,"1,262",13,453,4,239,0,"1,971"
147,"1,172",16,451,9,219,6,"1,873"
148,"1,266",13,577,8,233,3,"2,100"
149,"1,070",12,443,8,166,3,"1,702"
150,"1,005",20,472,8,186,4,"1,695"
151,"1,042",12,506,6,192,3,"1,761"
152,"1,005",15,463,6,172,2,"1,663"
