Birth Year,Birth Month,Country,Gov Region,County,Breed Type,Breed,Sex,Application Type,Number Of Births
2015,April    ,Scotland,Scotland,Wigtown,Non Dairy,ABERDEEN ANGUS,F,Birth Application,112
2015,April    ,Scotland,Scotland,East Lothian,Non Dairy,ABERDEEN ANGUS,M,Birth Application,8
2015,April    ,Scotland,Scotland,Fife,Non Dairy,ABERDEEN ANGUS,F,Birth Application,29
2015,April    ,Scotland,Scotland,Roxburgh,Non Dairy,ABERDEEN ANGUS,F,Birth Application,109
2015,April    ,Scotland,Scotland,Renfrew,Non Dairy,ABERDEEN ANGUS,F,Birth Application,33
2015,April    ,Scotland,Scotland,Lanark,Non Dairy,ABERDEEN ANGUS,F,Birth Application,43
2015,April    ,Scotland,Scotland,Peebles,Non Dairy,ABERDEEN ANGUS,M,Birth Application,6
2015,April    ,Scotland,Scotland,Mid Lothian,Non Dairy,ABERDEEN ANGUS,F,Birth Application,82
2015,April    ,Scotland,Scotland,Bute,Non Dairy,ABERDEEN ANGUS,F,Birth Application,46
2015,April    ,Scotland,Scotland,Aberdeen,Non Dairy,ABERDEEN ANGUS,F,Birth Application,223
2015,April    ,Scotland,Scotland,Shetland,Non Dairy,ABERDEEN ANGUS,F,Birth Application,15
2015,April    ,Scotland,Scotland,Kinross,Non Dairy,ABERDEEN ANGUS,F,Birth Application,15
2015,April    ,Scotland,Scotland,Lanark,Non Dairy,ABERDEEN ANGUS,M,Birth Application,47
2015,April    ,Scotland,Scotland,Kirkcudbright,Non Dairy,ABERDEEN ANGUS,M,Birth Application,58
2015,April    ,Scotland,Scotland,Ross and Cromarty,Non Dairy,ABERDEEN ANGUS,F,Birth Application,33
2015,April    ,Scotland,Scotland,Aberdeen,Non Dairy,ABERDEEN ANGUS,M,Birth Application,222
2015,April    ,Scotland,Scotland,Berwick,Non Dairy,ABERDEEN ANGUS,F,Birth Application,179
2015,April    ,Scotland,Scotland,Bute,Non Dairy,ABERDEEN ANGUS,M,Birth Application,53
2015,April    ,Scotland,Scotland,Inverness,Non Dairy,ABERDEEN ANGUS,F,Birth Application,27
2015,April    ,Scotland,Scotland,Ayr,Non Dairy,ABERDEEN ANGUS,F,Birth Application,110
2015,April    ,Scotland,Scotland,Selkirk,Non Dairy,ABERDEEN ANGUS,M,Birth Application,53
2015,April    ,Scotland,Scotland,Stirling,Non Dairy,ABERDEEN ANGUS,F,Birth Application,14
2015,April    ,Scotland,Scotland,Sutherland,Non Dairy,ABERDEEN ANGUS,F,Birth Application,19
2015,April    ,Scotland,Scotland,Roxburgh,Non Dairy,ABERDEEN ANGUS,M,Birth Application,98
2015,April    ,Scotland,Scotland,West Lothian,Non Dairy,ABERDEEN ANGUS,M,Birth Application,23
2015,April    ,Scotland,Scotland,Perth,Non Dairy,ABERDEEN ANGUS,F,Birth Application,190
2015,April    ,Scotland,Scotland,Angus,Non Dairy,ABERDEEN ANGUS,F,Birth Application,75
2015,April    ,Scotland,Scotland,Orkney,Non Dairy,ABERDEEN ANGUS,F,Birth Application,106
2015,April    ,Scotland,Scotland,East Lothian,Non Dairy,ABERDEEN ANGUS,F,Birth Application,3
2015,April    ,Scotland,Scotland,Banff,Non Dairy,ABERDEEN ANGUS,F,Birth Application,61
2015,April    ,Scotland,Scotland,Mid Lothian,Non Dairy,ABERDEEN ANGUS,M,Birth Application,96
2015,April    ,Scotland,Scotland,Berwick,Non Dairy,ABERDEEN ANGUS,M,Birth Application,175
2015,April    ,Scotland,Scotland,Selkirk,Non Dairy,ABERDEEN ANGUS,F,Birth Application,67
2015,April    ,Scotland,Scotland,Nairn,Non Dairy,ABERDEEN ANGUS,M,Birth Application,4
2015,April    ,Scotland,Scotland,Angus,Non Dairy,ABERDEEN ANGUS,M,Birth Application,103
2015,April    ,Scotland,Scotland,Caithness,Non Dairy,ABERDEEN ANGUS,F,Birth Application,25
2015,April    ,Scotland,Scotland,West Lothian,Non Dairy,ABERDEEN ANGUS,F,Birth Application,31
2015,April    ,Scotland,Scotland,Inverness,Non Dairy,ABERDEEN ANGUS,M,Birth Application,28
2015,April    ,Scotland,Scotland,Argyll,Non Dairy,ABERDEEN ANGUS,F,Birth Application,30
2015,April    ,Scotland,Scotland,Moray,Non Dairy,ABERDEEN ANGUS,M,Birth Application,20
2015,April    ,Scotland,Scotland,Fife,Non Dairy,ABERDEEN ANGUS,M,Birth Application,31
2015,April    ,Scotland,Scotland,Orkney,Non Dairy,ABERDEEN ANGUS,M,Birth Application,143
2015,April    ,Scotland,Scotland,Argyll,Non Dairy,ABERDEEN ANGUS,M,Birth Application,22
2015,April    ,Scotland,Scotland,Clackmannan,Non Dairy,ABERDEEN ANGUS,M,Birth Application,2
2015,April    ,Scotland,Scotland,Clackmannan,Non Dairy,ABERDEEN ANGUS,F,Birth Application,1
2015,April    ,Scotland,Scotland,Renfrew,Non Dairy,ABERDEEN ANGUS,M,Birth Application,23
2015,April    ,Scotland,Scotland,Dumfries,Non Dairy,ABERDEEN ANGUS,F,Birth Application,185
2015,April    ,Scotland,Scotland,Ayr,Non Dairy,ABERDEEN ANGUS,M,Birth Application,135
2015,April    ,Scotland,Scotland,Kinross,Non Dairy,ABERDEEN ANGUS,M,Birth Application,21
2015,April    ,Scotland,Scotland,Perth,Non Dairy,ABERDEEN ANGUS,M,Birth Application,228
2015,April    ,Scotland,Scotland,Moray,Non Dairy,ABERDEEN ANGUS,F,Birth Application,25
2015,April    ,Scotland,Scotland,Caithness,Non Dairy,ABERDEEN ANGUS,M,Birth Application,34
2015,April    ,Scotland,Scotland,Wigtown,Non Dairy,ABERDEEN ANGUS,M,Birth Application,125
2015,April    ,Scotland,Scotland,Dumfries,Non Dairy,ABERDEEN ANGUS,M,Birth Application,193
