Birth Year,Birth Month,Country,Gov Region,County,Breed Type,Breed,Sex,Application Type,Number Of Births
2015,January  ,Wales,Wales,Clwyd,Non Dairy,ABERDEEN ANGUS,F,Birth Application,16
2015,January  ,Wales,Wales,Gwynedd,Non Dairy,ABERDEEN ANGUS,F,Birth Application,8
2015,January  ,Wales,Wales,Mid Glamorgan,Non Dairy,ABERDEEN ANGUS,F,Birth Application,1
2015,January  ,Wales,Wales,Powys,Non Dairy,ABERDEEN ANGUS,M,Birth Application,6
2015,January  ,Wales,Wales,Gwent,Non Dairy,ABERDEEN ANGUS,F,Birth Application,12
2015,January  ,Wales,Wales,West Glamorgan,Non Dairy,ABERDEEN ANGUS,M,Birth Application,1
2015,January  ,Wales,Wales,South Glamorgan,Non Dairy,ABERDEEN ANGUS,M,Birth Application,8
2015,January  ,Wales,Wales,Gwynedd,Non Dairy,ABERDEEN ANGUS,M,Birth Application,10
2015,January  ,Wales,Wales,Dyfed,Non Dairy,ABERDEEN ANGUS,F,Birth Application,30
2015,January  ,Wales,Wales,Gwent,Non Dairy,ABERDEEN ANGUS,M,Birth Application,4
2015,January  ,Wales,Wales,South Glamorgan,Non Dairy,ABERDEEN ANGUS,F,Birth Application,7
2015,January  ,Wales,Wales,West Glamorgan,Non Dairy,ABERDEEN ANGUS,F,Birth Application,1
2015,January  ,Wales,Wales,Clwyd,Non Dairy,ABERDEEN ANGUS,M,Birth Application,13
2015,January  ,Wales,Wales,Powys,Non Dairy,ABERDEEN ANGUS,F,Birth Application,2
2015,January  ,Wales,Wales,Dyfed,Non Dairy,ABERDEEN ANGUS,M,Birth Application,37
2015,January  ,Wales,Wales,Clwyd,Non Dairy,ABERDEEN ANGUS X,F,Birth Application,81
2015,January  ,Wales,Wales,Clwyd,Non Dairy,ABERDEEN ANGUS X,M,Birth Application,93
2015,January  ,Wales,Wales,Dyfed,Non Dairy,ABERDEEN ANGUS X,M,Birth Application,220
2015,January  ,Wales,Wales,Gwynedd,Non Dairy,ABERDEEN ANGUS X,M,Birth Application,45
2015,January  ,Wales,Wales,South Glamorgan,Non Dairy,ABERDEEN ANGUS X,M,Birth Application,3
2015,January  ,Wales,Wales,South Glamorgan,Non Dairy,ABERDEEN ANGUS X,F,Birth Application,4
2015,January  ,Wales,Wales,Powys,Non Dairy,ABERDEEN ANGUS X,M,Birth Application,29
2015,January  ,Wales,Wales,Dyfed,Non Dairy,ABERDEEN ANGUS X,F,Birth Application,232
2015,January  ,Wales,Wales,Gwent,Non Dairy,ABERDEEN ANGUS X,M,Birth Application,33
2015,January  ,Wales,Wales,West Glamorgan,Non Dairy,ABERDEEN ANGUS X,M,Birth Application,1
2015,January  ,Wales,Wales,Powys,Non Dairy,ABERDEEN ANGUS X,F,Birth Application,28
2015,January  ,Wales,Wales,Mid Glamorgan,Non Dairy,ABERDEEN ANGUS X,F,Birth Application,5
2015,January  ,Wales,Wales,Mid Glamorgan,Non Dairy,ABERDEEN ANGUS X,M,Birth Application,5
2015,January  ,Wales,Wales,Gwent,Non Dairy,ABERDEEN ANGUS X,F,Birth Application,37
2015,January  ,Wales,Wales,Gwynedd,Non Dairy,ABERDEEN ANGUS X,F,Birth Application,39
2015,January  ,Wales,Wales,Gwynedd,Dairy,AYRSHIRE,F,Birth Application,1
2015,January  ,Wales,Wales,Clwyd,Dairy,AYRSHIRE,M,Birth Application,12
2015,January  ,Wales,Wales,Powys,Dairy,AYRSHIRE,F,Birth Application,1
2015,January  ,Wales,Wales,Dyfed,Dairy,AYRSHIRE,M,Birth Application,12
2015,January  ,Wales,Wales,Mid Glamorgan,Dairy,AYRSHIRE,F,Birth Application,2
2015,January  ,Wales,Wales,Dyfed,Dairy,AYRSHIRE,F,Birth Application,46
2015,January  ,Wales,Wales,Clwyd,Dairy,AYRSHIRE,F,Birth Application,20
2015,January  ,Wales,Wales,Gwynedd,Dairy,AYRSHIRE,M,Birth Application,6
2015,January  ,Wales,Wales,Gwynedd,Dairy,AYRSHIRE X,M,Birth Application,2
2015,January  ,Wales,Wales,Clwyd,Dairy,AYRSHIRE X,M,Birth Application,4
2015,January  ,Wales,Wales,Dyfed,Dairy,AYRSHIRE X,M,Birth Application,7
2015,January  ,Wales,Wales,Dyfed,Dairy,AYRSHIRE X,F,Birth Application,11
2015,January  ,Wales,Wales,Gwynedd,Dairy,AYRSHIRE X,F,Birth Application,4
2015,January  ,Wales,Wales,West Glamorgan,Non Dairy,BAZADAISE X,M,Birth Application,2
2015,January  ,Wales,Wales,Dyfed,Non Dairy,BAZADAISE X,M,Birth Application,5
2015,January  ,Wales,Wales,Dyfed,Non Dairy,BAZADAISE X,F,Birth Application,1
2015,January  ,Wales,Wales,Mid Glamorgan,Non Dairy,BEEF SHORTHORN,F,Birth Application,3
2015,January  ,Wales,Wales,Clwyd,Non Dairy,BEEF SHORTHORN,F,Birth Application,3
2015,January  ,Wales,Wales,Clwyd,Non Dairy,BEEF SHORTHORN,M,Birth Application,2
2015,January  ,Wales,Wales,Dyfed,Non Dairy,BEEF SHORTHORN,F,Birth Application,12
2015,January  ,Wales,Wales,Dyfed,Non Dairy,BEEF SHORTHORN,M,Birth Application,10
2015,January  ,Wales,Wales,Gwent,Non Dairy,BEEF SHORTHORN X,F,Birth Application,1
2015,January  ,Wales,Wales,Clwyd,Non Dairy,BEEF SHORTHORN X,M,Birth Application,2
2015,January  ,Wales,Wales,Dyfed,Non Dairy,BEEF SHORTHORN X,M,Birth Application,4
2015,January  ,Wales,Wales,Dyfed,Non Dairy,BEEF SHORTHORN X,F,Birth Application,4
2015,January  ,Wales,Wales,Powys,Non Dairy,BEEF SHORTHORN X,F,Birth Application,2
2015,January  ,Wales,Wales,Mid Glamorgan,Non Dairy,BEEF SHORTHORN X,M,Birth Application,1
2015,January  ,Wales,Wales,Powys,Non Dairy,BEEF SHORTHORN X,M,Birth Application,5
2015,January  ,Wales,Wales,Gwynedd,Non Dairy,BELTED GALLOWAY X,F,Birth Application,1
2015,January  ,Wales,Wales,Gwent,Non Dairy,BELTED GALLOWAY X,M,Birth Application,1
2015,January  ,Wales,Wales,Dyfed,Non Dairy,BELTED WELSH BLACK X,M,Birth Application,1
2015,January  ,Wales,Wales,Gwent,Non Dairy,BLONDE D'AQUITAINE,M,Birth Application,1
2015,January  ,Wales,Wales,Dyfed,Non Dairy,BLONDE D'AQUITAINE,F,Birth Application,2
2015,January  ,Wales,Wales,South Glamorgan,Non Dairy,BLONDE D'AQUITAINE,M,Birth Application,2
2015,January  ,Wales,Wales,Powys,Non Dairy,BLONDE D'AQUITAINE,M,Birth Application,1
2015,January  ,Wales,Wales,Gwent,Non Dairy,BLONDE D'AQUITAINE,F,Birth Application,2
2015,January  ,Wales,Wales,Dyfed,Non Dairy,BLONDE D'AQUITAINE,M,Birth Application,2
2015,January  ,Wales,Wales,Gwynedd,Non Dairy,BLONDE D'AQUITAINE X,M,Birth Application,4
2015,January  ,Wales,Wales,Gwent,Non Dairy,BLONDE D'AQUITAINE X,M,Birth Application,15
2015,January  ,Wales,Wales,Dyfed,Non Dairy,BLONDE D'AQUITAINE X,M,Birth Application,16
2015,January  ,Wales,Wales,Clwyd,Non Dairy,BLONDE D'AQUITAINE X,F,Birth Application,11
2015,January  ,Wales,Wales,Powys,Non Dairy,BLONDE D'AQUITAINE X,F,Birth Application,29
2015,January  ,Wales,Wales,West Glamorgan,Non Dairy,BLONDE D'AQUITAINE X,M,Birth Application,1
