Breed,Sex,UP TO 2 Months, 2 AND 4 Months, 4 AND 8 Months, 8 AND 12 Months, 12 AND 18 Months, 18 AND 24 Months, 24 AND 30 Months, 30 AND 36 Months, 36 AND 42 Months, 42 AND 48 Months,OVER 48 Months,Totals
ABERDEEN ANGUS, F ,25,1,12,32,720,"3,636","4,459",336,243,236,"3,966","13,666"
, M ,21,2,15,97,"2,282","5,962","7,946",289,192,114,754,"17,674"
ABERDEEN ANGUS X, F ,309,18,105,177,"4,924","22,018","25,359","1,382",925,669,"13,736","69,622"
, M ,172,19,110,437,"9,689","29,171","40,760","1,109",473,198,202,"82,340"
ANGLER ROTVIEH, F ,0,0,0,0,2,1,5,0,0,1,1,10
, M ,0,0,0,0,0,2,3,0,0,0,1,6
ANGLER ROTVIEH X, F ,0,0,0,0,0,2,9,0,0,0,2,13
, M ,0,0,0,0,0,3,11,0,0,0,0,14
ANKOLE, F ,0,0,0,0,0,0,0,0,1,0,0,1
, M ,0,0,0,0,2,0,0,0,0,0,0,2
ARMORICAINE X, F ,0,0,0,0,0,0,1,0,0,0,0,1
, M ,0,0,0,0,1,0,0,0,0,0,0,1
AUBRAC, F ,0,0,0,0,0,4,5,0,0,0,4,13
, M ,0,0,0,0,0,2,12,0,0,0,2,16
AUBRAC X, F ,0,0,0,0,0,0,9,0,0,0,1,10
, M ,0,0,0,0,0,3,5,0,0,0,0,8
AYRSHIRE, F ,17,0,3,4,6,18,45,107,210,230,"3,963","4,603"
, M ,541,37,59,59,641,392,502,74,63,40,42,"2,450"
AYRSHIRE X, F ,2,0,0,1,3,8,17,14,40,32,278,395
, M ,99,9,10,9,145,42,114,11,10,2,3,454
BAZADAISE, F ,0,0,0,0,13,30,15,1,1,3,27,90
, M ,0,0,0,0,31,50,24,0,1,1,18,125
BAZADAISE X, F ,0,0,24,12,288,419,505,12,10,5,83,"1,358"
, M ,0,0,33,13,457,398,440,4,2,0,2,"1,349"
BEEF SHORTHORN, F ,0,1,0,1,10,119,107,22,28,19,218,525
, M ,1,1,1,14,202,562,511,28,15,5,55,"1,395"
BEEF SHORTHORN X, F ,2,0,0,10,100,387,359,63,47,29,242,"1,239"
, M ,0,0,0,27,356,969,912,25,12,4,5,"2,310"
BEEF X, F ,0,0,0,0,0,0,0,0,0,0,4,4
BEEFALO, M ,0,0,0,0,0,0,1,0,0,0,0,1
BELGIAN BLUE, F ,6,6,4,30,600,"1,559","2,633",135,120,107,"1,574","6,774"
, M ,11,4,11,70,"1,717","1,805","3,838",114,65,39,236,"7,910"
BELGIAN BLUE X, F ,66,25,206,407,"7,740","18,815","25,879","1,202",825,633,"8,351","64,149"
, M ,49,20,199,933,"21,113","20,021","36,726",824,320,171,120,"80,496"
BELTED GALLOWAY, F ,0,0,0,0,6,12,47,6,9,8,160,248
, M ,0,0,0,0,23,73,397,44,22,24,43,626
BELTED GALLOWAY X, F ,2,0,0,0,3,16,72,7,1,3,67,171
, M ,0,0,1,0,15,35,169,7,1,2,4,234
BELTED WELSH BLACK, F ,0,0,0,0,0,1,2,1,0,1,6,11
, M ,0,0,0,0,3,5,5,0,1,0,0,14
BELTED WELSH BLACK X, M ,0,0,0,0,0,1,0,1,0,0,0,2
BISON, F ,0,0,0,0,0,0,1,0,0,0,1,2
, M ,0,0,0,0,1,1,13,1,2,0,0,18
BLONDE D'AQU (RED), F ,0,0,0,0,0,0,0,0,0,0,3,3
, M ,0,0,0,0,0,0,0,0,0,0,1,1
BLONDE D'AQU (RED) X, F ,0,0,0,0,0,0,0,0,0,0,34,34
BLONDE D'AQU(BLACK)X, F ,0,0,0,0,0,0,0,0,0,0,47,47
BLONDE D'AQU(WHITE), F ,0,0,0,0,0,0,0,0,0,0,1,1
BLONDE D'AQU(WHITE)X, F ,0,0,0,0,0,0,0,0,0,0,16,16
BLONDE D'AQUITAINE, F ,0,0,1,7,280,812,"1,077",68,59,64,812,"3,180"
, M ,0,0,0,41,818,871,"1,190",42,27,28,307,"3,324"
BLONDE D'AQUITAINE X, F ,5,2,8,203,"4,530","11,992","12,047",421,279,206,"3,223","32,916"
, M ,2,0,16,397,"9,125","9,692","14,143",388,126,51,64,"34,004"
BLUE ALBION, F ,0,0,0,0,0,3,6,1,1,2,21,34
, M ,0,0,0,0,3,11,23,1,0,0,1,39
BLUE ALBION X, F ,0,0,0,0,1,2,8,0,0,1,9,21
, M ,0,0,0,0,14,16,9,2,0,0,0,41
BLUE GREY, F ,0,0,0,0,4,9,16,2,6,5,215,257
, M ,0,0,0,0,10,69,295,11,2,0,2,389
BLUE GREY X, F ,0,0,0,0,0,0,0,0,0,0,21,21
, M ,0,0,0,0,1,0,9,0,0,0,0,10
BRAHMAN, F ,0,0,0,0,0,1,1,0,0,0,4,6
, M ,0,0,0,0,0,0,1,0,0,0,0,1
BRAHMAN X, F ,0,0,0,0,3,6,8,0,0,0,3,20
, M ,0,0,0,1,2,4,11,1,0,1,0,20
BRETONNE PIE0NOIRE, F ,0,0,0,0,0,1,0,0,0,0,1,2
, M ,0,0,0,0,0,0,1,0,0,0,0,1
BRETONNE PIE0NOIRE X, F ,0,0,0,0,0,1,2,0,0,0,0,3
BRITISH FRIESIAN, F ,105,12,28,9,76,211,"1,020","1,185","1,792","2,062","24,662","31,162"
, M ,"2,972",120,55,449,"10,484","6,664","18,145","1,305",726,279,244,"41,443"
BRITISH FRIESIAN X, F ,27,1,6,9,58,91,225,208,189,226,"2,020","3,060"
, M ,770,12,10,88,"1,429",894,"1,796",118,89,53,37,"5,296"
BRITISH HOLSTEIN, F ,5,0,0,2,3,1,1,0,0,0,"2,070","2,082"
, M ,220,3,1,5,93,1,0,0,0,0,1,324
BRITISH HOLSTEIN X, F ,3,0,0,0,1,0,0,0,0,0,420,424
, M ,59,3,0,4,31,2,0,0,0,0,0,99
BRITISH WHITE, F ,0,0,0,0,4,11,31,10,11,16,171,254
, M ,0,0,0,1,59,87,221,27,9,5,21,430
BRITISH WHITE X, F ,0,0,0,4,23,36,72,5,7,6,69,222
, M ,0,0,0,3,19,68,151,9,7,3,3,263
BROWN SWISS, F ,4,0,0,1,4,10,29,35,37,47,371,538
, M ,120,0,1,1,62,52,116,8,8,4,7,379
