REGISTER OF SPECIAL ADVISERS' MEETINGS WITH INDIVIDUALS OR EXTERNAL ORGANISATIONS *,,,,,
,,,,,
,,,,Period:    January 2020-March 2020,
,,,,,
Name,Dept,Date,Name of Organisation or individual,Purpose of meeting,
Mark Beattie,DAERA,NIL Return for this period,,,
Peter Martin,DE,11/03/2020,"Peter Hamill, Secretary to the Board of Education NI. Church Of Ireland",Discussion on school merger,
Ronan McGinley,DfC,06/03/2020,Hospitality Ulster,Discuss Liquor Licensing Reform,
Alastair Ross,DfE,NIL Return for this period,,,
Tanya McCamphill,DfI,NIL Return for this period,,,
Eoin Rooney,DoF,31/01/2020,"Mary McKee, Strategic Investment Board (SIB)",Update on social value,
Eoin Rooney,DoF,06/02/2020,Christine Robinson (Belfast City Council),Update on social value,
Eoin Rooney,DoF,06/02/2020,"Strategic Investment Board (SIB) Brett Hannam, Mary Mckee, Keven Hegarty, Martin Spollen, Ronan O Hara, Jean Wylie",Discussed asset management and delivery of large capital projects,
Eoin Rooney,DoF,09/03/2020,"Ronan McGinley DFC Special Adviser , Peter Roberts (Housing Executive), John McMullan (Housing Executive)",Housing Executive's Corporation Tax liability,
Mark Ovens,DoH,NIL Return for this period,,,
Claire Johnson,DoJ,29/01/2020,"Professor Duncan Morrow, Ulster University",General discussion on justice issues,
Claire Johnson,DoJ,14/02/2020,"Cheryl Lamont, Probation Board of Northern Ireland (PBNI)",Introductory meeting,
Claire Johnson,DoJ,21/02/2020,"Daniel Holder, Committee on the Administration of Justice (CAJ)",Introductory meeting,
Claire Johnson,DoJ,21/02/2020,"Julian O'Neill, BBC",Introductory meeting,
Claire Johnson,DoJ,06/03/2020,"Stephen Dickson, Belfast Activity Centre",Introductory meeting,
Claire Johnson,DoJ,11/03/2020,"Les Allamby, NI Human Rights Commission",Introductory meeting,
Claire Johnson,DoJ,13/02/2020,"Kevin Brown, Queen's University Belfast",General discussion on criminal justice issues,
Claire Johnson,DoJ,13/02/2020,Bar of Northern Ireland,Introductory meeting,
Stephen McGlade,TEO,NIL Return for this period,,,
Dara O'Hagan,TEO,NIL Return for this period,,,
John Loughran,TEO,NIL Return for this period,,,
Philip Weir,TEO,NIL Return for this period,,,
Emma Little-Pengelly,TEO,NIL Return for this period,,,
Kim Ashton,TEO,NIL Return for this period,,,
,,,,,
,,,,,
*Does not include meetings where accompanying the Minister,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
