 REGISTER OF SPECIAL ADVISER GIFTS AND HOSPITALITY RECEIVED,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,Period:,1 July 2022 - 30 September 2022,,,,
Special Adviser,Dept,Date of Offer,Offered From,Description of offer,Reason for Offer,Estimated Value,"Action Taken 
(Please select from Drop Down)",Accompanied ,,,
Mark Beattie,DAERA,02/07/2022,Tyrone Farming Society,Lunch,Lunch with members of the show committee while attending the Omagh Show,£40 ,Accepted,No ,,,
Mark Beattie,DAERA,04/07/2022,"DEFRA (The Department for Environment, Food and Rural Affairs)",Buffet Lunch & Drinks Reception,Lunch provided while attending the UK Agricultural Partnership Meeting - Food Security Programme,£25 ,Accepted,No ,,,
Mark Beattie,DAERA ,27/07/2022,Clogher Valley Agricultural Society Ltd,Lunch,Lunch with members of the show committee while attending the Clogher Valley Agricultural Show,£40 ,Accepted,No ,,,
Mark Beattie,DAERA,01/08/2022,REMONDIS Recycling GmbH & Co. KG,"Sandwiches, pastries, tea & coffee ",Lunch provided while visiting REMONDIS Recycling,£20 ,Accepted,No ,,,
Mark Beattie,DAERA,02/08/2022,Wageningen University & Research,"Sandwiches, bread rolls, tea & coffee ",Lunch provided while visiting Wageningen University & Research,£20 ,Accepted,No ,,,
Mark Beattie,DAERA,03/08/2022,Lely/ Firma Nescio,"Sandwiches, buns, tea & coffee",Lunch provided while visiting a Lely demonstration farm,£20 ,Accepted,No ,,,
,,,,,,,,,,,
Peter Martin,DE,No gifts or hospitality offered of received during this period,,,,,,,,,
,,,,,,,,,,,
Ronan McGinley,DfC,No gifts or hospitality offered of received during this period,,,,,,,,,
,,,,,,,,,,,
Alastair Ross,DfE,05/09/2022,Invest NI,Dinner in USA,Supporting Minister,£85 ,Accepted,No,,,
Alastair Ross,DfE,06/09/2022,Wolfspeed,Dinner in USA,Supporting Minister,£95 ,Accepted,No,,,
Alastair Ross,DfE,29/09/2022,Titanic Distillers,Bottle of Whiskey,Supporting Minister,£45 ,Accepted,No,,,
,,,,,,,,,,,
Dr Dara O'Hagan,DfI ,08/07/2022,British Irish Council,"Tea, fudge, tea towel and guide",Attending BIC conference - gift for delegates,£20 ,Accepted ,No,,,
Dr Dara O'Hagan,DfI ,08/07/2022,Belfast International Airprot,Airport Lounge Access,Attending BIC conference and flying from Airport,£20 ,Accepted ,No,,,
Dr Dara O'Hagan,DfI ,28/09/2022,Orkney Islands Council,Small gift bag containing pen and small bottle of gin,Attending Orkney Islands Forum,£10 ,Accepted ,No,,,
,,,,,,,,,,,
Eoin Rooney ,DoF,24/08/2022,Hospitality Ulster,Dinner,In Camera dinner to discuss challenges facing the hospitality industry,£95 ,Accepted,No,,,
Eoin Rooney ,DoF,29/09/2022,Aisling Events,Dinner,Belfast International Homecoming/Cuireadh: An Teacht Abhaile - Belfast Ambassador banquet: Titanic Hotel,£70 ,Accepted ,No,,,
,,,,,,,,,,,
Mark Ovens,DoH,No gifts or hospitality offered of received during this period,,,,,,,,,
,,,,,,,,,,,
Claire Johnson,DoJ,No gifts or hospitality offered of received during this period,,,,,,,,,
,,,,,,,,,,,
Junior Ministers,TEO,No Junior Ministers in post in either FM or dFM offices during this period,,,,,,,,,
,,,,,,,,,,,
* Any refreshments received below £10 have not been recorded,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
