Senior Officials Name,Start date of trip,Duration of Visit (Days),Destination,Purpose of trip,Mode of transport,Class of travel,Accommodation/Meals (£),Other (including hospitality given),"Total cost, including all visas, accommodation, travel, meals etc. (£)",Total Cost of Use of Official Secure Car
Karen Gosden,11/04/2022,2,"London, UK",Senior Director General meeting,Rail,Standard,125.5,Nil Return,353.25,Nil return
Karen Gosden,26/04/2022,2,"London, UK",Senior Director General meeting,Rail,Standard,160.62,Nil Return,388.77,Nil return
Karen Gosden,03/05/2022,2,"London, UK",Senior Director General meeting,Rail,Standard,154,Nil Return,365.75,Nil return
Karen Gosden,05/05/2022,1,"Sheffield, UK",Senior Director General meeting,Rail,Standard,Nil Return,Nil Return,33.15,Nil return
Karen Gosden,06/05/2022,1,"London, UK",Senior Director General meeting,Rail,Standard,Nil Return,Nil Return,219.75,Nil return
Karen Gosden,09/05/2022,3,"London, UK",Senior Director General meeting,Rail,Standard,305.6,Nil Return,517.35,Nil return
Karen Gosden,12/05/2022,1,"Manchester, UK",Senior Director General meeting,Rail,Standard,Nil Return,Nil Return,44.73,Nil return
Karen Gosden,16/05/2022,3,"London, UK",Senior Director General meeting,Rail,Standard,309.08,Nil Return,530.83,Nil return
Karen Gosden,23/05/2022,2,"London, UK",Senior Director General meeting,Rail,Standard,131,Nil Return,342.75,Nil return
Karen Gosden,30/05/2022,2,"London, UK",Senior Director General meeting,Rail,Standard,145,Nil Return,356.75,Nil return
Karen Gosden,13/06/2022,2,"London, UK",Senior Director General meeting,Rail,Standard,140.5,Nil Return,352.25,Nil return
Karen Gosden,22/06/2022,2,"London, UK",Senior Director General meeting,Rail,Standard,140.5,Nil Return,352,Nil return
Karen Gosden,27/06/2022,2,"London, UK",Senior Director General meeting,Rail,Standard,115,Nil Return,326.75,Nil return
Carol Morris,29/06/2022,2,"Derby, UK",Senior Director General meeting,Rail,Standard,79.8,Nil Return,291.55,Nil return
Preeta Ramachandran,13/04/2022,1,"Dover, UK",Internal site visit,Rail,Standard,Nil Return,Nil Return,53.65,Nil return
Preeta Ramachandran,14/04/2022,1,"Brighton, UK",Internal site visit,Rail,Standard,Nil Return,Nil Return,37.25,Nil return
Preeta Ramachandran,20/04/2022,1,"Brighton, UK",Internal site visit,Rail,Standard,Nil Return,Nil Return,37.25,Nil return
Preeta Ramachandran,04/05/2022,1,"Salisbury, UK",Conference attendance,Rail,Standard,Nil Return,Nil Return,50.15,Nil return
Preeta Ramachandran,05/05/2022,1,"Tonbridge, UK",Internal site visit,Rail,Standard,Nil Return,Nil Return,10.25,Nil return
Preeta Ramachandran,18/05/2022,1,"Bournemouth, UK",Internal site visit,Rail,Standard,Nil Return,Nil Return,67.65,Nil return
Preeta Ramachandran,06/06/2022,1,"Southampton, UK",Internal site visit,Rail,Standard,Nil Return,Nil Return,51.95,Nil return
Preeta Ramachandran,15/06/2022,1,"Gloucester, UK",Internal site visit,Rail,Standard,Nil Return,Nil Return,158.35,Nil return
Preeta Ramachandran,28/06/2022,1,"Guildford, UK",Internal site visit,Rail,Standard,Nil Return,Nil Return,27.25,Nil return
Preeta Ramachandran,30/06/2022,1,"Derby, UK",Senior Leadership meeting,Rail,Standard,Nil Return,Nil Return,175.75,Nil return
Alison Hilton,26/04/2022,1,"London, UK",Senior Director General meeting,Rail,Standard,272.65,Nil Return,272.65,Nil return
Alison Hilton,03/05/2022,1,"London, UK",Senior Director General meeting,Rail,Standard,139.65,Nil Return,139.65,Nil return
Alison Hilton,06/05/2022,1,"Leeds, UK",Senior Director General meeting,Rail,Standard,69.25,Nil Return,69.25,Nil return
Alison Hilton,12/05/2022,1,"Manchester, UK",Internal site visit,Rail,Standard,82.05,Nil Return,82.05,Nil return
Alison Hilton,19/05/2022,1,"Leeds, UK",Summer School event,Rail,Standard,44.95,Nil Return,44.95,Nil return
Alison Hilton,24/05/2022,1,"London, UK",Senior Director General meeting,Rail,Standard,280.25,Nil Return,280.25,Nil return
Alison Hilton,26/05/2022,1,"York, UK",Internal site visit,Rail,Standard,36.45,Nil Return,36.45,Nil return
Alison Hilton,07/06/2022,1,"Hull, UK",Internal site visit,Car,Standard,76.45,Nil Return,76.45,Nil return
Alison Hilton,08/06/2022,1,"Hull, UK",Internal site visit,Car,Standard,65,Nil Return,65,Nil return
David Barrow,12/05/2022,1,"Manchester, UK",Directors away day,Rail,Standard,Nil return,Nil Return,42.95,Nil return
David Barrow,24/05/2022,1,"London, UK",W&H Family Time event,Rail,Standard,5,Nil Return,231.25,Nil return
David Barrow,23/05/2022,1,"Manchester, UK",Development Day ,Car,Standard,4.15,Nil Return,81.82,Nil return
David Barrow,08/06/2022,1,"Bolton, UK",Internal site visit,Car,Standard,Nil return,Nil Return,134.14,Nil return
David Barrow,13/06/2022,2,"London, UK",Executive Team meeting,Rail,Standard,159.5,Nil Return,393.25,Nil return
David Barrow,15/06/2022,1,"Manchester, UK",Internal site visit,Car,Standard,Nil return,Nil Return,83.93,Nil return
David Barrow,24/06/2022,1,"Manchester, UK",Internal site visit,Car,Standard,Nil return,Nil Return,62.85,Nil return
David Barrow,28/06/2022,1,"Bradford, UK",Internal site visit,Car,Standard,Nil return,Nil Return,56.76,Nil return
David Barrow,30/06/2022,1,"Derby, UK",Executive Team meeting,Rail,Standard,Nil return,Nil Return,34.15,Nil return
Sarah Pearson,09/05/2022,3,"Llandudno, UK",Internal site visit,Car,Standard,90,Nil Return,180,Nil return
Sarah Pearson,09/05/2022,3,"Llandudno, UK",Internal site visit,Nill return,Standard,19,Nil Return,19,Nil return
Sarah Pearson,10/05/2022,3,"Holyhead, UK",Internal site visit,Car,Standard,5.35,Nil Return,5,Nil return
Sarah Pearson,10/05/2022,3,"Landudno, UK",Internal site visit,Car,Standard,16,Nil Return,16,Nil return
Sarah Pearson,11/05/2022,3,"Manchester, UK",Internal site visit,Car,Standard,3.9,Nil Return,3.9,Nil return
Sarah Pearson,11/05/2022,3,"Manchester, UK",Hotels,Car,Standard,73.96,Nil Return,73.96,Nil return
Sarah Pearson,12/05/2022,3,"Manchester, UK",Meeting with Peter Schofield,Car,Standard,5.39,Nil Return,5,Nil return
Margarita Morrison ,08/04/2022,1,"Perth, UK",Internal site visit,Car,Standard,5,Nil Return,58,Nil return
Margarita Morrison ,22/04/2022,1,"Dundee, UK",Internal site visit,Rail,Standard,Nil return,Nil Return,46.95,Nil return
Margarita Morrison ,25/04/2022,3,"London, UK",Senior Leadership meeting,Rail ,Standard,286.09,Nil Return,562.93,Nil return
Margarita Morrison ,03/05/2022,1,"Irvine, UK",Internal site visit,Rail ,Standard,Nil return,Nil Return,14.55,Nil return
Margarita Morrison ,10/05/2022,1,"Stirling, UK",Youth Hub launch event,Car,Standard,Nil return,Nil Return,20.7,Nil return
Margarita Morrison ,11/05/2022,2,"Manchester, UK",Senior Leadership meeting,Rail ,Standard,110,Nil Return,272.65,Nil return
Margarita Morrison ,20/05/2022,1,"Grangemouth, UK",Internal site visit,Car,Standard,Nil return,Nil Return,42.3,Nil return
Margarita Morrison ,23/05/2022,2,"London, UK",Princes Trust award ceremony,Rail ,Standard,119.5,Nil Return,479.28,Nil return
Margarita Morrison ,06/06/2022,1,"Glasgow, UK",Offical Giv Hub launch event,Car,Standard,Nil return,Nil Return,22.8,Nil return
Margarita Morrison ,09/06/2022,1,"Dunfermline, UK",Internal site visit,Car,Standard,3.5,Nil Return,47.6,Nil return
Margarita Morrison ,13/06/2022,2,"London, UK",Senior Leadership meeting,Rail ,Standard,143,Nil Return,486.83,Nil return
Margarita Morrison ,15/06/2022,1,"Glasgow, UK",Partnership Event,Car,Standard,Nil return,Nil Return,26.75,Nil return
Margarita Morrison ,27/06/2022,2,"Blackpool, UK",Civil Service Live event,Rail ,Standard,72,Nil Return,72,Nil return
Margarita Morrison ,28/06/2022,2,"Derby, UK",Senior Leadership meeting,Rail ,Standard,248.79,Nil Return,248.79,Nil return
Nick Riddle,04/04/2022,2,"Staveley, UK",Internal site visit,Car,Standard,Nil return,Nil Return,85.93,Nil return
Nick Riddle,07/04/2022,1,"Nuneaton, UK",Senior Leadership Event,Car,Standard,Nil return,Nil Return,116.68,Nil return
Nick Riddle,04/04/2022,1,Nil return,Nil return,Fuel,Standard,Nil return,Nil Return,38.27,Nil return
Nick Riddle,04/04/2022,1,Nil return,Nil return,Fuel,Standard,Nil return,Nil Return,38.24,Nil return
Nick Riddle,05/04/2022,1,Nil return,Nil return,Fuel,Standard,Nil return,Nil Return,26.07,Nil return
Nick Riddle,05/04/2022,1,Nil return,Nil return,Fuel,Standard,Nil return,Nil Return,44.51,Nil return
Nick Riddle,07/04/2022,1,Nil return,Nil return,Fuel,Standard,Nil return,Nil Return,47.16,Nil return
Nick Riddle,26/04/2022,1,Nil return,Nil return,Rail,Standard,Nil return,Nil Return,17.5,Nil return
Nick Riddle,03/05/2022,1,Nil return,Nil return,Parking,Standard,Nil return,Nil Return,12.5,Nil return
Nick Riddle,25/04/2022,2,"London, UK",Family Time Event,Car,Standard,Nil return,Nil Return,112.03,Nil return
Nick Riddle,04/05/2022,2,"Erdington, UK",Internal site visit,Car,Standard,Nil return,Nil Return,69.55,Nil return
Nick Riddle,11/05/2022,2,"Manchester, UK",Directors away day,Car,Standard,Nil return,Nil Return,69.55,Nil return
Nick Riddle,28/04/2022,1,Nil return,Nil return,Fuel,Standard,Nil return,Nil Return,76.31,Nil return
