"KpiId","KpiName","Value","DataType","Period","StartDate","EndDate","CollectionFrequency"
"CSP27","Number of Incidents of Violent Crime Within the ARZ","NC","Number","2011/2012","2011-04-01","2012-03-31","Monthly"
"CSP27","Number of Incidents of Violent Crime Within the ARZ","56.00 Number","Number","2012/2013_Apr","2012-04-01","2012-04-30","Monthly"
"CSP27","Number of Incidents of Violent Crime Within the ARZ","122.00 Number","Number","2012/2013_Q1","2012-04-01","2012-06-30","Monthly"
"CSP27","Number of Incidents of Violent Crime Within the ARZ","613.00 Number","Number","2012/2013","2012-04-01","2013-03-31","Monthly"
"CSP27","Number of Incidents of Violent Crime Within the ARZ","26.00 Number","Number","2012/2013_May","2012-05-01","2012-05-31","Monthly"
"CSP27","Number of Incidents of Violent Crime Within the ARZ","40.00 Number","Number","2012/2013_Jun","2012-06-01","2012-06-30","Monthly"
"CSP27","Number of Incidents of Violent Crime Within the ARZ","151.00 Number","Number","2012/2013_Q2","2012-07-01","2012-09-30","Monthly"
"CSP27","Number of Incidents of Violent Crime Within the ARZ","45.00 Number","Number","2012/2013_Jul","2012-07-01","2012-07-31","Monthly"
"CSP27","Number of Incidents of Violent Crime Within the ARZ","57.00 Number","Number","2012/2013_Aug","2012-08-01","2012-08-31","Monthly"
"CSP27","Number of Incidents of Violent Crime Within the ARZ","49.00 Number","Number","2012/2013_Sep","2012-09-01","2012-09-30","Monthly"
"CSP27","Number of Incidents of Violent Crime Within the ARZ","180.00 Number","Number","2012/2013_Q3","2012-10-01","2012-12-31","Monthly"
"CSP27","Number of Incidents of Violent Crime Within the ARZ","62.00 Number","Number","2012/2013_Oct","2012-10-01","2012-10-31","Monthly"
"CSP27","Number of Incidents of Violent Crime Within the ARZ","49.00 Number","Number","2012/2013_Nov","2012-11-01","2012-11-30","Monthly"
"CSP27","Number of Incidents of Violent Crime Within the ARZ","69.00 Number","Number","2012/2013_Dec","2012-12-01","2012-12-31","Monthly"
"CSP27","Number of Incidents of Violent Crime Within the ARZ","55.00 Number","Number","2012/2013_Jan","2013-01-01","2013-01-31","Monthly"
"CSP27","Number of Incidents of Violent Crime Within the ARZ","160.00 Number","Number","2012/2013_Q4","2013-01-01","2013-03-31","Monthly"
"CSP27","Number of Incidents of Violent Crime Within the ARZ","37.00 Number","Number","2012/2013_Feb","2013-02-01","2013-02-28","Monthly"
"CSP27","Number of Incidents of Violent Crime Within the ARZ","68.00 Number","Number","2012/2013_Mar","2013-03-01","2013-03-31","Monthly"
"CSP27","Number of Incidents of Violent Crime Within the ARZ","136.00 Number","Number","2013/2014_Q1","2013-04-01","2013-06-30","Monthly"
"CSP27","Number of Incidents of Violent Crime Within the ARZ","587.00 Number","Number","2013/2014","2013-04-01","2014-03-31","Monthly"
"CSP27","Number of Incidents of Violent Crime Within the ARZ","33.00 Number","Number","2013/2014_Apr","2013-04-01","2013-04-30","Monthly"
"CSP27","Number of Incidents of Violent Crime Within the ARZ","51.00 Number","Number","2013/2014_May","2013-05-01","2013-05-31","Monthly"
"CSP27","Number of Incidents of Violent Crime Within the ARZ","52.00 Number","Number","2013/2014_Jun","2013-06-01","2013-06-30","Monthly"
"CSP27","Number of Incidents of Violent Crime Within the ARZ","162.00 Number","Number","2013/2014_Q2","2013-07-01","2013-09-30","Monthly"
"CSP27","Number of Incidents of Violent Crime Within the ARZ","58.00 Number","Number","2013/2014_Jul","2013-07-01","2013-07-31","Monthly"
"CSP27","Number of Incidents of Violent Crime Within the ARZ","48.00 Number","Number","2013/2014_Aug","2013-08-01","2013-08-31","Monthly"
"CSP27","Number of Incidents of Violent Crime Within the ARZ","56.00 Number","Number","2013/2014_Sep","2013-09-01","2013-09-30","Monthly"
"CSP27","Number of Incidents of Violent Crime Within the ARZ","47.00 Number","Number","2013/2014_Oct","2013-10-01","2013-10-31","Monthly"
"CSP27","Number of Incidents of Violent Crime Within the ARZ","159.00 Number","Number","2013/2014_Q3","2013-10-01","2013-12-31","Monthly"
"CSP27","Number of Incidents of Violent Crime Within the ARZ","42.00 Number","Number","2013/2014_Nov","2013-11-01","2013-11-30","Monthly"
"CSP27","Number of Incidents of Violent Crime Within the ARZ","70.00 Number","Number","2013/2014_Dec","2013-12-01","2013-12-31","Monthly"
"CSP27","Number of Incidents of Violent Crime Within the ARZ","50.00 Number","Number","2013/2014_Jan","2014-01-01","2014-01-31","Monthly"
"CSP27","Number of Incidents of Violent Crime Within the ARZ","130.00 Number","Number","2013/2014_Q4","2014-01-01","2014-03-31","Monthly"
"CSP27","Number of Incidents of Violent Crime Within the ARZ","40.00 Number","Number","2013/2014_Feb","2014-02-01","2014-02-28","Monthly"
"CSP27","Number of Incidents of Violent Crime Within the ARZ","40.00 Number","Number","2013/2014_Mar","2014-03-01","2014-03-31","Monthly"
"CSP27","Number of Incidents of Violent Crime Within the ARZ","50.00 Number","Number","2014/2015_Apr","2014-04-01","2014-04-30","Monthly"
"CSP27","Number of Incidents of Violent Crime Within the ARZ","137.00 Number","Number","2014/2015_Q1","2014-04-01","2014-06-30","Monthly"
"CSP27","Number of Incidents of Violent Crime Within the ARZ","561.00 Number","Number","2014/2015","2014-04-01","2015-03-31","Monthly"
"CSP27","Number of Incidents of Violent Crime Within the ARZ","48.00 Number","Number","2014/2015_May","2014-05-01","2014-05-31","Monthly"
"CSP27","Number of Incidents of Violent Crime Within the ARZ","39.00 Number","Number","2014/2015_Jun","2014-06-01","2014-06-30","Monthly"
"CSP27","Number of Incidents of Violent Crime Within the ARZ","134.00 Number","Number","2014/2015_Q2","2014-07-01","2014-09-30","Monthly"
"CSP27","Number of Incidents of Violent Crime Within the ARZ","38.00 Number","Number","2014/2015_Jul","2014-07-01","2014-07-31","Monthly"
"CSP27","Number of Incidents of Violent Crime Within the ARZ","52.00 Number","Number","2014/2015_Aug","2014-08-01","2014-08-31","Monthly"
"CSP27","Number of Incidents of Violent Crime Within the ARZ","49.00 Number","Number","2014/2015_Sep","2014-09-01","2014-09-30","Monthly"
"CSP27","Number of Incidents of Violent Crime Within the ARZ","155.00 Number","Number","2014/2015_Q3","2014-10-01","2014-12-31","Monthly"
"CSP27","Number of Incidents of Violent Crime Within the ARZ","46.00 Number","Number","2014/2015_Oct","2014-10-01","2014-10-31","Monthly"
"CSP27","Number of Incidents of Violent Crime Within the ARZ","48.00 Number","Number","2014/2015_Nov","2014-11-01","2014-11-30","Monthly"
"CSP27","Number of Incidents of Violent Crime Within the ARZ","61.00 Number","Number","2014/2015_Dec","2014-12-01","2014-12-31","Monthly"
"CSP27","Number of Incidents of Violent Crime Within the ARZ","37.00 Number","Number","2014/2015_Jan","2015-01-01","2015-01-31","Monthly"
"CSP27","Number of Incidents of Violent Crime Within the ARZ","128.00 Number","Number","2014/2015_Q4","2015-01-01","2015-03-31","Monthly"
"CSP27","Number of Incidents of Violent Crime Within the ARZ","49.00 Number","Number","2014/2015_Feb","2015-02-01","2015-02-28","Monthly"
"CSP27","Number of Incidents of Violent Crime Within the ARZ","42.00 Number","Number","2014/2015_Mar","2015-03-01","2015-03-31","Monthly"
"CSP27","Number of Incidents of Violent Crime Within the ARZ","169.00 Number","Number","2015/2016_Q1","2015-04-01","2015-06-30","Monthly"
"CSP27","Number of Incidents of Violent Crime Within the ARZ","720.00 Number","Number","2015/2016","2015-04-01","2016-03-31","Monthly"
"CSP27","Number of Incidents of Violent Crime Within the ARZ","60.00 Number","Number","2015/2016_Apr","2015-04-01","2015-04-30","Monthly"
"CSP27","Number of Incidents of Violent Crime Within the ARZ","62.00 Number","Number","2015/2016_May","2015-05-01","2015-05-31","Monthly"
"CSP27","Number of Incidents of Violent Crime Within the ARZ","47.00 Number","Number","2015/2016_Jun","2015-06-01","2015-06-30","Monthly"
"CSP27","Number of Incidents of Violent Crime Within the ARZ","182.00 Number","Number","2015/2016_Q2","2015-07-01","2015-09-30","Monthly"
"CSP27","Number of Incidents of Violent Crime Within the ARZ","69.00 Number","Number","2015/2016_Jul","2015-07-01","2015-07-31","Monthly"
"CSP27","Number of Incidents of Violent Crime Within the ARZ","62.00 Number","Number","2015/2016_Aug","2015-08-01","2015-08-31","Monthly"
"CSP27","Number of Incidents of Violent Crime Within the ARZ","51.00 Number","Number","2015/2016_Sep","2015-09-01","2015-09-30","Monthly"
"CSP27","Number of Incidents of Violent Crime Within the ARZ","183.00 Number","Number","2015/2016_Q3","2015-10-01","2015-12-31","Monthly"
"CSP27","Number of Incidents of Violent Crime Within the ARZ","55.00 Number","Number","2015/2016_Oct","2015-10-01","2015-10-31","Monthly"
"CSP27","Number of Incidents of Violent Crime Within the ARZ","62.00 Number","Number","2015/2016_Nov","2015-11-01","2015-11-30","Monthly"
