"KpiId","KpiName","Value","DataType","Period","StartDate","EndDate","CollectionFrequency"
"APSE121","Street Lighting: Average cost of maintaining street lights (PI 01a)","NC","Financial","2012/2013","2012-04-01","2013-03-31","Annual"
"APSE121","Street Lighting: Average cost of maintaining street lights (PI 01a)","31.00 £","Financial","2013/2014","2013-04-01","2014-03-31","Annual"
"APSE121","Street Lighting: Average cost of maintaining street lights (PI 01a)","43.67 £","Financial","2014/2015","2014-04-01","2015-03-31","Annual"
"APSE121","Street Lighting: Average cost of maintaining street lights (PI 01a)","NC","Financial","2015/2016","2015-04-01","2016-03-31","Annual"
"APSE121","Street Lighting: Average cost of maintaining street lights (PI 01a)","NC","Financial","2016/2017","2016-04-01","2017-03-31","Annual"
"APSE121","Street Lighting: Average cost of maintaining street lights (PI 01a)","NC","Financial","2017/2018","2017-04-01","2018-03-31","Annual"
"APSE121","Street Lighting: Average cost of maintaining street lights (PI 01a)","NC","Financial","2018/2019","2018-04-01","2019-03-31","Annual"
"APSE121","Street Lighting: Average cost of maintaining street lights (PI 01a)","NC","Financial","2019/2020","2019-04-01","2020-03-31","Annual"
"APSE121","Street Lighting: Average cost of maintaining street lights (PI 01a)","N/C","Financial","2020/2021","2020-04-01","2021-03-31","Annual"
"APSE121","Street Lighting: Average cost of maintaining street lights (PI 01a)","N/C","Financial","2021/2022","2021-04-01","2022-03-31","Annual"
"APSE121","Street Lighting: Average cost of maintaining street lights (PI 01a)","NC","Financial","2022/2023","2022-04-01","2023-03-31","Annual"
"APSE121","Street Lighting: Average cost of maintaining street lights (PI 01a)","N/C","Financial","2023/2024","2023-04-01","2024-03-31","Annual"
