Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,VAT Registration Number
Department of Health,East Sussex Healthcare NHS Trust,05/07/2017,CONTRACTED-OUT H.CARE SERVICES,Integrated Care,MEDICA REPORTING LTD,0001446750,43160.00,
Department of Health,East Sussex Healthcare NHS Trust,05/07/2017,CAPITAL EXPEND BUILDINGS,Other Central,PD HARRIS LTD (ALAN HARRIS),0001447260,79608.78,
Department of Health,East Sussex Healthcare NHS Trust,05/07/2017,PROFESSIONAL FEES,Corporate Services,LIAISON FINANCIAL SERVICES LTD,0001448233,12983.95,
Department of Health,East Sussex Healthcare NHS Trust,05/07/2017,APPRENTICESHIP LEVY,Other Central,LIAISON FINANCIAL SERVICES LTD,0001448233,2680.00,
Department of Health,East Sussex Healthcare NHS Trust,05/07/2017,AGENCY DIRECT ENGAGEMENT,Other Central,LIAISON FINANCIAL SERVICES LTD,0001448233,173119.28,
Department of Health,East Sussex Healthcare NHS Trust,05/07/2017,STOCK-ASCRIBE CONQUEST,Pharmacy Stock,BAYER PLC,0002314593,100684.80,
Department of Health,East Sussex Healthcare NHS Trust,05/07/2017,STOCK-ASCRIBE EDGH,Pharmacy Stock,ROCHE PRODUCTS LTD,0013058352,60269.30,
Department of Health,East Sussex Healthcare NHS Trust,07/07/2017,PURCHASING CARDS,Cross Site,LLOYDS TSB CORPORATE MARKETS,0001448230,29005.53,
Department of Health,East Sussex Healthcare NHS Trust,12/07/2017,BLOOD PRODUCTS - NBS ST CONTRA,Integrated Care,NHS BLOOD AND TRANSPLANT (NHSBT),0000148038,58037.72,
Department of Health,East Sussex Healthcare NHS Trust,12/07/2017,BLOOD PRODUCTS - NBS ST CONTRA,Integrated Care,NHS BLOOD AND TRANSPLANT (NHSBT),0000148038,2814.11,
Department of Health,East Sussex Healthcare NHS Trust,12/07/2017,CONTRACT - MANAGEMENT FEE,Commercial,RYE WINCHELSEA & DISTRICT MEM HOSP LTD,0000370957,54766.30,
Department of Health,East Sussex Healthcare NHS Trust,12/07/2017,COMPUTER SOFTWARE,Corporate Services,COMPAREX UK LTD,0000630666,80266.75,
Department of Health,East Sussex Healthcare NHS Trust,12/07/2017,STOCK-ASCRIBE CONQUEST,Pharmacy Stock,ROCHE PRODUCTS LTD,0001290215,27377.28,
Department of Health,East Sussex Healthcare NHS Trust,12/07/2017,TESTS SENT TO NON NHS LABS,Integrated Care,VIAPATH ANALYTICS LLP,0001444029,1576.51,
Department of Health,East Sussex Healthcare NHS Trust,12/07/2017,TESTS SENT TO NON NHS LABS,Integrated Care,VIAPATH ANALYTICS LLP,0001444029,8086.68,
Department of Health,East Sussex Healthcare NHS Trust,12/07/2017,TESTS SENT TO NON NHS LABS,Integrated Care,VIAPATH ANALYTICS LLP,0001444029,2184.86,
Department of Health,East Sussex Healthcare NHS Trust,12/07/2017,TESTS SENT TO NON NHS LABS,Integrated Care,VIAPATH ANALYTICS LLP,0001444029,874.09,
Department of Health,East Sussex Healthcare NHS Trust,12/07/2017,TESTS SENT TO NON NHS LABS,Integrated Care,VIAPATH ANALYTICS LLP,0001444029,1974.69,
