TransactionDate,MerchantName,TransactionAmount,ReferenceNumber
02/03/2022,EML LEARNING LTD.,828,000009954622979
03/03/2022,SPECIAL EFX VT,601.2,000009959181197
04/03/2022,SAFENAMES LIMITED,2088,000009965265749
11/03/2022,DIGITAL ID,2988,000008026768660
14/03/2022,AWS EMEA,829.71,000008035283818
14/03/2022,UNIVERSITY OF EDIN,1433.75,000008035478342
15/03/2022,FIRMUS ENERGY,572.42,000008038759758
16/03/2022,ACOO/PROMOSCENTRAL,544.8,000008043517966
18/03/2022,SOCIETY OF TOXICOLOGY,710.38,000008054205932
22/03/2022,LIVEILLUSTRATION.CO.UK,720,000008063684876
25/03/2022,COLLEGE OF POLICIN,3574.8,000009992009695
28/03/2022,LIVEGROUP.CO.UK,598.8,000010003083425
28/03/2022,LIVEGROUP.CO.UK,598.8,000010003083429
28/03/2022,LIVEGROUP.CO.UK,598.8,000010003083431
28/03/2022,LIVEGROUP.CO.UK,598.8,000010003083433
