Entity,Merchant Name,Date Posted,Billing Amount,Description
DFT,LEICESTER CC,03/06/2013,"£1,200.00",Hire of venue for cycling promotion.
DFT,BLUECO LTD,04/06/2013,£600.00,Hiring exhibition space as part of the Department's public consultation on Lower Thames Crossing
DFT,FERA,04/06/2013,£720.00,Specialist advice on fumigation for accident investigation purposes
DFT,CAPITA BUS SVS-MOTO,05/06/2013,"£1,148.40",Legal training attended by a member of staff over four days
DFT,VODAFONE,05/06/2013,"£3,834.12",Mobile phone charges for 33 staff x 2 montly bills 
DFT,HOLIDAY INN EXP,07/06/2013,£532.00,Accommodation for RoSPA trainer for 5 nights
DFT,CRANFIELD UNIVERSITY,07/06/2013,£840.00,Training course for 2 staff members over 2 days
DFT,THE DANWOOD GROUP,07/06/2013,"£1,591.78",IT consumables
DFT,NHCL LTD,11/06/2013,"£1,890.00",Training Course 1 person 5 days
DFT,UNI CAM ESALES,12/06/2013,£979.20,1 day workshop for the DG
DFT,CHERRYBANK GARAGE,13/06/2013,£703.84,Vehicle Maintenance & Repairs
DFT,PALMER DATA TECHNO,14/06/2013,£581.96,Specialist forensic examination of equipment for accident investigation purposes
DFT,CONTACT SECURITY,14/06/2013,£534.00,Annual security alarm maintenance fee
DFT,SUSSEX SAFETY WEAR,14/06/2013,£724.45,Health and safety supplies for Hangar T49 bulk store
DFT,INITIAL CITY LINK,14/06/2013,£785.80,4 x courier invoice charges
DFT,WWW BYFARTHECHEAPEST COM,17/06/2013,"£1,332.00",IT Hardware - however this was refunded on Statement dated 1 July
DFT,IHS GLOBAL LIMITED,17/06/2013,£712.00,Annual publication - 2013-14 World's aircraft books  
DFT,ADAMS FLYING SHOP,17/06/2013,"£1,667.99",Annual technical aircraft publication - online version
DFT,BUILDING CENTRE GROUP,17/06/2013,£546.84,Venue Hire - Airports Commission meets Local Councillors
DFT,WWW.AUTODATA.LTD.UK,18/06/2013,£864.00,On-line Technical Specifications Database subscription
DFT,DYNAMICAN,18/06/2013,"£1,482.15",IT Hardware
DFT,OLSON ELECTRONICS LTD,18/06/2013,£631.32,2 Power Units
DFT,OLSON ELECTRONICS LTD,18/06/2013,£572.52,2 Power Units
DFT,LANCASTER UNIVERSITY,18/06/2013,"£2,425.00",1 day training for 2 people
DFT,EGERTONS RECVRY MOBBERLE,20/06/2013,£524.06,Specialist vehicle recovery
DFT,THE IET,20/06/2013,£717.60,3 day conference for 1 person
DFT,POSTURITE (UK) LTD,20/06/2013,£903.08,Specialist furniture
DFT,IIA - UK & IRELAND,20/06/2013,"£1,435.20",3 day course for 1 person
DFT,WILDY VIRTUAL TERMINAL,21/06/2013,£577.14,Purchase of legal books/publications
DFT,WWW.GARDENSITE.CO.UK,21/06/2013,£619.99,Metal garage to use as external store in AAIB coumpound
DFT,STATIONERY OFFICE BOOK,24/06/2013,£919.33,Hansard Order Papers
DFT,SHERATON - MICROS,24/06/2013,£809.15,Hotel Accommodation for 5 nights for 1 member of staff including meals and transportation
DFT,WWW.MICROLINKPC.CO,25/06/2013,£936.00,Specialist IT equipment
DFT,WILDY VIRTUAL TERMINAL,26/06/2013,£563.00,Purchase of legal books/publications
DFT,LIFESTYLE EUROPE L,26/06/2013,£634.20,Vehicle Maintenance & Repairs
DFT,OU CONTINUING EDUC,26/06/2013,"£1,295.00",Training course for one staff member over 3 days 
DFT,WHITEHALL & INDUST,26/06/2013,"£1,200.00",conference for 1 person
DFT,BPP PROF EDUCATION,26/06/2013,£735.00,8 day course for 1 person
DFT,GOVNET COMMUNICATI,27/06/2013,£594.00,Training Course for 1 staff member for 1 day
DFT,INNOVATA LLC,27/06/2013,"£1,120.18",SRS airline schedules Global data - custom format - EITA
DFT,KEY INDUSTRIAL EQUIPMENT,27/06/2013,£690.84,Safety equipment to handle and store waste aircraft fuel 
DFT,OSMOND GROUP LTD,27/06/2013,£559.15,Specialist IT equipment
DFT,EML LEARNING,28/06/2013,£516.00,Training course for 1 member of staff over 1 day
DFT,EML LEARNING,28/06/2013,£516.00,3 day training course for 1 person
DSA,PIDCOCK MOTOR CYCLES LTD,03/06/2013,£500.00,Service for official motorcycle
DSA,Amazon EU,10/06/2013,£767.68,IT software for producing official publications
DSA,DELL PRODUCT,10/06/2013,"£1,179.60",IT hardware for producing official publications
DSA,WWW.ITSMF.CO.UK,11/06/2013,£540.00,Annual corporate professional membership fee
DSA,SURVEYMONKEY.COM,17/06/2013,£779.00,Annual corporate membership fee
DVLA,CRASH REPAIR CENTRE /RIDE,04/06/2013,£592.95,Vehicle service
DVLA,EVENT MANAGEMENT &,21/06/2013,£630.00,Training course for 1 member of staff over 2 days
DVLA,COLEG MENAI,21/06/2013,£500.00,Skills & qualification training for 2 members of staff facing redundancy
HA,GREENHAM TRADING LTD,03/06/2013,£666.30,PPE Safety Equipment
HA,PENNA PLC,03/06/2013,"£1,217.50",Statutory Advertising for work undertaken on HA road network
HA,PENNA PLC,03/06/2013,£639.24,Statutory Advertising for work undertaken on HA road network
HA,PENNA PLC,03/06/2013,£619.50,Statutory Advertising for work undertaken on HA road network
HA,PENNA PLC,03/06/2013,£526.88,Statutory Advertising for work undertaken on HA road network
HA,PENNA PLC,03/06/2013,£912.60,Statutory Advertising for work undertaken on HA road network
HA,PENNA PLC,04/06/2013,£920.67,Statutory Advertising for work undertaken on HA road network
HA,PENNA PLC,04/06/2013,£547.60,Statutory Advertising for work undertaken on HA road network
HA,PENNA PLC,04/06/2013,"£2,312.80",Statutory Advertising for work undertaken on HA road network
HA,PENNA PLC,04/06/2013,£932.78,Statutory Advertising for work undertaken on HA road network
HA,PENNA PLC,04/06/2013,£974.68,Statutory Advertising for work undertaken on HA road network
HA,PENNA PLC,04/06/2013,"£1,672.81",Statutory Advertising for work undertaken on HA road network
HA,PENNA PLC,04/06/2013,£500.04,Statutory Advertising for work undertaken on HA road network
HA,PENNA PLC,07/06/2013,£502.16,Statutory Advertising for work undertaken on HA road network
HA,PENNA PLC,07/06/2013,"£1,179.67",Statutory Advertising for work undertaken on HA road network
HA,BRANDED PROMO GIFTS LT,07/06/2013,£912.00,4000 Branded lanyards for securty passes.
HA,PENNA PLC,10/06/2013,"£1,166.34",Statutory Advertising for work undertaken on HA road network
HA,PENNA PLC,10/06/2013,£858.06,Statutory Advertising for work undertaken on HA road network
HA,PENNA PLC,11/06/2013,£947.70,Statutory Advertising for work undertaken on HA road network
HA,PENNA PLC,11/06/2013,£777.21,Statutory Advertising for work undertaken on HA road network
HA,PENNA PLC,11/06/2013,£545.12,Statutory Advertising for work undertaken on HA road network
HA,PENNA PLC,11/06/2013,£570.56,Statutory Advertising for work undertaken on HA road network
HA,PENNA PLC,11/06/2013,£974.68,Statutory Advertising for work undertaken on HA road network
HA,PENNA PLC,11/06/2013,"£1,672.81",Statutory Advertising for work undertaken on HA road network
HA,PENNA PLC,11/06/2013,£774.01,Statutory Advertising for work undertaken on HA road network
HA,PENNA PLC,11/06/2013,£924.66,Statutory Advertising for work undertaken on HA road network
HA,PENNA PLC,11/06/2013,£538.05,Statutory Advertising for work undertaken on HA road network
HA,PENNA PLC,11/06/2013,£507.76,Statutory Advertising for work undertaken on HA road network
HA,WWW.CLARES.CO.UK,11/06/2013,£754.80,Specialist  chair for one person following DSE assessment
HA,PENNA PLC,13/06/2013,£557.02,Statutory Advertising for work undertaken on HA road network
HA,PENNA PLC,13/06/2013,£930.56,Statutory Advertising for work undertaken on HA road network
HA,PENNA PLC,13/06/2013,"£2,104.33",Statutory Advertising for work undertaken on HA road network
HA,PENNA PLC,13/06/2013,£697.68,Statutory Advertising for work undertaken on HA road network
HA,PENNA PLC,13/06/2013,£548.23,Statutory Advertising for work undertaken on HA road network
HA,PENNA PLC,13/06/2013,£648.68,Statutory Advertising for work undertaken on HA road network
HA,PENNA PLC,13/06/2013,"£1,814.88",Statutory Advertising for work undertaken on HA road network
HA,PENNA PLC,13/06/2013,£552.40,Statutory Advertising for work undertaken on HA road network
HA,PENNA PLC,13/06/2013,"£1,008.46",Statutory Advertising for work undertaken on HA road network
HA,ELECTROSONIC LTD,13/06/2013,£543.22,Repair of Video Conferncing sound system
