Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy - CCL) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments and notes,
,,,Admin officers/admin assistants,,Executive Officers,,Higher Executive Officers/Senior Executive Officers,,Grade 6/7,,Senior Civil Service,,"Other, unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors","Total cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,,,
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,,
Department for Transport ,Ministerial Department,Department for Transport,181,169.26,211,203.9,697,683.41,615,592.29,110,106.74,0,0,"1,814","1,756",7,7,2,2,88,73.49,0,0,97,82.49,"1,911","1,838","£6,620,674.25","£22,860.22","-£10,748.62","£104,679.68","£1,380,252.24","£656,203.85","£8,773,921.62","£1,007,227.47","£288,649.60","£1,295,877.07","£10,069,798.69",,
Driving Standards Agency,Executive Agency,Department for Transport,239,201.03,1806,1688.89,216,211.98,44,43.34,2,2,0,0,"2,307","2,147",0,0,0,0,0,0,0,0,0,0,"2,307","2,147","£4,581,510.55","£106,099.90","£4,080.00","£100,144.74","£869,525.58","£343,314.97","£6,004,675.74",£0.00,£485.45,£485.45,"£6,005,161.19",,
Driver & Vehicle Licensing Agency,Executive Agency,Department for Transport,4627,4098.73,812,769.44,637,618.21,132,127.76,6,6,0,0,"6,214","5,620",0,0,5,3.66,2,1.76,0,0,7,5.42,"6,221","5,626","£9,664,880.79","£96,432.59","£6,045,670.78","£387,316.88","£2,740,550.82","£1,293,555.04","£20,228,406.90","£130,971.96","£6,750.00","£137,721.96","£20,366,128.86",Payroll costs increased due to payment of non consolidated performance pay,
Highways Agency,Executive Agency,Department for Transport,1413,1371.16,297,279.18,1362,1316.98,312,300.5,35,34.19,0,0,"3,419","3,302",0,0,82,31.82,0,0,0,0,82,31.82,"3,501","3,334","£8,684,181.76","£254,295.83","£4,196.31","£165,205.24","£1,595,902.59","£682,832.62","£11,386,614.35","£434,485.40",,"£434,485.40","£11,821,099.75",Includes an adjustment to correct for Aug where salary understated and allowances overstated (accrual entered incorrectly in Aug). YTD correct.,
Maritime & Coastguard Agency,Executive Agency,Department for Transport,418,378.88,230,218.79,299,279.92,108,105.53,5,4.49,0,0,"1,060",988,11,11,0,0,0,0,0,0,11,11,"1,071",999,"£2,294,563.95","£204,447.18","£15,807.51","£152,326.76","£469,915.12","£213,710.96","£3,350,771.48","£21,095.70","£73,440.00","£94,535.70","£3,445,307.18",,
Vehicle Certification Agency,Executive Agency,Department for Transport,40,34.25,31,28.4,72,70.2,11,11,1,1,0,0,155,145,7,7,0,0,0,0,0,0,7,7,162,152,"£404,797.00",£0.00,"£1,500.00","£16,292.00","£76,377.00","£36,279.00","£535,245.00","£55,085.16",£0.00,"£55,085.16","£590,330.16",,
Vehicle & Operator Services Agency,Executive Agency,Department for Transport,1041,973.02,800,784.38,390,384.18,40,39.55,4,4,0,0,"2,275","2,185",33,33,9,9,17,17,0,0,59,59,"2,334","2,244","£4,537,806.74","£306,885.00",£250.00,"£280,335.06","£893,975.39","£384,645.44","£6,403,897.63","£294,679.11","£22,488.60","£317,167.71","£6,721,065.34",Overtime is being used to support operations where there are vacant posts,
British Transport Police Authority,Executive Non-Departmental Public Body,Department for Transport,0,0,1,1,3,2.8,3,2.7,2,2,0,0,9,9,1,0.5,0,0,1,1,0,0,2,1.5,11,10,"£36,504.00","£3,522.00",£0.00,"£1,155.00","£2,872.00","£3,964.00","£48,017.00","£43,294.21","£15,036.50","£58,330.71","£106,347.71",,
Directly Operated Railways Ltd,Executive Non-Departmental Public Body,Department for Transport,0,0,0,0,0,0,0,0,0,0,14,11,14,11,0,0,0,0,1,0.1,0,0,1,0.1,15,11,"£170,766.85",£0.00,£0.00,£0.00,"£10,962.15","£17,421.27","£199,150.27","£4,510.44","£45,109.80","£49,620.24","£248,770.51",,
High Speed 2,Executive Non-Departmental Public Body,Department for Transport,57,55.8,10,10,137,136.4,78,77.49,14,12,21,19.41,317,311,48,45.6,49,49,124,123,0,0,221,217.6,538,529,"£1,555,485.36",£0.00,£0.00,"£1,143.80","£79,446.26","£154,561.19","£1,790,636.61","£508,823.94","£99,642.00","£608,465.94","£2,399,102.55",,
Northern Lighthouse Board,Executive Non-Departmental Public Body,Department for Transport,29,10.6,18,18,70,69.6,13,12.8,4,4,68,62.7,202,178,8,3.3,0,0,0,0,0,0,8,3.3,210,181,"£510,140.00","£7,733.00",£0.00,"£21,853.00","£2,278.00","£44,602.00","£586,606.00",£249.65,£0.00,£249.65,"£586,855.65",,
Passenger Focus,Executive Non-Departmental Public Body,Department for Transport,1,1,16,15.6,13,12.8,10,10,3,3,0,0,43,42,1,1,0,0,4,0.9,0,0,5,1.9,48,44,"£145,658.00",£281.00,£0.00,£0.00,"£28,233.00","£13,567.00","£187,739.00","£50,448.98","£1,620.00","£52,068.98","£239,807.98",,
Trinity House,Executive Non-Departmental Public Body,Department for Transport,0,0,0,0,0,0,0,0,0,0,298,290,298,290,10,10,0,0,0,0,0,0,10,10,308,300,"£901,474.86","£3,776.17",£0.00,"£17,358.29",£312.15,"£81,043.73","£1,003,965.20","£18,279.66",£0.00,"£18,279.66","£1,022,244.86",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
