Department family,Entity,Date,Supplier,Amount,Description,Description
HM Revenue & Customs,HM Revenue & Customs,14/03/2016,"PAGERDUTY, INC.",692.97,"Computers, Computer Peripheral Equipment, Software",IT  fees for  services  provided  to  support  HMRC’s  move  to  providing  a  digital  email  service  to  it’s  customers
HM Revenue & Customs,HM Revenue & Customs,15/03/2016,MAILGUN.COM,720.38,Computer Software Stores,IT  fees for  services  provided  to  support  HMRC’s  move  to  providing  a  digital  email  service  to  it’s  customers
HM Revenue & Customs,HM Revenue & Customs,15/03/2016,WWW.JESSOPS.COM,722.05,Camera and Photographic Supply Stores,Communication equipment essential to the day to day functioning of HMRC
HM Revenue & Customs,HM Revenue & Customs,31/03/2016,WEX PHOTOGRAPHIC,900.95,Camera and Photographic Supply Stores,Communication equipment essential to the day to day functioning of HMRC
HM Revenue & Customs,HM Revenue & Customs,31/03/2016,WEX PHOTOGRAPHIC,905.94,Camera and Photographic Supply Stores,Communication equipment essential to the day to day functioning of HMRC
HM Revenue & Customs,HM Revenue & Customs,22/03/2016,WEX PHOTOGRAPHIC,"1,094.94",Camera and Photographic Supply Stores,Communication equipment essential to the day to day functioning of HMRC
HM Revenue & Customs,HM Revenue & Customs,25/03/2016,WEX PHOTOGRAPHIC,"1,118.94",Camera and Photographic Supply Stores,Communication equipment essential to the day to day functioning of HMRC
HM Revenue & Customs,HM Revenue & Customs,25/03/2016,WEX PHOTOGRAPHIC,"1,118.94",Camera and Photographic Supply Stores,Communication equipment essential to the day to day functioning of HMRC
HM Revenue & Customs,HM Revenue & Customs,25/03/2016,WEX PHOTOGRAPHIC,"1,118.94",Camera and Photographic Supply Stores,Communication equipment essential to the day to day functioning of HMRC
HM Revenue & Customs,HM Revenue & Customs,25/03/2016,WEX PHOTOGRAPHIC,"1,118.94",Camera and Photographic Supply Stores,Communication equipment essential to the day to day functioning of HMRC
HM Revenue & Customs,HM Revenue & Customs,31/03/2016,WEX PHOTOGRAPHIC,"1,135.98","Photofinishing Laboratories, Photo Developing",Communication equipment essential to the day to day functioning of HMRC
HM Revenue & Customs,HM Revenue & Customs,25/03/2016,WEX PHOTOGRAPHIC,"1,162.94",Camera and Photographic Supply Stores,Communication equipment essential to the day to day functioning of HMRC
HM Revenue & Customs,HM Revenue & Customs,25/03/2016,WEX PHOTOGRAPHIC,"1,162.94",Camera and Photographic Supply Stores,Communication equipment essential to the day to day functioning of HMRC
HM Revenue & Customs,HM Revenue & Customs,25/03/2016,WEX PHOTOGRAPHIC,"1,162.94",Camera and Photographic Supply Stores,Communication equipment essential to the day to day functioning of HMRC
HM Revenue & Customs,HM Revenue & Customs,24/03/2016,WWW.EASTWOODSOUNDANDVISI,"1,556.02","RADIO, TELEVISION, AND STEREO STORES (ELECTRONIC STORES)",Communication equipment essential to the day to day functioning of HMRC
