OrganisationURI,SiteReference,SiteNameAddress,GeoY,GeoX,SiteplanURL,Hectares,OwnershipStatus,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,Deliverable,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/geography/administration/nmd/E07000037,G32,"Adderley Place, Glossop",53.443918,-1.97238,https://www.highpeak.gov.uk/brownfield-land.csv,1.3,mixed ownership,pending decision,,,,,48,100,,,30/11/2017,30/11/2022,
http://opendatacommunities.org/id/geography/administration/nmd/E07000037,BV002,Birch Vale Industrial Estate,53.379128,-1.966995,https://www.highpeak.gov.uk/brownfield-land.csv,4.4,not owned by a public authority,not permissioned,,,,,100,100,,,30/11/2017,15/12/2021,
http://opendatacommunities.org/id/geography/administration/nmd/E07000037,TI001,Former Bridge Mills,53.469005, -1.972198,https://www.highpeak.gov.uk/brownfield-land.csv,3.84,not owned by a public authority,permissioned,full planning permission,19/03/2018,,,119,119,,Site is now complete,30/11/2017,05/12/2023,31/03/2023
http://opendatacommunities.org/id/geography/administration/nmd/E07000037,BW004,"Britannia Mills, Buxworth",53.337548, -1.975947,https://www.highpeak.gov.uk/brownfield-land.csv,1.4,not owned by a public authority,pending decision,,,,,50,50,,Outline Planning application pending,30/11/2017,30/11/2022,
http://opendatacommunities.org/id/geography/administration/nmd/E07000037,GL043,"Charlestown Works, Glossop",53.433197,-1.94987,https://www.highpeak.gov.uk/brownfield-land.csv,3.39,not owned by a public authority,permissioned,reserved matters approval,26/03/2018,,yes,97,97,,Site is under construction.,30/11/2017,15/12/2021,
http://opendatacommunities.org/id/geography/administration/nmd/E07000037,CI001,FORGE WORKS,53.335987,-1.934561,https://www.highpeak.gov.uk/brownfield-land.csv,7.44,not owned by a public authority,permissioned,reserved matters approval,29/11/2017,,yes,165,165,,Site is under construction.,30/11/2017,15/12/2021,
http://opendatacommunities.org/id/geography/administration/nmd/E07000037,BX055,"Former Campus, Harpur Hill, Buxton",53.235712,-1.900778,https://www.highpeak.gov.uk/brownfield-land.csv,4.65,not owned by a public authority,permissioned,full planning permission,07/03/2019,,yes,153,153,,Site is under construction,30/11/2017,15/12/2021,
http://opendatacommunities.org/id/geography/administration/nmd/E07000037,GL070,Former railway museum, 53.448655,-1.969877,https://www.highpeak.gov.uk/brownfield-land.csv,3.9,not owned by a public authority,not permissioned,,,,,89,89,,,30/11/2017,15/12/2021,
http://opendatacommunities.org/id/geography/administration/nmd/E07000037,BX057,HARDWICK SQUARE SOUTH,53.256063,-1.912798,https://www.highpeak.gov.uk/brownfield-land.csv,0.47,not owned by a public authority,permissioned,other,,,,24,24,,Site complete,30/11/2017,15/12/2021,31/03/2021
http://opendatacommunities.org/id/geography/administration/nmd/E07000037,GL056,"Hawkshead Mill, Hope Street", 53.451509,-1.936131,https://www.highpeak.gov.uk/brownfield-land.csv,0.8,not owned by a public authority,permissioned,full planning permission,19/06/2020,,,31,31,,Site is now complete,30/11/2017,05/12/2023,31/03/2023
http://opendatacommunities.org/id/geography/administration/nmd/E07000037,B3,"Hogshaw, Buxton", 53.264474, -1.909243,https://www.highpeak.gov.uk/brownfield-land.csv,11.7,mixed ownership,not permissioned,,,,,68,68,,,30/11/2017,15/12/2021,
http://opendatacommunities.org/id/geography/administration/nmd/E07000037,CS001,"Holehouse Mill, Marple Road, Chisworth ",53.427113, -2.002625,https://www.highpeak.gov.uk/brownfield-land.csv,1.7,not owned by a public authority,not permissioned,,,,,22,22,,Permission on the site has lapsed,30/11/2017,15/12/2021,
http://opendatacommunities.org/id/geography/administration/nmd/E07000037,BX115,"LEEK ROAD, Buxton",53.252069,-1.936457,https://www.highpeak.gov.uk/brownfield-land.csv,0.79,not owned by a public authority,permissioned,full planning permission,05/11/2021,,yes,4,4,,HPK/2021/0060. Site is under construction. ,30/11/2017,01/12/2022,
http://opendatacommunities.org/id/geography/administration/nmd/E07000037,BX051,"Market Street Depot, Buxton",53.367456, -2.002290,https://www.highpeak.gov.uk/brownfield-land.csv,0.8,owned by a public authority,not permissioned,,,,,24,24,,Site has been marketed.,30/11/2017,15/12/2021,
http://opendatacommunities.org/id/geography/administration/nmd/E07000037,NM041,"Newtown Industrial Area, New Mills",53.359267,-2.005791,https://www.highpeak.gov.uk/brownfield-land.csv,2.99,not owned by a public authority,not permissioned,,,,,15,15,,,30/11/2017,15/12/2021,
http://opendatacommunities.org/id/geography/administration/nmd/E07000037,GA001,OLD RAIL SIDINGS GLOSSOP ROAD GLOSSOP,53.444154,-1.982211,https://www.highpeak.gov.uk/brownfield-land.csv,4.42,not owned by a public authority,permissioned,full planning permission,28/07/2021,,yes,156,156,,HPK/2019/0474. Total amount of dwellings across the whole site would be 156. Site is under construction.,30/11/2017,01/12/2022,
http://opendatacommunities.org/id/geography/administration/nmd/E07000037,HD012,"Paradise Street, Hadfield",53.462893,-1.971554,https://www.highpeak.gov.uk/brownfield-land.csv,0.35,mixed ownership,not permissioned,,,,,28,28,,Permission on the site has lapsed,30/11/2017,15/12/2021,
