Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
The National Archives,The National Archives,05/07/2012,Kew 2 Building Additions,Public Services,ETDE FM LIMITED,80729,"21,329.27",Interim payment for roof works,BN1 1HG,,,,Programme
The National Archives,The National Archives,05/07/2012,Repairs and Maintenance,Public Services,ETDE FM LIMITED,80731,"15,525.00",Supply & installation of light fittings,BN1 1HG,,,,Programme
The National Archives,The National Archives,05/07/2012,Repairs and Maintenance,Public Services,ETDE FM LIMITED,80737,"22,251.43",Supply & installation of new sump pumps,BN1 1HG,,,,Programme
The National Archives,The National Archives,05/07/2012,Plant and Equipment additions,Public Services,ETDE FM LIMITED,80743,"19,624.19",Installation of AAM GPC1 - interim payment,BN1 1HG,,,,Programme
The National Archives,The National Archives,05/07/2012,Repairs and Maintenance,Public Services,ETDE FM LIMITED,80748,"24,209.76",Refurbishment of kitchen area,BN1 1HG,,,,Programme
The National Archives,The National Archives,05/07/2012,Repairs and Maintenance,Public Services,ETDE FM LIMITED,80750,"11,396.53",Various redecoration works,BN1 1HG,,,,Programme
The National Archives,The National Archives,05/07/2012,Facilities Management,Public Services,ETDE FM LIMITED,80754,"100,381.17",June core service fees,BN1 1HG,,CM440,,Programme
The National Archives,The National Archives,05/07/2012,PAS - On-line development,Information Policy & Services,THE STATIONERY OFFICE LTD,80767,"15,000.00",Iteration ending 10 Apr,NR3 1QZ,,CM478,,Programme
The National Archives,The National Archives,05/07/2012,PAS - On-line development,Information Policy & Services,THE STATIONERY OFFICE LTD,80769,"15,000.00",Iteration ending 3 Apr,NR3 1QZ,,CM478,,Programme
The National Archives,The National Archives,05/07/2012,PAS - On-line development,Information Policy & Services,THE STATIONERY OFFICE LTD,80771,"15,000.00",Iteration ending 20 May,NR3 1QZ,,CM478,,Programme
The National Archives,The National Archives,05/07/2012,PAS - On-line development,Information Policy & Services,THE STATIONERY OFFICE LTD,80773,"10,500.00",User interface specification for editorial system tools (phase 3),NR3 1QZ,,CM478,,Programme
The National Archives,The National Archives,05/07/2012,PAS - On-line development,Information Policy & Services,THE STATIONERY OFFICE LTD,80775,"15,000.00",Iteration ending 20 Mar,NR3 1QZ,,CM478,,Programme
