Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,AP Amount,Description,Supplier Postcode
Department of Health,University Hospitals Plymouth NHS Trust,30/11/2020,Fixed assets,Balance Sheet,2020 DELIVERY LTD,36216621,"49,560.00",Consultancy fees,SE1 9LQ
Department of Health,University Hospitals Plymouth NHS Trust,30/11/2020,Drugs,Pharmacy,AAH PHARMACEUTICALS LTD,36376326,"39,300.90",PHARMACY DRUGS,CV2 2ZG
Department of Health,University Hospitals Plymouth NHS Trust,30/11/2020,Drugs,Pharmacy,AAH PHARMACEUTICALS LTD,36117045,"64,537.94",PHARMACY DRUGS,CV2 2ZG
Department of Health,University Hospitals Plymouth NHS Trust,30/11/2020,Drugs,Pharmacy,AAH PHARMACEUTICALS LTD,36203637,"68,746.18",PHARMACY DRUGS,CV2 2ZG
Department of Health,University Hospitals Plymouth NHS Trust,30/11/2020,Drugs,Pharmacy,AAH PHARMACEUTICALS LTD,36254624,"83,118.70",PHARMACY DRUGS,CV2 2ZG
Department of Health,University Hospitals Plymouth NHS Trust,30/11/2020,Drugs,Pharmacy,AAH PHARMACEUTICALS LTD,36178530,"92,444.47",PHARMACY DRUGS,CV2 2ZG
Department of Health,University Hospitals Plymouth NHS Trust,30/11/2020,Drugs,Pharmacy,AAH PHARMACEUTICALS LTD,36279706,"97,557.28",PHARMACY DRUGS,CV2 2ZG
Department of Health,University Hospitals Plymouth NHS Trust,30/11/2020,Drugs,Pharmacy,AAH PHARMACEUTICALS LTD,36342705,"100,048.65",PHARMACY DRUGS,CV2 2ZG
Department of Health,University Hospitals Plymouth NHS Trust,30/11/2020,Drugs,Pharmacy,AAH PHARMACEUTICALS LTD,36064440,"110,302.63",PHARMACY DRUGS,CV2 2ZG
Department of Health,University Hospitals Plymouth NHS Trust,30/11/2020,Laboratory External Tests,Derriford Combined Lab,ABBOTT LABORATORIES LTD,36188488,"39,750.05",Abbott Managed service call off order for the Pathology Department,SL6 4XE
Department of Health,University Hospitals Plymouth NHS Trust,30/11/2020,Laboratory External Tests,Derriford Combined Lab,ABBOTT LABORATORIES LTD,36222561,"142,989.89",Abbott Managed service call off order for the Pathology Department,SL6 4XE
Department of Health,University Hospitals Plymouth NHS Trust,30/11/2020,Laboratory External Tests,Derriford Combined Lab,ABBOTT LABORATORIES LTD,36214640,"201,057.64",Abbott Managed service call off order for the Pathology Department,SL6 4XE
Department of Health,University Hospitals Plymouth NHS Trust,30/11/2020,Med & Surg Equip General,EPS/Ablations,ABBOTT MEDICAL UK LTD,36300519,"55,136.40","PM3222 ALLURE CRT-P RF LV, ELLIPSE, QUADRA",B90 8AJ
Department of Health,University Hospitals Plymouth NHS Trust,30/11/2020,Drugs,Pharmacy,ABBVIE LTD,36342830,"27,054.72",PHARMACY DRUGS,SL6 4XE
Department of Health,University Hospitals Plymouth NHS Trust,30/11/2020,Drugs,Pharmacy,ABBVIE LTD,36376379,"27,054.72",PHARMACY DRUGS,SL6 4XE
Department of Health,University Hospitals Plymouth NHS Trust,30/11/2020,Drugs,Pharmacy,ALCURA UK LTD,36178736,"32,292.00",PHARMACY DRUGS,KT9 1SN
Department of Health,University Hospitals Plymouth NHS Trust,30/11/2020,Drugs,Pharmacy,ALCURA UK LTD,36178741,"33,459.24",PHARMACY DRUGS,KT9 1SN
Department of Health,University Hospitals Plymouth NHS Trust,30/11/2020,Drugs,Pharmacy,ALCURA UK LTD,36254715,"34,983.00",PHARMACY DRUGS,KT9 1SN
Department of Health,University Hospitals Plymouth NHS Trust,30/11/2020,Drugs,Pharmacy,ALCURA UK LTD,36254716,"46,644.00",PHARMACY DRUGS,KT9 1SN
Department of Health,University Hospitals Plymouth NHS Trust,30/11/2020,Rent,MSCP - Retail Units,AMAS LTD,36403348,"290,535.00",Bircham Park Rental ,E14 5WQ
Department of Health,University Hospitals Plymouth NHS Trust,30/11/2020,Med & Surg Equip General,Haemodialysis Unit,B BRAUN AVITUM UK LTD,34280554,"42,477.30",Haemodialysis Patient Treatments,S35 2PW
Department of Health,University Hospitals Plymouth NHS Trust,30/11/2020,Med & Surg Equip General,Haemodialysis Unit,B BRAUN AVITUM UK LTD,35639505,"51,471.58",Haemodialysis Patient Treatments,S35 2PW
Department of Health,University Hospitals Plymouth NHS Trust,30/11/2020,Med & Surg Equip General,Haemodialysis Unit,B BRAUN AVITUM UK LTD,36298879,"51,845.69",Haemodialysis Patient Treatments,S35 2PW
Department of Health,University Hospitals Plymouth NHS Trust,30/11/2020,Med & Surg Equip General,Haemodialysis Unit,B BRAUN AVITUM UK LTD,35639521,"55,462.10",Haemodialysis Patient Treatments,S35 2PW
Department of Health,University Hospitals Plymouth NHS Trust,30/11/2020,Drugs,Pharmacy,BATH ASU,36178546,"29,101.39",PHARMACY DRUGS,SN13 9RG
Department of Health,University Hospitals Plymouth NHS Trust,30/11/2020,Drugs,Pharmacy,BATH ASU,36376333,"34,891.20",PHARMACY DRUGS,SN13 9RG
Department of Health,University Hospitals Plymouth NHS Trust,30/11/2020,Drugs,Pharmacy,BAXTER HEALTHCARE LTD,36376422,"25,742.10",PHARMACY DRUGS,RG20 7QW
Department of Health,University Hospitals Plymouth NHS Trust,30/11/2020,Drugs,Pharmacy,BAXTER HEALTHCARE LTD,36117178,"29,209.74",PHARMACY DRUGS,RG20 7QW
Department of Health,University Hospitals Plymouth NHS Trust,30/11/2020,CAPD Fluids,CAPD Devon & Cornwall,BAXTER HEALTHCARE LTD,36297637,"36,279.61",Supply of Peritoneal Dialysis Products ,RG20 7QW
Department of Health,University Hospitals Plymouth NHS Trust,30/11/2020,Drugs,Pharmacy,BAXTER HEALTHCARE LTD,36117191,"41,412.10",PHARMACY DRUGS,RG20 7QW
Department of Health,University Hospitals Plymouth NHS Trust,30/11/2020,Drugs,Pharmacy,BAXTER HEALTHCARE LTD,36178827,"55,189.62",PHARMACY DRUGS,RG20 7QW
Department of Health,University Hospitals Plymouth NHS Trust,30/11/2020,Drugs,Pharmacy,BAYER HEALTHCARE,36117135,"32,848.42",PHARMACY DRUGS,RG14 1JA
Department of Health,University Hospitals Plymouth NHS Trust,30/11/2020,Drugs,Pharmacy,BAYER HEALTHCARE,36203770,"32,848.42",PHARMACY DRUGS,RG14 1JA
Department of Health,University Hospitals Plymouth NHS Trust,30/11/2020,Drugs,Pharmacy,BAYER HEALTHCARE,36279785,"32,848.42",PHARMACY DRUGS,RG14 1JA
Department of Health,University Hospitals Plymouth NHS Trust,30/11/2020,Drugs,Pharmacy,BAYER HEALTHCARE,36342835,"32,848.42",PHARMACY DRUGS,RG14 1JA
Department of Health,University Hospitals Plymouth NHS Trust,30/11/2020,Legal / Prof Fees,Capital Prog Compliance Assur,BEVAN BRITTAN LLP,36089893,"28,230.60",Legal advice,BS2 0HQ
Department of Health,University Hospitals Plymouth NHS Trust,30/11/2020,Lab Equip Maint Contracts,Clinical Haematology,BIOVAULT TECHNICAL LTD,36174148,"-284,070.36",Laboratory testing,PL6 5XP
Department of Health,University Hospitals Plymouth NHS Trust,30/11/2020,Lab Equip Maint Contracts,Clinical Haematology,BIOVAULT TECHNICAL LTD,36214611,"396,947.27",Laboratory testing,PL6 5XP
Department of Health,University Hospitals Plymouth NHS Trust,30/11/2020,Medical Gases,Pharmacy Central,BOC LTD,36094306,"34,200.00",Medical Gases,M28 2UT
Department of Health,University Hospitals Plymouth NHS Trust,30/11/2020,Medical Gases,Pharmacy Central,BOC LTD,36414247,"34,200.00",Medical Gases,M28 2UT
Department of Health,University Hospitals Plymouth NHS Trust,30/11/2020,Med & Surg Equip General,EPS/Ablations,BOSTON SCIENTIFIC LTD,36223163,"69,417.60","CRT-P X4 VISIONIST U228 System. EMBLEM, MOMENTUM, RESONATE",HP2 4TZ
Department of Health,University Hospitals Plymouth NHS Trust,30/11/2020,Bldg/Eng Equip Maint/Rep,Freedom Theatre 1 2 and 3,CHG-MERIDIAN COMPUTER LEASING UK LTD,36263991,"54,347.44",27 Stryker lap stacks ,TW20 9AB
Department of Health,University Hospitals Plymouth NHS Trust,30/11/2020,Fixed assets,Balance Sheet,CLEANROOM AND CONTAINMENT FACILITIES LTD,36277133,"124,264.39",BUILDING WORKS,B19 3XA
Department of Health,University Hospitals Plymouth NHS Trust,30/11/2020,Independent Sector,MRI,COBALT HEALTH,35831807,"36,314.29",MR15 Cobalt MRI ,GL53 7AS
Department of Health,University Hospitals Plymouth NHS Trust,30/11/2020,Other Public Sector,Central Other,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,36215969,"29,285.08",20/21 ITA Recharging,PL31 2QN
Department of Health,University Hospitals Plymouth NHS Trust,30/11/2020,Rent,Norwich Union,EAGLE ONE LTD,36370286,"93,981.75","Rent payments for NU Building, 1 Brest Road",SP2 0RS
Department of Health,University Hospitals Plymouth NHS Trust,30/11/2020,Laboratory Reagents,Molecular,ELITECH UK LTD,36190949,"39,624.00",Covid-19 Plus RealAmp Kit,HP4 1HL
Department of Health,University Hospitals Plymouth NHS Trust,30/11/2020,Laboratory Reagents,Molecular,ELITECH UK LTD,36370981,"39,624.00",Covid-19 Plus RealAmp Kit,HP4 1HL
Department of Health,University Hospitals Plymouth NHS Trust,30/11/2020,"Books, Journals & Subscr",Discovery Library,ELSEVIER LTD,36177795,"50,940.04",Subscription to ClinicalKey Flex 2021,1000 AE
Department of Health,University Hospitals Plymouth NHS Trust,30/11/2020,Fixed assets,Balance Sheet,FRESENIUS KABI LTD,36058098,"87,000.00",Agilia SP MC Wifi ,WA7 1NT
Department of Health,University Hospitals Plymouth NHS Trust,30/11/2020,Consumables,Procurement,GBUK HEALTHCARE,34369369,"79,175.00",KB027A IIR FLUID RESISTANCE FACE MASK,YO8 5DD
Department of Health,University Hospitals Plymouth NHS Trust,30/11/2020,Rent,Radiology Academy Project,GOODSHELTER PROPERTY CO LTD,36340941,"56,054.70",Peninsula Radiology Academy PL6 5WR rent ,TQ7 3NP
Department of Health,University Hospitals Plymouth NHS Trust,30/11/2020,Drugs,Pharmacy,HEALTHCARE AT HOME LTD,36064635,"29,315.00",PHARMACY DRUGS,DE14 1SZ
Department of Health,University Hospitals Plymouth NHS Trust,30/11/2020,Drugs,Pharmacy,HEALTHCARE AT HOME LTD,36064636,"82,455.00",PHARMACY DRUGS,DE14 1SZ
Department of Health,University Hospitals Plymouth NHS Trust,30/11/2020,Computer Maintenance,ICT Infrastructure,HEWLETT PACKARD INTERNATIONAL BANK PLC,36269383,"65,373.47",DataCentre Refresh Agreement,XXX XXX
Department of Health,University Hospitals Plymouth NHS Trust,30/11/2020,Fixed assets,Balance Sheet,HILL-ROM LTD,36319634,"148,896.00",Progressa - Pulmonary PMMS.,LE65 1JG
Department of Health,University Hospitals Plymouth NHS Trust,30/11/2020,X-Ray Equip Maint/Repair,PACS / CRIS,INSIGNIA MEDICAL SYSTEMS LTD,36091218,"76,781.40",PACS Managed Service ,RG25 2PN
Department of Health,University Hospitals Plymouth NHS Trust,30/11/2020,Fixed assets,Balance Sheet,INSIGNIA MEDICAL SYSTEMS LTD,36138248,"79,680.00",1x Reporting Workstation- Capital Purchase Dell Workstation with 2 x RX350 Eizo Screens and 1xRIS Dell Screen Hardware & OS Support Direct with Manufacturers (Dell & Eizo) Remote Insignia Software Support ,RG25 2PN
Department of Health,University Hospitals Plymouth NHS Trust,30/11/2020,Fixed assets,Balance Sheet,INSIGNIA MEDICAL SYSTEMS LTD,36340978,"119,520.00",1x Reporting Workstation- Capital Purchase Dell Workstation with 2 x RX360 Eizo Screens and 1xRIS Dell Screen Hardware & OS Support Direct with Manufacturers (Dell & Eizo) Remote Insignia Software Support ,RG25 2PN
Department of Health,University Hospitals Plymouth NHS Trust,30/11/2020,Fixed assets,Balance Sheet,INTERACOUSTICS UK,36032519,"28,350.00",Eclipse Adjustable Cart,ML3 7QE
Department of Health,University Hospitals Plymouth NHS Trust,30/11/2020,Drugs,Pharmacy,JANSSEN CILAG LTD,36178568,"61,102.08",PHARMACY DRUGS,HP12 4EG
Department of Health,University Hospitals Plymouth NHS Trust,30/11/2020,Fixed assets,Balance Sheet,KEMP ENGINEERING SURVEYING LTD,36383009,"44,748.00",Topographical Survey ,TR15 3RQ
Department of Health,University Hospitals Plymouth NHS Trust,30/11/2020,Fixed assets,Balance Sheet,KIER INFRASTRUCTURE AND OVERSEAS LTD,36188485,"79,260.22",Lighthouse Laboratory Project Pre-construction costs ,M2 2EE
Department of Health,University Hospitals Plymouth NHS Trust,30/11/2020,Fixed assets,Balance Sheet,KIER INFRASTRUCTURE AND OVERSEAS LTD,36269373,"958,345.12",Lighthouse Laboratory Project Pre-construction costs ,M2 2EE
Department of Health,University Hospitals Plymouth NHS Trust,30/11/2020,Fixed assets,Balance Sheet,KIER INFRASTRUCTURE AND OVERSEAS LTD,36382742,"1,907,191.73",Lighthouse Laboratory Project Pre-construction costs ,M2 2EE
Department of Health,University Hospitals Plymouth NHS Trust,30/11/2020,Electricity,Energy And Utilities,LASER ENERGY BUYING GROUP,36403341,"21,693.62",Electricity Consumption ,ME19 4YT
Department of Health,University Hospitals Plymouth NHS Trust,30/11/2020,Contr Other External,Energy And Utilities,LASER ENERGY BUYING GROUP,36007425,"24,309.80",Bureau Fee 1/4/20 - 31/3/21,ME19 4YT
Department of Health,University Hospitals Plymouth NHS Trust,30/11/2020,Drugs,Pharmacy,LLOYDS PHARMACY CLINICAL HOMECARE LTD,36064552,"28,074.00",PHARMACY DRUGS,CM19 5GU
Department of Health,University Hospitals Plymouth NHS Trust,30/11/2020,Drugs,Pharmacy,LLOYDS PHARMACY CLINICAL HOMECARE LTD,36064544,"29,546.00",PHARMACY DRUGS,CM19 5GU
