2007,Number of Notifications,,,,,,,,,,,Total
,Agricultural Holding,,,,Slaughterhouse,,,Unallocated,,,,
,24 TO 36 MONTHS,37 TO 42 MONTHS,OVER 42 MONTHS,,24 TO 36 MONTHS,37 TO 42 MONTHS,OVER 42 MONTHS,24 TO 36 MONTHS,37 TO 42 MONTHS,OVER 42 MONTHS,,
,Fallen Stock,Fallen Stock,Casualty,Fallen Stock,Fallen Stock,Fallen Stock,Fallen Stock,Fallen Stock,Fallen Stock,Casualty,Fallen Stock,
ABDOMINAL CATASTROPHE,105,58,44,595,1,0,6,0,1,79,7,896
ABOMASUL PROBLEMS,133,96,1,842,0,0,0,0,1,0,0,"1,073"
ARTHRITIS,47,22,1,"1,280",0,0,0,0,0,1,1,"1,352"
ATAXIA,0,0,0,4,0,0,0,0,0,0,0,4
BLACK LEG,95,19,2,160,1,0,0,1,0,1,1,280
BLIND,23,7,1,91,0,0,0,0,0,0,0,122
BLOAT,544,209,0,"2,076",0,0,1,0,0,0,2,"2,832"
BLOOD POISONING,45,21,0,331,0,0,0,0,0,0,0,397
BOVINE VIRUS DIARRHOEA,83,24,0,122,0,0,0,0,0,0,0,229
BREATHING PROBLEMS,90,42,0,351,0,0,0,0,0,0,0,483
BROKEN LEG,"1,029",446,72,"3,002",2,0,6,0,0,101,1,"4,659"
BROKEN NECK,56,17,0,168,0,0,0,2,0,4,0,247
BULLING INJURY,128,56,91,584,0,0,0,0,0,118,1,978
CALVING PROBLEMS,"3,858","1,742",27,"20,863",0,0,3,3,0,9,12,"26,517"
CANCER,26,13,0,427,0,0,1,0,0,0,1,468
CHOKED,193,55,0,560,0,0,0,0,0,0,0,808
COLIC,7,3,0,19,0,0,0,0,0,0,0,29
DIED AFTER OPERATION,42,26,0,200,0,0,0,0,0,0,0,268
DIGESTIVE PROBLEMS,58,35,0,385,0,0,0,0,0,0,0,478
DOWNER COW,"2,312","1,494",66,"20,954",9,8,104,0,0,46,17,"25,010"
DROWNED,180,66,1,905,0,0,1,0,0,0,5,"1,158"
DYSTOCIA,9,1,3,25,0,0,0,0,0,0,0,38
EMPHYSEMA,1,1,0,12,0,0,0,0,0,0,0,14
ENTORITIS,4,2,0,8,0,0,0,0,0,0,0,14
FARM ACCIDENT,151,79,418,625,0,0,0,1,0,447,1,"1,722"
FOG FEVER,15,17,1,105,0,0,0,0,0,1,0,139
HAEMORRHAGE,138,63,2,481,0,0,0,1,0,1,2,688
HEART PROBLEMS,573,320,0,"6,028",2,1,7,1,0,0,5,"6,937"
ILL THRIFT,549,231,0,"2,453",1,0,6,0,0,0,1,"3,241"
INTERNAL BLEEDING,198,90,1,835,0,0,0,0,0,0,1,"1,125"
INTERNAL INFECTION,162,83,0,819,0,0,0,0,0,0,0,"1,064"
INTESTINAL PROBLEMS,57,31,0,248,0,0,0,0,0,0,0,336
JOHNES DISEASE,553,392,0,"4,032",0,0,0,1,0,0,3,"4,981"
KIDNEY PROBLEMS,49,28,0,479,0,0,1,0,0,0,1,558
LAME / LAMENESS,985,670,20,"13,536",0,0,5,0,0,5,6,"15,227"
LAMINITIS,34,23,0,154,0,0,0,0,0,0,0,211
LISTERIA,69,33,0,284,0,0,0,0,0,0,0,386
LIVER PROBLEMS,209,131,0,"1,918",0,0,0,0,0,0,0,"2,258"
LUNG PROBLEMS,356,175,0,"1,300",0,0,0,0,0,0,0,"1,831"
LUNGWORM,52,35,0,87,0,0,0,0,0,0,0,174
LYMPH NODE PROBLEMS,0,0,0,3,0,0,0,0,0,0,0,3
MALIGNANT CATERROL FEVER,8,3,0,23,0,0,0,0,0,0,0,34
MASTITIS,517,391,0,"8,176",0,0,5,0,0,0,2,"9,091"
METABOLIC IMBALANCE,20,12,0,190,0,0,0,0,0,0,0,222
METRITUS,10,4,0,65,0,0,0,0,0,0,0,79
MILK FEVER,70,90,0,"4,817",0,0,0,0,0,0,3,"4,980"
MINERAL DEFICIENCY,21,22,0,372,0,0,0,0,0,1,1,417
NEURO MUSCULAR DAMAGE,33,14,4,148,0,0,0,0,0,3,0,202
NO DOCUMENTATION,169,78,0,446,13,3,60,2,0,0,4,775
OLD AGE,17,10,4,"7,581",0,0,34,0,0,10,26,"7,682"
OTHER,"3,623","1,679","1,129","17,889",35,7,199,3,3,"1,255",33,"25,855"
OVER AGE AT ABATTOIR,5,2,1,45,11,1,72,1,0,0,0,138
PAPILLITTIS,10,7,0,65,0,0,0,0,0,0,0,82
PARALYSIS,57,20,8,255,0,0,0,0,0,54,0,394
PELVIC INJURY,82,37,61,364,0,0,0,0,0,94,0,638
PERITONITIS,362,181,2,"1,426",0,0,0,1,0,0,1,"1,973"
