Current weekly total of notifications of infectious diseases in the past 4 weeks along with the cumulative total for the current year compared with corresponding periods ,,,,,,,
of the two preceding years,,,,,,,
,,,,,,,
"Notifications of Infectious Diseases, Week 1 - 20 2024, Northern Ireland",,,,,,,
,,,,,,,
,,,,,Cumulative Totals,,
Disease,Week 20 ,Week 19 ,Week 18 ,Week 17 ,2024,2023,2022
,,,,,Weeks ,Weeks ,Weeks 
,13/05 - 19/05,06/05 - 12/05,29/04 - 05/05,22/04 - 28/04,1-20,1-20,1-20
Acute Encephalitis/Meningitis Bacterial,0,0,0,0,13,18,6
Acute Encephalitis/Meningitis Viral,0,0,0,1,4,0,1
Anthrax,0,0,0,0,0,0,0
Chickenpox,6,16,5,14,113,284,71
Cholera,0,0,0,0,0,0,0
Diphtheria,0,0,0,0,0,1,0
Dysentery,0,0,0,0,6,12,13
Food Poisoning,81,64,76,83,912,928,609
Gastroenteritis (< 2years),0,1,0,0,5,3,0
Hepatitis A,0,0,1,0,9,5,0
Hepatitis B,0,0,1,1,43,63,46
Hepatitis C ,6,4,4,3,117,103,72
Hepatitis Unspecified,0,0,0,0,84,8,0
Legionnaires' Disease,0,0,0,0,2,2,3
Leptospirosis,0,0,0,0,0,0,0
Malaria,0,0,0,0,1,0,0
Measles,0,0,5,1,31,0,5
Meningococcal Septicaemia,0,1,0,1,4,1,0
Mumps,0,2,1,3,40,32,6
Paratyphoid Fever,0,0,0,0,0,0,0
Plague,0,0,0,0,0,0,0
Poliomyelitis (Paralytic),0,0,0,0,0,0,0
Poliomyelitis (Acute),0,0,0,0,0,0,0
Rabies,0,0,0,0,0,0,0
Relapsing Fever,0,0,0,0,0,0,0
Rubella,0,0,0,0,0,0,0
Scarlet Fever,13,15,15,8,314,1485,32
Smallpox,0,0,0,0,0,0,0
Tetanus,0,0,0,0,0,0,0
Tuberculosis (Pulmonary),1,1,1,0,21,14,10
Tuberculosis (Non Pulmonary),0,0,3,1,9,10,5
Typhoid,0,0,0,0,3,1,0
Typhus,0,0,0,0,0,0,0
Viral Haemorraghic Fever,0,0,0,0,0,0,0
Whooping Cough,294,186,133,164,"1,431",1,2
Yellow Fever,0,0,0,0,0,0,0
Total,401,290,245,280,3162,2971,881
,,,,,,,
"Food poisoning notifications include those formally notified by clinicians and reports of Salmonella, Campylobacter, Cryptosporidium, Giardia, Listeria ",,,,,,,
and E Coli O 157 informally ascertained from laboratories.,,,,,,,
,,,,,,,
*Data Provisional,,,,,,,
,,,,,,,
,,,,,,,
