Minister,Date,Name of organisation or individual,Purpose of meeting
Kwasi Kwarteng,2021-10-01,EDF,To discuss energy
Kwasi Kwarteng,2021-10-03,CF Industries,To discuss energy
Kwasi Kwarteng,2021-10-04,Air Liquide,To discuss chemicals
Kwasi Kwarteng,2021-10-07,Vifor Pharma,Visit to attend their official ceremony
Kwasi Kwarteng,2021-10-08,Society of Motor Manufacturers and Traders,To discuss supply chains
Kwasi Kwarteng,2021-10-08,Aldersgate Group,To discuss decarbonisation
Kwasi Kwarteng,2021-10-08,Deepmind,To discuss science and innovation
Kwasi Kwarteng,2021-10-08,BP,To discuss energy
Kwasi Kwarteng,2021-10-11,BEIS Ministerial Stakeholder Reception,Stakeholder reception to discuss the work of the department
Kwasi Kwarteng,2021-10-11,"Make UK, Federation of Small Businesses, Confederation of British Industry, Institute of Directors, British Chambers of Commerce",To discuss business priorities
Kwasi Kwarteng,2021-10-11,National Grid,To discuss energy
Kwasi Kwarteng,2021-10-11,Mayor of London,To discuss business
Kwasi Kwarteng,2021-10-11,Mineral Products Association,To discuss energy
Kwasi Kwarteng,2021-10-11,Confederation of Paper Industries,To discuss energy
Kwasi Kwarteng,2021-10-11,UK Steel,To discuss energy
Kwasi Kwarteng,2021-10-11,British Ceramic Confederation,To discuss energy
Kwasi Kwarteng,2021-10-11,Vitol,To discuss energy
Kwasi Kwarteng,2021-10-11,British Oxygen Company,To discuss chemicals
Kwasi Kwarteng,2021-10-11,Sir Ian Wood,To discuss energy
Kwasi Kwarteng,2021-10-11,British Glass Manufacturers Confederation,To discuss energy
Kwasi Kwarteng,2021-10-11,Chemical Industries Association,To discuss energy
Kwasi Kwarteng,2021-10-11,Air Products,To discuss chemicals
Kwasi Kwarteng,2021-10-12,Trades Union Congress Executive Council,To discuss energy and the labour market
Kwasi Kwarteng,2021-10-12,"John Kerry (Special Envoy for Climate), Amaggi, Archer Daniels Midland Co, Bunge Ltd, Cargill, JBS, Louis Dreyfus Company (LDC), Minerva Foods S.A., Olam International, Golden Agri Resources (GAR), Wilmar International Ltd, Viterra",To discuss climate change
Kwasi Kwarteng,2021-10-12,North West Business Leadership Team,To discuss growth
Kwasi Kwarteng,2021-10-12,Glencore,To discuss energy
Kwasi Kwarteng,2021-10-12,Anglo American plc,To discuss decarbonisation
Kwasi Kwarteng,2021-10-12,Make UK/Trade Union Congress,To discuss the labour market
Kwasi Kwarteng,2021-10-12,National Grid,To discuss energy
Kwasi Kwarteng,2021-10-13,Foundation for Science and Technology event on the Innovation Strategy,To discuss science and innovation
Kwasi Kwarteng,2021-10-13,Aker Solutions (offshore winds),To discuss energy
Kwasi Kwarteng,2021-10-14,EON,To discuss energy
Kwasi Kwarteng,2021-10-19,EDF,To discuss energy
Kwasi Kwarteng,2021-10-19,Bill Gates,To discuss energy
Kwasi Kwarteng,2021-10-19,Qatar Petroleum,To discuss energy
Kwasi Kwarteng,2021-10-19,Nissan,To discuss manufacturing
Kwasi Kwarteng,2021-10-19,"Nissan, Stellantis, BMW, Ford, Toyota, Arrival, Jaguar Land Rover, InstaVolt, PodPoint, BP, BYD Auto Industry Company Limited, Robert Bosch GmbH, Envision, Geely",To discuss investment
Kwasi Kwarteng,2021-10-19,Abu Dhabi Investment Authority,To discuss energy
Kwasi Kwarteng,2021-10-19,Toyota,To discuss manufacturing
Kwasi Kwarteng,2021-10-19,Bharti Enterprises,To discuss business
Kwasi Kwarteng,2021-10-19,Lonza,To discuss science and innovation
Kwasi Kwarteng,2021-10-20,Westinghouse,To discuss nuclear
Kwasi Kwarteng,2021-10-20,BASF (Badische Anilin und Soda Fabrik),To discuss chemicals
Kwasi Kwarteng,2021-10-20,Fidelity,To discuss business
Kwasi Kwarteng,2021-10-20,Baker Hughes,To discuss business
Kwasi Kwarteng,2021-10-20,Equinor,To discuss energy
Kwasi Kwarteng,2021-10-20,Envision,To discuss automotive manufacturing
Kwasi Kwarteng,2021-10-20,Vestas Wind Systems,To discuss energy
Kwasi Kwarteng,2021-10-20,Ignacio Sánchez-Galán,To discuss energy
Kwasi Kwarteng,2021-10-20,ExxonMobil,To discuss energy
Kwasi Kwarteng,2021-10-26,MASDAR,To discuss energy
Kwasi Kwarteng,2021-10-27,Hynet NW Consortium,To discuss energy
Kwasi Kwarteng,2021-10-28,"John Dawson, Oxford Biomedica",To discuss COVID-19 and business
Kwasi Kwarteng,2021-11-03,Inmarsat,To discuss acquisition
Kwasi Kwarteng,2021-11-04,"Inmarsat, Viasat",To discuss acquisition
Kwasi Kwarteng,2021-11-08,UBER,Introductory meeting to discuss business
Kwasi Kwarteng,2021-11-08,"Viasat, Inmarsat",To discuss acquisition
Kwasi Kwarteng,2021-11-08,"Make UK, Federation of Small Businesses, Confederation of British Industry, Institute of Directors, British Chambers of Commerce",To discuss business priorities
Kwasi Kwarteng,2021-11-09,University of Sheffield,Visit to announce nuclear policy
Kwasi Kwarteng,2021-11-09,Sheffield Forgemasters,Visit to discuss steel
Kwasi Kwarteng,2021-11-10,Queen’s Awards for Enterprise,To attend the Queen’s Awards for Enterprise royal reception
Kwasi Kwarteng,2021-11-10,EDF,To discuss energy
Kwasi Kwarteng,2021-11-10,Airbus,To discuss science and innovation
Kwasi Kwarteng,2021-11-10,GE Renewable Energy,To discuss energy
Kwasi Kwarteng,2021-11-15,"Daily Telegraph (Chris Evans, Editor)",To discuss BEIS priorities
Kwasi Kwarteng,2021-11-15,"Make UK, Federation of Small Businesses, Confederation of British Industry, Institute of Directors and British Chambers of Commerce",To discuss business priorities
Kwasi Kwarteng,2021-11-15,"Enterprise Forum, Be the Business",Hybrid Event on post pandemic recovery for businesses
Kwasi Kwarteng,2021-11-15,"Natwest, Severn Trent, Snoop App, Starling Bank, Pension Bee, Electron",To discuss women in leadership
Kwasi Kwarteng,2021-11-16,Balfour Beatty,To discuss business
Kwasi Kwarteng,2021-11-16,BEAMA,To discuss investment in infrastructure needed to support the roll out of low carbon technologies
Kwasi Kwarteng,2021-11-17,Primary Health Properties,To discuss business
Kwasi Kwarteng,2021-11-17,ReGenerate,To discuss business growth
Kwasi Kwarteng,2021-11-17,Calouste Gulbenkian Foundation,To discuss energy
Kwasi Kwarteng,2021-11-17,DRAX Group,To discuss energy
Kwasi Kwarteng,2021-11-17,Reuters Energy Transition Europe,To discuss the outcomes of COP26
Kwasi Kwarteng,2021-11-19,Korea Electric Power Corporation (KEPCO),To discuss nuclear
Kwasi Kwarteng,2021-11-22,JP Morgan,Best of British event to discuss BEIS and HMG priorities
Kwasi Kwarteng,2021-11-22,"BSI, FiveAL, GIC, Google, NBCU, Onfido, Storegga, Relx, BP, British Volt, Informa, Reckitt, Amazon, Triple Point",To discuss business
Kwasi Kwarteng,2021-11-22,"CCUS Council (Carbon Capture, Usage and Storage)",To discuss energy
Kwasi Kwarteng,2021-11-23,AstraZeneca,Opening New Headquarters of the Global Research and Development Centre
Kwasi Kwarteng,2021-11-24,"Novartis, NHS,  Medicines and Healthcare Products Regulatory Agency, GlaxoSmithKline plc, National Institute for Health and Care Excellence, Accelerated Access Collaborative, Smith & Nephew, BioIndustry Association , Johnson & Johnson Innovation, Merck & Co, Pfizer, Sanofi, Eisai Co Ltd, UK BioIndustry Association, Eschmann, Association of the British Pharmaceutical Industry, Wellcome Trust, UK Research and Innovation, AstraZeneca, Department for Health and Social Care, Department for International Trade, HM Treasury, No. 10",To discuss life sciences
Kwasi Kwarteng,2021-11-25,Catagen,Visit to discuss decarbonisation
Kwasi Kwarteng,2021-11-25,Queen Elizabeth’s University Belfast,Visit to discuss science and innovation
Kwasi Kwarteng,2021-11-29,"Make UK, Federation Small Businesses, Confederation of British Industry, Institute of Directors and British Chambers",To discuss business priorities
Kwasi Kwarteng,2021-11-29,HSBC,To discuss business
Kwasi Kwarteng,2021-11-29,"Economist, HSBC",Panel to discuss business
Kwasi Kwarteng,2021-11-30,Sir Robert McAlpine,To discuss construction
Kwasi Kwarteng,2021-11-30,Nothern Powergrid,To discuss energy
Kwasi Kwarteng,2021-11-30,Scottish and Southern Energy plc (SSE),To discuss energy
Kwasi Kwarteng,2021-11-30,Electricity North West Limited (ENWL),To discuss energy
Kwasi Kwarteng,2021-12-01,RIO Tinto,To discuss decarbonisation
