Year,Month,Organisation Name,Organisation Type,"Main , parent or sponsoring department",Payroll Staff; AO/AA; Headcount,Payroll Staff; AO/AA; Full-Time Equivalent,Payroll Staff; EO; Headcount,Payroll Staff; EO; Full-Time Equivalent,Payroll Staff; SEO/HEO; Headcount,Payroll Staff; SEO/HEO; Full-Time Equivalent,Payroll Staff; Grade 6/7; Headcount,Payroll Staff; Grade 6/7; Full-Time Equivalent,Payroll Staff; SCS; Headcount,Payroll Staff; SCS; Full-Time Equivalent,"Payroll Staff; Other, unknown, unspecified; Headcount","Payroll Staff; Other, unknown, unspecified; Full-Time Equivalent","Payroll Staff, Total; Headcount","Payroll Staff, Total; Full-Time Equivalent","Non-payroll staff, Admin and Clerical; Headcount","Non-payroll staff, Admin and Clerical; Full-Time Equivalent","Non-payroll staff, Interim Managers, Specialist Contractors & Medical; Headcount","Non-payroll staff, Interim Managers, Specialist Contractors & Medical; Full-Time Equivalent","Non-payroll staff, Other Contingent Labour; Headcount","Non-payroll staff, Other Contingent Labour; Full-Time Equivalent","Non-payroll staff, Total Contingent labour, Headcount","Non-payroll staff, Total Contingent labour, Full-Time Equivalent","Non-payroll staff, Consultancy; Number of Contracts",Grand Total (workforce numbers); Headcount,Grand Total (workforce numbers); Full-Time Equivalent,Payroll staff costs; Salary,Payroll staff costs; Allowances,Payroll staff costs; Non-Consolidated performance payments,Payroll staff costs; Overtime,Payroll staff costs; Employer Pension Contributions,Payroll staff costs; Employer National Insurance contributions,Payroll staff costs; Total paybill,Non-Payroll staff costs; Contingent labour,Non-Payroll staff costs; Consultancy,Non-Payroll staff costs; Total staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,
2022,October,"Department for Business, Energy and Industrial Strategy",Ministerial Department,"Department for Business, Energy & Industrial Strategy (BEIS)",74,72.77,372,361.41,2355,2325.66,2738,2667.9,337,322.54,0,0,5876,5750.28,5,5,189,161.6,0,0,194,166.6,5,6070,5916.9,"£23,455,662.83","£871,888.58","£355,750.00","£90,744.94","£6,582,267.01","£3,041,479.70","£34,397,793.06","£108,401.00","£2,265,730.00","£2,374,131.00","£36,771,924.06",
2022,October,Advisory Conciliation & Arbitration Service (ACAS),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",47,39.9,303,285.26,616,571.54,54,50.9,8,8,0,0,1028,955.6,0,0,0,0,0,0,0,0,0,1028,955.6,"£2,697,733.63","£22,061.15",£0.00,"£3,200.21","£723,918.94","£295,925.93","£3,742,839.86",£0.00,£0.00,£0.00,"£3,742,839.86",
2022,October,Civil Nuclear Police Authority (CNPA),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",1430,1401.51,166,161.14,33,31.69,0,0,0,0,0,0,1629,1594.34,0,0,0,0,0,0,0,0,0,1629,1594.3,"£5,217,793.00","£251,539.00",£0.00,"£1,337,497.00","£1,052,600.00","£877,280.00","£8,736,709.00",£0.00,£0.00,£0.00,"£8,736,709.00",
2022,October,Coal Authority,Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",10,9.19,26,24.82,201,195.15,81,79.71,3,3,0,0,321,311.87,13,11.9,0,0,0,0,13,11.9,0,334,323.8,"£1,037,705.69","£14,332.53","£3,973.63",£0.00,"£281,767.67","£122,936.43","£1,460,715.95","£104,627.00",£0.00,"£104,627.00","£1,565,342.95",
2022,October,Committee on Climate Change (CCC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",0,0,1,1,16,16,26,24.6,5,5,0,0,48,46.6,0,0,0,0,0,0,0,0,0,48,46.6,"£215,718.00",£0.00,£0.00,£0.00,"£38,049.00","£17,159.00","£270,926.00",£0.00,£0.00,£0.00,"£270,926.00",
2022,October,Companies House,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",432,381.48,329,310.38,349,336.93,99,97.29,7,7,0,0,1216,1133.08,1,1,43,43,0,0,44,44,0,1260,1177.1,"£2,980,732.65","£100,297.19",£0.00,"£52,308.27","£814,803.08","£331,843.66","£4,279,984.85","£608,278.80",£0.00,"£608,278.80","£4,888,263.65",
2022,October,Competition Service,Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",6,6,1,1,4,3.8,8,8,0,0,1,1,20,19.8,0,0,0,0,0,0,0,0,2,20,19.8,"£82,272.00",£216.66,£0.00,£0.00,"£22,954.31","£10,132.90","£115,575.87",£0.00,"£4,200.00","£4,200.00","£119,775.87",
2022,October,HM Land Registry,Non-ministerial department,"Department for Business, Energy & Industrial Strategy (BEIS)",1730,1625.05,2343,2087.13,2281,2059.09,320,304.42,25,24.61,0,0,6699,6100.31,0,0,0,0,0,0,0,0,3,6699,6100.3,"£16,505,165.17","£237,431.45","£18,824.94","£1,476,566.71","£4,461,536.64","£13,923,053.12","£36,622,578.03","£926,328.20","£13,289.75","£939,617.95","£37,562,195.98",
2022,October,Insolvency Service,Executive Agency,"Department for Business, Energy & Industrial Strategy (BEIS)",508,471.18,201,190.42,774,742.4,155,151.08,12,12,0,0,1650,1567.07,0,0,0,0,0,0,0,0,0,1650,1567.1,"£4,422,993.42","£23,251.06","£35,600.00","£14,244.19","£1,204,619.04","£501,271.62","£6,201,979.33","£1,052,647.77",£0.00,"£1,052,647.77","£7,254,627.10",
2022,October,UK Intellectual Property Office,Executive Agency,"Department for Business, Energy & Industrial Strategy (BEIS)",224,204.64,447,417.78,616,593,399,378.05,24,23.7,0,0,1710,1617.17,0,0,0,0,0,0,0,0,0,1710,1617.2,"£5,294,143.00","£200,053.00","£66,644.00","£155,470.00","£1,515,999.00","£656,137.00","£7,888,446.00","£916,277.00",£0.00,"£916,277.00","£8,804,723.00",
