Allocated,1st Pref,2nd Pref,3rd Pref,4th Pref,5th Pref,Catch primary,Catch prim,Year
8162000,8162000,8163003,,,,Poppleton Road Primary School,2014,2024
8162430,8162430,,,,,Clifton with Rawcliffe Primary School,2430,2024
8163403,8163403,8162024,,,,Burton Green Primary School,2024,2024
8162018,8162018,,,,,Clifton Green Primary School,2018,2024
8162018,8162018,8162024,,,,Clifton Green Primary School,2018,2024
8163151,8163151,,,,,Dunnington CE Primary School,3151,2024
8162017,8162017,,,,,Westfield Community Primary School,2017,2024
8162017,8162017,,,,,Westfield Community Primary School,2017,2024
8162430,8162430,8162428,8162169,,,Clifton with Rawcliffe Primary School,2430,2024
8163156,8163156,,,,,Fishergate Primary School,2008,2024
8162000,8162000,,,,,Acomb Primary School,2000,2024
8162430,8162430,8162024,8162428,8162018,8162004,Clifton with Rawcliffe Primary School,2430,2024
8162027,8162027,8162000,8162028,8162013,,Woodthorpe Primary School,2027,2024
8163403,8163403,8162024,8162018,,,Burton Green Primary School,2024,2024
8162027,8162027,,,,,Woodthorpe Primary School,2027,2024
8162386,8162386,8162013,8162011,8152301,,Bishopthorpe Infant School,2386,2024
8162431,8162431,,,,,Badger Hill Primary School,2431,2024
8162016,8162016,8162008,,,,Scarcroft Primary School,2016,2024
8162429,8162429,8162008,8162012,,,Fishergate Primary School,2008,2024
8162241,8162241,8162058,,,,New Earswick Primary School,2021,2024
8162020,8162020,,,,,Fishergate Primary School,2008,2024
8162020,8162020,,,,,Fishergate Primary School,2008,2024
8163302,8163302,8162001,8162429,,,Tang Hall Primary School,2429,2024
8162176,8162176,8162020,8162431,,,St Lawrence's CE Primary School,2020,2024
8162012,8162012,8162176,8162008,,,Fishergate Primary School,2008,2024
8162008,8162008,,,,,Fishergate Primary School,2008,2024
8162016,8162016,8162008,,,,Scarcroft Primary School,2016,2024
8163402,8163402,,,,,Lord Deramores Primary School,3158,2024
8162241,8162241,,,,,Headlands Primary School,2241,2024
8162241,8162241,8162058,8162240,,,Ralph Butterfield Primary School,2058,2024
8162028,8162028,,,,,Westfield Community Primary School,2017,2024
8162012,8162012,,,,,Tang Hall Primary School,2429,2024
8163212,8163212,8162058,8162241,8162004,8162240,Robert Wilkinson Primary School,3212,2024
8162015,8162015,,,,,Yearsley Grove Primary School,2015,2024
8162001,8162001,8163302,8163401,,,Hempland Primary School,2001,2024
8162058,8162058,8162241,,,,Ralph Butterfield Primary School,2058,2024
8162240,8162240,,,,,Wigginton Primary School,2240,2024
8163904,8163904,8162000,,,,Hob Moor Community Primary School,2028,2024
8162020,8162020,,,,,St Lawrence's CE Primary School,2020,2024
8162029,8162029,8162349,,,,Poppleton Ousebank Primary School,2029,2024
8162429,8162429,,,,,Tang Hall Primary School,2429,2024
8162000,8162000,8163904,,,,Acomb Primary School,2000,2024
8163302,8163302,8163158,8162001,8163401,8163403,Hempland Primary School,2001,2024
8162008,8162008,,,,,Tang Hall Primary School,2429,2024
8162004,8162004,,,,,Haxby Road Primary Academy,2004,2024
8162012,8162012,8162004,8163403,,,Park Grove Primary Academy,2012,2024
8162349,8162349,,,,,Rufforth Primary School,2349,2024
8162011,8162011,8162016,8162008,,,Knavesmire Primary School,2011,2024
8162016,8162016,8162011,,,,Scarcroft Primary School,2016,2024
8162169,8162169,8162240,,,,Skelton Primary School,2169,2024
8162027,8162027,,,,,Woodthorpe Primary School,2027,2024
8162008,8162008,,,,,Fishergate Primary School,2008,2024
8162027,8162027,,,,,Woodthorpe Primary School,2027,2024
8162024,8162024,,,,,Clifton Green Primary School,2018,2024
8162011,8162011,,,,,Knavesmire Primary School,2011,2024
8162240,8162240,,,,,Wigginton Primary School,2240,2024
8162011,8162011,8162008,,,,Knavesmire Primary School,2011,2024
8162015,8162015,8162021,8162001,8162180,8163302,Yearsley Grove Primary School,2015,2024
8162058,8162058,,,,,Ralph Butterfield Primary School,2058,2024
8162001,8162001,,,,,Tang Hall Primary School,2429,2024
8162013,8162013,,,,,Copmanthorpe Primary School,2013,2024
8162241,8162241,,,,,Headlands Primary School,2241,2024
8162014,8162014,8162004,8163003,8162012,8162003,St Barnabas' CE Primary School,3002,2024
8163401,8163401,8162001,,,,Tang Hall Primary School,2429,2024
8162008,8163158,8163156,8162011,8162008,8162016,Fishergate Primary School,2008,2024
8162001,8162001,,,,,Hempland Primary School,2001,2024
8162011,8162011,8162004,8162014,8163003,8162000,Knavesmire Primary School,2011,2024
8163151,8163151,8163152,8163380,8163158,8163156,Dunnington CE Primary School,3151,2024
8162430,8162430,,,,,Clifton with Rawcliffe Primary School,2430,2024
8162058,8162058,8162241,8162240,,,Headlands Primary School,2241,2024
8162240,8162240,8162021,8162004,,,Wigginton Primary School,2240,2024
8162017,8162017,,,,,Westfield Community Primary School,2017,2024
8163003,8163003,8163904,,,,St Paul's CE Primary School,3003,2024
8162016,8162016,8162011,,,,Scarcroft Primary School,2016,2024
8163156,8163156,,,,,St Oswald's CE Primary School,3156,2024
8162001,8162001,8162012,8163302,,,Tang Hall Primary School,2429,2024
8162227,8162227,,,,,Robert Wilkinson Primary School,3212,2024
8162011,8162011,8162016,8162008,,,Knavesmire Primary School,2011,2024
8162058,8162058,8162240,,,,Wigginton Primary School,2240,2024
8162014,8162014,8162000,8162028,8163003,8162007,Poppleton Road Primary School,2014,2024
,,,8163380,8162033,,,,2024
8163156,8163156,,,,,St Oswald's CE Primary School,3156,2024
8162430,8162430,,,,,Clifton with Rawcliffe Primary School,2430,2024
8162430,8162430,,,,,Burton Green Primary School,2024,2024
8162015,8162015,,,,,Haxby Road Primary Academy,2004,2024
8163402,8163402,,,,,Fishergate Primary School,2008,2024
8162014,8162014,,,,,Poppleton Road Primary School,2014,2024
8163904,8163904,,,,,Acomb Primary School,2000,2024
8162017,8162017,8162013,8162027,8163904,8162000,Westfield Community Primary School,2017,2024
8162007,8162007,8162027,8162000,8163904,8162028,Hob Moor Community Primary School,2028,2024
8162431,8163158,8162431,8163402,,,,,2024
8162018,8162018,8162013,8162027,8162029,,St Barnabas' CE Primary School,3002,2024
8162429,8162429,,,,,Park Grove Primary Academy,2012,2024
8162003,8162003,8162014,,,,Carr Infant School,2003,2024
8162014,8162014,8162003,,,,Carr Infant School,2003,2024
8162000,8162000,8162014,8163003,8162003,8163002,Poppleton Road Primary School,2014,2024
8162000,8162000,8162014,8163003,8162003,8163002,Poppleton Road Primary School,2014,2024
8163152,8163152,,,,,Elvington CE Primary School,3152,2024
8163003,8163003,8163904,8162000,8162014,,Acomb Primary School,2000,2024
8162428,8162428,,,,,Lakeside Primary School,2428,2024
8163401,8163401,,,,,Osbaldwick Primary School,2176,2024
8162428,8162428,,,,,Lakeside Primary School,2428,2024
8162386,8162386,,,,,Bishopthorpe Infant School,2386,2024
8162386,8162386,,,,,Bishopthorpe Infant School,2386,2024
8163402,8163156,8163402,8162008,,,Fishergate Primary School,2008,2024
8163212,8163212,,,,,Robert Wilkinson Primary School,3212,2024
8163156,8163158,8163156,,,,Fishergate Primary School,2008,2024
8163904,8163904,8162003,,,,Carr Infant School,2003,2024
8163380,8163380,8163151,8163152,,,Wheldrake with Thorganby CE Primary School,3380,2024
8162004,8162004,8162015,8162180,8162012,8162429,Haxby Road Primary Academy,2004,2024
8163151,8163151,8163152,,,,Dunnington CE Primary School,3151,2024
8162012,8162012,8163403,8162021,8162004,,Haxby Road Primary Academy,2004,2024
8163401,8162001,8163401,,,,Osbaldwick Primary School,2176,2024
8162027,8162027,,,,,Hob Moor Community Primary School,2028,2024
8163003,8163003,8162000,8163904,8162014,8162016,Hob Moor Community Primary School,2028,2024
8162430,8162430,,,,,Lakeside Primary School,2428,2024
8162003,8162003,8163003,8162000,8162014,,Carr Infant School,2003,2024
,,,8162029,8162349,,,,2024
8162017,8162017,,,,,Woodthorpe Primary School,2027,2024
8162008,8162008,,,,,Fishergate Primary School,2008,2024
8163002,8163002,,,,,St Barnabas' CE Primary School,3002,2024
8162014,8162000,8162014,,,,Poppleton Road Primary School,2014,2024
8162024,8162024,,,,,Burton Green Primary School,2024,2024
8162240,8162240,8162058,8162241,,,Wigginton Primary School,2240,2024
8162386,8162386,8163222,8162007,,,Westfield Community Primary School,2017,2024
8162007,8162007,8162011,,,,Dringhouses Primary School,2007,2024
8162015,8162015,8162180,8162004,,,Yearsley Grove Primary School,2015,2024
8162024,8162024,,,,,Burton Green Primary School,2024,2024
8162430,8162430,8162428,8162011,8162000,8162018,Clifton with Rawcliffe Primary School,2430,2024
8162012,8162012,,,,,Park Grove Primary Academy,2012,2024
8162011,8162011,,,,,Westfield Community Primary School,2017,2024
8163152,8163152,,,,,Elvington CE Primary School,3152,2024
8162430,8162430,,,,,Clifton with Rawcliffe Primary School,2430,2024
8162240,8162240,,,,,Wigginton Primary School,2240,2024
8162024,8162024,,,,,Burton Green Primary School,2024,2024
8162013,8162013,,,,,Copmanthorpe Primary School,2013,2024
8162007,8162007,8162000,8162028,,,Hob Moor Community Primary School,2028,2024
8162430,8162430,,,,,Burton Green Primary School,2024,2024
8162180,8162180,,,,,Huntington Primary Academy,2180,2024
8162000,8162000,8163003,,,,Acomb Primary School,2000,2024
8162001,8162001,8163302,8162227,8162004,8162020,Hempland Primary School,2001,2024
8162018,8162018,,,,,Clifton Green Primary School,2018,2024
8162021,8162021,,,,,New Earswick Primary School,2021,2024
8162021,8162021,,,,,New Earswick Primary School,2021,2024
8162028,8162028,,,,,Hob Moor Community Primary School,2028,2024
8162429,8162429,8163302,8162012,,,Tang Hall Primary School,2429,2024
8162008,8162008,8163402,8162020,,,St Lawrence's CE Primary School,2020,2024
8163158,8163158,,,,,St Oswald's CE Primary School,3156,2024
8163152,8163152,8163151,,,,Elvington CE Primary School,3152,2024
8162169,8162169,,,,,Skelton Primary School,2169,2024
8162058,8162058,8162240,8162241,,,Ralph Butterfield Primary School,2058,2024
8162014,8162014,8162000,,,,Poppleton Road Primary School,2014,2024
8162014,8162014,,,,,Poppleton Road Primary School,2014,2024
8163403,8163403,8162012,,,,Park Grove Primary Academy,2012,2024
8162027,8162027,,,,,Woodthorpe Primary School,2027,2024
8162016,8162016,8162011,,,,Scarcroft Primary School,2016,2024
8162014,8162014,,,,,Carr Infant School,2003,2024
8162227,8163158,8162001,8162227,8163151,8162176,Osbaldwick Primary School,2176,2024
8162001,8162001,8163302,,,,Hempland Primary School,2001,2024
8162176,8162176,,,,,Osbaldwick Primary School,2176,2024
8162241,8162241,,,,,Headlands Primary School,2241,2024
8162028,8162028,8162027,8162003,8162000,8162017,Hob Moor Community Primary School,2028,2024
8163002,8163002,,,,,Woodthorpe Primary School,2027,2024
,,8163151,,,,,,2024
8163212,8163212,,,,,Robert Wilkinson Primary School,3212,2024
8162029,8162029,,,,,Poppleton Ousebank Primary School,2029,2024
8162013,8162013,,,,,Copmanthorpe Primary School,2013,2024
8162016,8162016,8162011,,,,Scarcroft Primary School,2016,2024
8162016,8162016,8162011,,,,Scarcroft Primary School,2016,2024
8163302,8163302,8162012,8162001,,,Tang Hall Primary School,2429,2024
8162028,8162028,,,,,Hob Moor Community Primary School,2028,2024
8162011,8162011,8162016,,,,Knavesmire Primary School,2011,2024
8162003,8162003,,,,,Carr Infant School,2003,2024
8162001,8162001,,,,,Hempland Primary School,2001,2024
8162028,8162028,,,,,Hob Moor Community Primary School,2028,2024
8162001,8162001,,,,,Hempland Primary School,2001,2024
8163904,8163904,,,,,Westfield Community Primary School,2017,2024
8163151,8163151,8162176,8162227,8163152,,Dunnington CE Primary School,3151,2024
8162014,8162014,8163904,8162003,,,Carr Infant School,2003,2024
8163156,8163156,8162008,,,,St Oswald's CE Primary School,3156,2024
8162430,8162430,,,,,Clifton with Rawcliffe Primary School,2430,2024
8162003,8162003,8162014,,,,Carr Infant School,2003,2024
8162001,8162001,8163302,,,,Hempland Primary School,2001,2024
