Allocated,1st Pref,2nd Pref,3rd Pref,4th Pref,5th Pref,CatchmentName,CatchmentCode,Year 
8163003,8163003,,,,,St Paul's CE Primary School,8163003,2023
8162013,8162013,,,,,Copmanthorpe Primary School,8162013,2023
8162428,8162428,8162029,8162430,,,Lakeside Primary School,8162428,2023
8162000,8162000,,,,,Acomb Primary School,8162000,2023
8162015,8162015,8162180,8162021,,,Haxby Road Primary Academy,8162004,2023
8163159,8163159,,,,,Naburn CE Primary School,8163159,2023
8162003,8162003,8162007,8162349,,,Westfield Community Primary School,8162017,2023
8153153,8153153,,,,,Naburn CE Primary School,8163159,2023
8162169,8162169,,,,,Skelton Primary School,8162169,2023
8162029,8162029,,,,,Poppleton Ousebank Primary School,8162029,2023
8162029,8162029,,,,,Poppleton Ousebank Primary School,8162029,2023
8162017,8162017,,,,,Westfield Community Primary School,8162017,2023
8162007,8162007,8162027,8162028,,,Hob Moor Community Primary School,8162028,2023
8162017,8162017,,,,,Westfield Community Primary School,8162017,2023
8162017,8162017,,,,,Westfield Community Primary School,8162017,2023
8162000,8162000,,,,,Poppleton Ousebank Primary School,8162029,2023
8163003,8163003,8162349,8162029,,,Hob Moor Community Primary School,8162028,2023
8162180,8162180,8162015,,,,Yearsley Grove Primary School,8162015,2023
8162180,8162180,,,,,Huntington Primary Academy,8162180,2023
8162027,8162027,8162007,8162013,,,Woodthorpe Primary School,8162027,2023
8162020,8162020,,,,,Tang Hall Primary School,8162429,2023
8162176,8162176,8162431,8162001,,,Osbaldwick Primary School,8162176,2023
8162012,8162012,,,,,Park Grove Primary Academy,8162012,2023
8162180,8162180,,,,,Huntington Primary Academy,8162180,2023
8163904,8163904,8162000,8163003,8162014,8162028,Hob Moor Community Primary School,8162028,2023
8162017,8162017,,,,,Westfield Community Primary School,8162017,2023
8162241,8162241,8162058,8162240,,,Headlands Primary School,8162241,2023
8162000,8162000,,,,,Acomb Primary School,8162000,2023
8162349,8162349,8162003,,,,Carr Junior School,8162002,2023
8162014,8162014,,,,,Carr Infant School,8162003,2023
8162017,8162017,,,,,Hob Moor Community Primary School,8162028,2023
8162021,8162021,8162015,8162004,8162012,8162001,Yearsley Grove Primary School,8162015,2023
8162029,8162029,8162349,8162003,,,Carr Infant School,8162003,2023
8162029,8162029,8162349,8162003,,,Carr Junior School,8162002,2023
8162018,8162018,,,,,Clifton Green Primary School,8162018,2023
8163158,8163158,8163380,,,,Lord Deramores Primary School,8163158,2023
8162014,8162014,,,,,Clifton Green Primary School,8162018,2023
