Name,Title,DateFrom,DateTo,Destination,Purpose,TravelAirGBP,TravelRailGBP,TravelCarTaxiBusGBP,SubsistenceAccommodationMealsGBP,OtherInclHospitalityGivenGBP,TotalGBP
Jason Feeney,Chief Executive,2018-07-03,2018-07-05,London, Internal Meetings,,260.65,18.5,408.22,,687.37
Jason Feeney,Chief Executive,2018-07-09,2018-07-11,London, Internal Meetings,,254,38.3,496.86,,789.16
Jason Feeney,Chief Executive,2018-07-16,2018-07-18,London, Internal Meetings,,,,366,,366
Jason Feeney,Chief Executive,2018-07-23,2018-07-25,London, Internal Meetings,,254,61.82,312.82,,628.64
Jason Feeney,Chief Executive,2018-07-30,2018-08-01,London, Internal Meetings,,,18.5,135.76,,154.26
Jason Feeney,Chief Executive,2018-08-06,2018-08-08,London, Internal Meetings,,,18.7,150.79,,169.49
Jason Feeney,Chief Executive,2018-08-13,2018-08-15,London, Internal Meetings,,254,36.6,130.52,,421.12
Jason Feeney,Chief Executive,2018-08-20,2018-08-24,Belfast, Internal Meetings,162.77,159.4,,83.6,,405.77
Jason Feeney,Chief Executive,2018-09-17,2018-09-19,Cardiff,FSA Board Meeting,,359.9,19.1,229.6,,608.6
Jason Feeney,Chief Executive,2018-09-24,2018-09-26,London, Internal Meetings,,254,39.1,281.16,,574.26
ROD AINSWORTH,Director of Regulatory and Legal Strategy,2018-07-31,2018-08-01,Salisbury, Internal Meetings,,48.5,,90,,138.5
CHRIS HITCHEN, Director of Finance & Performance,2018-07-03,2018-07-03,London,Executive Management Team Meeting,,255,29.5,10,,294.5
CHRIS HITCHEN, Director of Finance & Performance,2018-07-10,2018-07-10,London, Internal Meetings,,255,27.9,10,,292.9
CHRIS HITCHEN, Director of Finance & Performance,2018-07-23,2018-07-24,London,Executive Management Team Meeting,,165,45.5,147.14,,357.64
CHRIS HITCHEN, Director of Finance & Performance,2018-07-29,2018-07-29,London,Oyster Card Top-Up,,,20,,,20
CHRIS HITCHEN, Director of Finance & Performance,2018-07-31,2018-07-31,London,Executive Management Team Meeting,,255,39,10,,304
CHRIS HITCHEN, Director of Finance & Performance,2018-08-07,2018-08-07,London,Executive Management Team Meeting,,255,38.8,6.45,,300.25
CHRIS HITCHEN, Director of Finance & Performance,2018-08-28,2018-08-28,London,Executive Management Team Meeting,,255,23.5,10,,288.5
CHRIS HITCHEN, Director of Finance & Performance,2018-09-03,2018-09-03,Newcastle, Internal Meetings,,72,18.5,9.1,,99.6
CHRIS HITCHEN, Director of Finance & Performance,2018-09-04,2018-09-04,London, Internal Meetings,,187.5,30.3,9.24,,227.04
CHRIS HITCHEN, Director of Finance & Performance,2018-09-06,2018-09-06,London,External Conference,,264,27.9,10,,301.9
CHRIS HITCHEN, Director of Finance & Performance,2018-09-08,2018-09-08,London,Oyster Card Top-Up,,,20,,,20
CHRIS HITCHEN, Director of Finance & Performance,2018-09-17,2018-09-19,Cardiff,FSA Board Meeting,,182.6,38.4,223,,444
CHRIS HITCHEN, Director of Finance & Performance,2018-09-26,2018-08-26,London, Internal Meetings,,264,29.5,10,,303.5
MARIA JENNINGS,Director of FSA Northern Ireland & Organisational Development,2018-07-16,2018-07-16,Stormont,Inter-governmental meeting,,,3.5,,,3.5
MARIA JENNINGS,Director of FSA Northern Ireland & Organisational Development,2018-07-17,2018-07-17,York, Internal Meetings,112.54,,140.95,3.4,,256.89
MARIA JENNINGS,Director of FSA Northern Ireland & Organisational Development,2018-07-24,2018-07-25,London,Executive Management Team Meeting,204.13,37,49.95,148.3,,439.38
MARIA JENNINGS,Director of FSA Northern Ireland & Organisational Development,2018-07-31,2018-07-31,London,Executive Management Team Meeting,335.13,79,26.95,15.13,,456.21
MARIA JENNINGS,Director of FSA Northern Ireland & Organisational Development,2018-08-08,2018-08-08,Stormont,Inter-governmental meeting,,,3.5,,,3.5
MARIA JENNINGS,Director of FSA Northern Ireland & Organisational Development,2018-08-09,2018-08-09,York, Internal Meetings,168.54,,139.95,,,308.49
MARIA JENNINGS,Director of FSA Northern Ireland & Organisational Development,2018-08-14,2018-08-15,London, Internal Meetings,425.13,37,49.95,162.2,,674.28
MARIA JENNINGS,Director of FSA Northern Ireland & Organisational Development,2018-08-21,2018-08-21,London, Internal Meetings,228.13,37,39.95,,,305.08
MARIA JENNINGS,Director of FSA Northern Ireland & Organisational Development,2018-08-22,2018-08-22,Portadown,Office / Site Visit,,,3,,,3
MARIA JENNINGS,Director of FSA Northern Ireland & Organisational Development,2018-08-29,2018-08-29,Belfast,Inter-governmental meeting,,,3,,,3
MARIA JENNINGS,Director of FSA Northern Ireland & Organisational Development,2018-09-04,2018-09-05,London, Internal Meetings,335.13,37,46.95,159.05,,578.13
MARIA JENNINGS,Director of FSA Northern Ireland & Organisational Development,2018-09-10,2018-09-10,London, Internal Meetings,373.13,37,36.95,12.22,,459.3
MARIA JENNINGS,Director of FSA Northern Ireland & Organisational Development,2019-09-17,2019-09-17,Belfast,Inter-governmental meeting,,,2,,,2
MARIA JENNINGS,Director of FSA Northern Ireland & Organisational Development,2018-09-18,2018-09-19,Cardiff,FSA Board Meeting,90.5,,46.95,132.2,,269.65
MARIA JENNINGS,Director of FSA Northern Ireland & Organisational Development,2018-09-26,2018-09-27,London, Internal Meetings,433.13,37,51.15,234.57,,755.85
