Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount
DCMS,National Gallery,22/02/2019,Rent,Buildings,Ashdown Phillips and Partners Ltd (rent),10317705,"161,822.75"
DCMS,National Gallery,22/02/2019,Rent,Buildings,Ashdown Phillips and Partners Ltd (service charge),10317706,"40,343.64"
DCMS,National Gallery,01/03/2019,Professional Fees,Buildings,Atkins Limited t/a Faithful + Gould,10317835,"44,563.00"
DCMS,National Gallery,01/03/2019,Building Works,Buildings,CBRE Managed Services Ltd,10317968,"21,374.14"
DCMS,National Gallery,22/02/2019,Building Works,Buildings,CBRE Managed Services Ltd,10317712,"110,944.42"
DCMS,National Gallery,11/02/2019,Operational Consultants,Buildings,Colley Associates Limited,10318596,"24,900.00"
DCMS,National Gallery,22/02/2019,Gas,Buildings,Corona Energy Retail 4 Ltd,10317707,"46,867.66"
DCMS,National Gallery,01/03/2019,Contract cleaning,Buildings,DOC Cleaning Limited,10317834,"55,160.25"
DCMS,National Gallery,15/02/2019,Electricity,Buildings,EDF Energy 1 Limited,10317357,"62,775.86"
DCMS,National Gallery,15/02/2019,Temporary Staff,Operations Directorate,IRG Advisors LLP t/a Odgers Berndtson,10317290,"22,783.00"
DCMS,National Gallery,01/03/2019,Phone system,Information Systems,Maintel Europe Limited,10317976,"40,282.18"
DCMS,National Gallery,01/03/2019,Transport,Exhibitions,Momart Ltd,10318067,"49,730.36"
DCMS,National Gallery,22/02/2019,Contract & Non-contract Security,Exhibitions,Securitas Security Services (UK) Ltd,10317632,"64,958.25"
DCMS,National Gallery,15/02/2019,Contract & Non-contract Security,Security,Securitas Security Services (UK) Ltd,10317632,"544,120.59"
DCMS,National Gallery,15/02/2019,Building Works,Buildings,Willmott Dixon Interiors Ltd,10317366,"298,373.09"
,,,,,,,"1,588,999.19"
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,`,,,,
