Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,Description,Supplier Post Code
Departmen of Health,NHS Business Services Authority,08/02/2019,Professional Fees,Supply Chain Management Division,UNIPART GROUP LIMITED,0050036209,"736,471.00",EU EXIT COST,OX4 2PG
Departmen of Health,NHS Business Services Authority,08/02/2019,Professional Fees,Supply Chain Management Division,UNIPART GROUP LIMITED,0050036210,"183,240.53",EU EXIT COSTS,OX4 2PG
Departmen of Health,NHS Business Services Authority,12/02/2019,Query,Supply Chain Management Division,IBM UK LTD,0050036215,"175,202.01",COMP 3 ESR JAN 19,PO6 3AF
Departmen of Health,NHS Business Services Authority,12/02/2019,Temporary Staff,Corporate Services,TRAINLINE.COM LTD,0050036224,"44,352.05",01.01.19 / 31/01/19 RAIL TICKETS,EC1N 2TD
Departmen of Health,NHS Business Services Authority,15/02/2019,Apprenticeship Levy,Corporate Services,HM REVENUE & CUSTOMS 948PX00194660,0050036263,"30,978.00",PAYE NI JAN 19 BSA M10,NE98 1ZZ
Departmen of Health,NHS Business Services Authority,15/02/2019,Statutory Payment,Statutory Payments,HM REVENUE & CUSTOMS 948PX00194660,0050036263,"1,469,668.17",PAYE NI JAN 19 BSA M10,NE98 1ZZ
Departmen of Health,NHS Business Services Authority,15/02/2019,Query,Supply Chain Management Division,IBM UK LTD,0050036265,"48,865.71",VITALITY CORE JAN 19,PO6 3AF
Departmen of Health,NHS Business Services Authority,15/02/2019,Query,Supply Chain Management Division,IBM UK LTD,0050036269,"112,373.80",COMP 3 CHANGE P/LINE OCT-DEC 18,PO6 3AF
Departmen of Health,NHS Business Services Authority,15/02/2019,Query,Supply Chain Management Division,IBM UK LTD,0050036276,"1,595,111.44",COMP 2 NHS ESR JAN 19,PO6 3AF
Departmen of Health,NHS Business Services Authority,14/02/2019,Query,Supply Chain Management Division,SCCL,0050036299,"11,681,656.85",EXPENDITURE APR-DEC 18,NE99 1UQ
Departmen of Health,NHS Business Services Authority,15/02/2019,Query,Corporate Services,COMPASS SERVICES UK & IRELAND LTD,0080097310,"80,631.19",PHASE 2 DECEMBER 2018,B45 9PZ
Departmen of Health,NHS Business Services Authority,05/02/2019,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0080097325,"23,037.01",A/C 0912819049 - EHIC EU,S49 1HQ
Departmen of Health,NHS Business Services Authority,05/02/2019,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0080097391,"32,152.78",A/C 0912819049 - Tax Credits,S49 1HQ
Departmen of Health,NHS Business Services Authority,05/02/2019,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0080097394,"34,112.22",A/C 0912819048 - OHS,S49 1HQ
Departmen of Health,NHS Business Services Authority,05/02/2019,Professional Fees,Prescription Pricing Division,AGILISYS LTD,0080097461,"37,045.00",Managed Infrastructure on-going costs in,W6 9DL
Departmen of Health,NHS Business Services Authority,05/02/2019,Minor Works,Corporate Services,INTEGRATED HEALTH PROJECTS,0080097506,"111,736.57",NHS BSA P22 MINOR WORKS 31/12/18,HP2 7TR
Departmen of Health,NHS Business Services Authority,08/02/2019,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0080097517,"34,238.20",A/C 0912819048,S49 1HQ
Departmen of Health,NHS Business Services Authority,08/02/2019,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0080097518,"28,607.99",A/C 0912819049 - EHIC EU,S49 1HQ
Departmen of Health,NHS Business Services Authority,15/02/2019,Query,Supply Chain Management Division,NHS SUPPLY CHAIN,0080097592,"593,747.64",TRANSITION COSTS MAR-SEPT 18,DE55 4QJ
Departmen of Health,NHS Business Services Authority,05/02/2019,Query,Project Pacific,NHS ENGLAND,0080097629,"1,121,758.30",PECS CAMPAIGN,WF3 1WE
Departmen of Health,NHS Business Services Authority,08/02/2019,Query,Supply Chain Management Division,CSC COMPUTER SCIENCES LTD,0080097707,"215,494.00",Neutral Network Project relating to,GU11 1PZ
Departmen of Health,NHS Business Services Authority,01/02/2019,Query,Corporate Services,METHODS BUSINESS & DIGITAL TECH LTD,0080097737,"127,191.03",The contract is for provision of NHS,EC1A 4EN
Departmen of Health,NHS Business Services Authority,05/02/2019,Furniture Purchase,Corporate Services,FLEXIFORM,0080097766,"43,974.00",Orangebox Saturday Delivery,BD3 7AE
Departmen of Health,NHS Business Services Authority,15/02/2019,Professional Fees,Prescription Pricing Division,DIFRENT LTD,0080097813,"191,640.00",Difrent Ltd,SL4 1TX
Departmen of Health,NHS Business Services Authority,05/02/2019,Internal Audit Fees,Corporate Services,DEPARTMENT OF HEALTH,0080097819,"47,227.76",14 days 18-19 Provider Management and,LS2 7UE
