Dam Breed Type,All Breeds,,,,,,,,,,,,
Dairy,"303,358",,,,,,,,,,,,
Non-Dairy,"582,306",,,,,,,,,,,,
Total,"885,664",,,,,,,,,,Dam Breed Type,Calf Breed Code,Sum of Number of Births
,,,,,,,,,,,Dairy,AA,2142
Dam Breed Type,Calf Breed,,,,Dam Breed Type,Percentage of Births,,,,,Dairy,AAX,25678
,,,,,,,,,,,Dairy,ARX,1
,AA,AAX,Total,,,AA,AAX,Total,,,Dairy,AUX,2
Dairy,N/A,27820,27820,,Dairy,N/A,29.80%,24.26%,,,Dairy,AY,2999
Non Dairy,21318,65526,86844,,Non Dairy,100.00%,70.20%,75.74%,,,Dairy,AYX,798
Total,21318,93346,114664,,,,,,,,Dairy,BA,51
,AB,ABX,Total,,,AB,ABX,Total,,,Dairy,BAL,31
Dairy,N/A,13,13,,Dairy,N/A,100.00%,92.86%,,,Dairy,BALX,6
Non Dairy,1,0,1,,Non Dairy,100.00%,0.00%,7.14%,,,Dairy,BAX,1086
Total,1,13,14,,,,,,,,Dairy,BAZ,4
,ALL,ALLX,Total,,,ALL,ALLX,Total,,,Dairy,BAZX,49
Dairy,N/A,2,2,,Dairy,N/A,6.90%,3.03%,,,Dairy,BF,20059
Non Dairy,37,27,64,,Non Dairy,100.00%,93.10%,96.97%,,,Dairy,BFX,5932
Total,37,29,66,,,,,,,,Dairy,BG,17
,AM,AMX,Total,,,AM,AMX,Total,,,Dairy,BGX,159
Dairy,N/A,0,0,,Dairy,N/A,N/A,N/A,,,Dairy,BLGX,27
Non Dairy,0,0,0,,Non Dairy,N/A,N/A,N/A,,,Dairy,BP,1
Total,0,0,0,,,,,,,,Dairy,BRB,2121
,AN,ANX,Total,,,AN,ANX,Total,,,Dairy,BRBX,29879
Dairy,N/A,0,0,,Dairy,N/A,N/A,0.00%,,,Dairy,BRX,1
Non Dairy,1,0,1,,Non Dairy,100.00%,N/A,100.00%,,,Dairy,BS,617
Total,1,0,1,,,,,,,,Dairy,BSH,109
,AR,ARX,Total,,,AR,ARX,Total,,,Dairy,BSHX,493
Dairy,N/A,1,1,,Dairy,N/A,50.00%,25.00%,,,Dairy,BSX,990
Non Dairy,2,1,3,,Non Dairy,100.00%,50.00%,75.00%,,,Dairy,BWX,5
Total,2,2,4,,,,,,,,Dairy,CB,29
,AU,AUX,Total,,,AU,AUX,Total,,,Dairy,CD,389
Dairy,N/A,2,2,,Dairy,N/A,100.00%,28.57%,,,Dairy,CH,230
Non Dairy,5,0,5,,Non Dairy,100.00%,0.00%,71.43%,,,Dairy,CHIX,1
Total,5,2,7,,,,,,,,Dairy,CHX,3307
,AY,AYX,Total,,,AY,AYX,Total,,,Dairy,DEV,46
Dairy,2999,798,3797,,Dairy,100.00%,88.57%,97.36%,,,Dairy,DEVX,759
Non Dairy,N/A,103,103,,Non Dairy,N/A,11.43%,2.64%,,,Dairy,DEX,1
Total,2999,901,3900,,,,,,,,Dairy,DEXX,3
,BA,BAX,Total,,,BA,BAX,Total,,,Dairy,DR,9
Dairy,N/A,1137,1137,,Dairy,N/A,8.11%,7.25%,,,Dairy,DRX,106
Non Dairy,1659,12877,14536,,Non Dairy,100.00%,91.89%,92.75%,,,Dairy,DS,488
Total,1659,14014,15673,,,,,,,,Dairy,DSX,284
,BAL,BALX,Total,,,BAL,BALX,Total,,,Dairy,FKV,126
Dairy,31,6,37,,Dairy,100.00%,30.00%,72.55%,,,Dairy,FKVX,1135
Non Dairy,N/A,14,14,,Non Dairy,N/A,70.00%,27.45%,,,Dairy,GA,13
Total,31,20,51,,,,,,,,Dairy,GAX,22
,BAZ,BAZX,Total,,,BAZ,BAZX,Total,,,Dairy,GEX,69
Dairy,N/A,53,53,,Dairy,N/A,4.71%,4.27%,,,Dairy,GL,1
Non Dairy,114,1073,1187,,Non Dairy,100.00%,95.29%,95.73%,,,Dairy,GLX,1
Total,114,1126,1240,,,,,,,,Dairy,GU,422
,BD,BDX,Total,,,BD,BDX,Total,,,Dairy,GUX,26
Dairy,0,0,0,,Dairy,N/A,N/A,N/A,,,Dairy,HE,1395
Non Dairy,N/A,0,0,,Non Dairy,N/A,N/A,N/A,,,Dairy,HEX,16202
Total,0,0,0,,,,,,,,Dairy,HF,110689
,BEL,BELX,Total,,,BEL,BELX,Total,,,Dairy,HFX,8707
Dairy,N/A,0,0,,Dairy,N/A,N/A,N/A,,,Dairy,HIX,10
Non Dairy,0,0,0,,Non Dairy,N/A,N/A,N/A,,,Dairy,HO,19654
Total,0,0,0,,,,,,,,Dairy,HOX,1799
,BF,BFX,Total,,,BF,BFX,Total,,,Dairy,IMX,13
Dairy,20059,5932,25991,,Dairy,100.00%,82.80%,95.47%,,,Dairy,JE,2721
Non Dairy,N/A,1232,1232,,Non Dairy,N/A,17.20%,4.53%,,,Dairy,JEX,1571
Total,20059,7164,27223,,,,,,,,Dairy,KE,21
,BG,BGX,Total,,,BG,BGX,Total,,,Dairy,KEX,2
Dairy,N/A,176,176,,Dairy,N/A,30.72%,8.29%,,,Dairy,LHX,48
Non Dairy,1551,397,1948,,Non Dairy,100.00%,69.28%,91.71%,,,Dairy,LIM,1730
Total,1551,573,2124,,,,,,,,Dairy,LIMX,22166
,BI,BIX,Total,,,BI,BIX,Total,,,Dairy,LRX,35
Dairy,N/A,0,0,,Dairy,N/A,N/A,0.00%,,,Dairy,LUX,3
Non Dairy,27,0,27,,Non Dairy,100.00%,N/A,100.00%,,,Dairy,MGX,11
Total,27,0,27,,,,,,,,Dairy,MO,108
,BLG,BLGX,Total,,,BLG,BLGX,Total,,,Dairy,MOX,1694
Dairy,N/A,27,27,,Dairy,N/A,57.45%,4.29%,,,Dairy,MRI,42
Non Dairy,583,20,603,,Non Dairy,100.00%,42.55%,95.71%,,,Dairy,MRIX,143
Total,583,47,630,,,,,,,,Dairy,NDS,16
,BP,BPX,Total,,,BP,BPX,Total,,,Dairy,NO,10
Dairy,N/A,1,1,,Dairy,N/A,100.00%,100.00%,,,Dairy,NOX,71
Non Dairy,0,0,0,,Non Dairy,N/A,0.00%,0.00%,,,Dairy,NR,37
Total,0,1,1,,,,,,,,Dairy,NRX,1010
,BR,BRX,Total,,,BR,BRX,Total,,,Dairy,PAX,7
Dairy,N/A,1,1,,Dairy,N/A,12.50%,12.50%,,,Dairy,PIX,10
Non Dairy,0,7,7,,Non Dairy,N/A,87.50%,87.50%,,,Dairy,RG,20
