,,,Country of import,,,,,,,,Totals
Age at Import (months),Breed Type,Sex,BELGIUM,DENMARK,FRANCE,GERMANY,IRELAND,ISLE OF MAN,NETHERLANDS,NORTHERN IRELAND,
2 to 3,Non Dairy,F,0,0,0,0,0,0,0,1,1
3 to 4,Dairy,M,0,0,0,0,0,0,0,6,6
,Non Dairy,F,0,0,0,0,1,0,0,0,1
,,M,0,0,0,0,1,0,0,0,1
4 to 5,Dairy,F,0,0,0,0,1,0,0,2,3
,,M,0,0,0,0,0,0,0,17,17
,Non Dairy,F,0,0,0,0,1,0,0,9,10
,,M,0,0,0,0,4,0,0,2,6
5 to 6,Dairy,M,0,0,0,0,0,0,0,21,21
,Non Dairy,F,0,0,0,0,5,0,0,1,6
,,M,0,0,0,0,6,0,0,1,7
6 to 12,Dairy,F,0,0,0,0,0,0,8,0,8
,,M,0,0,0,0,0,0,0,104,104
,Non Dairy,F,0,0,0,0,1,0,0,11,12
,,M,0,0,0,1,4,0,0,12,17
12 to 24,Dairy,F,1,150,0,123,158,0,510,3,945
,,M,0,0,0,0,5,1,2,50,58
,Non Dairy,F,0,41,25,0,9,24,3,198,300
,,M,0,0,0,0,2,24,0,310,336
24 to 30,Dairy,F,12,52,42,423,142,0,416,19,"1,106"
,,M,0,0,0,0,38,0,0,32,70
,Non Dairy,F,0,20,8,0,4,1,3,347,383
,,M,0,0,0,0,0,15,0,531,546
30 to 36,Dairy,F,1,14,18,73,18,1,42,19,186
,,M,0,0,0,0,0,0,0,11,11
,Non Dairy,F,0,9,15,0,1,3,0,45,73
,,M,0,0,0,0,0,7,0,55,62
36 to 48,Dairy,F,2,11,7,40,90,0,33,11,194
,,M,0,0,0,0,0,0,0,5,5
,Non Dairy,F,0,7,0,0,16,2,0,38,63
,,M,0,0,0,0,0,1,0,9,10
48 to 60,Dairy,F,0,0,0,4,67,0,9,31,111
,,M,0,0,0,0,0,0,0,1,1
,Non Dairy,F,0,4,0,0,14,0,0,8,26
,,M,0,0,0,0,0,0,0,3,3
60 to 72,Dairy,F,0,0,1,3,40,0,11,21,76
,Non Dairy,F,0,2,0,0,1,1,0,9,13
,,M,0,0,0,0,0,0,0,5,5
72 and Over,Dairy,F,0,0,1,0,34,0,3,141,179
,Non Dairy,F,0,1,0,0,0,3,0,35,39
,,M,0,0,0,0,0,0,0,5,5
Totals,,,16,311,117,667,663,83,"1,040","2,129","5,026"
