Departure Country,Departure AHDO,SECTION 1,SECTION 2,SECTION 3,SECTION 4,SECTION 5
ENGLAND, BURY ST EDMUNDS AHDO ,7,3,346,14,0
, CARLISLE AHDO ,220,32,28,41,50
, EXETER AHDO ,545,156,0,799,110
, GLOUCESTER AHDO ,738,350,0,544,186
, LEEDS AHDO ,0,0,120,0,0
, LEICESTER AHDO ,179,50,20,268,25
, LINCOLN AHDO ,0,0,167,2,0
, NEWCASTLE AHDO ,156,4,384,5,5
, PRESTON AHDO ,0,0,196,0,0
, READING AHDO ,482,30,312,195,25
, REIGATE AHDO ,25,5,187,24,5
, STAFFORD AHDO ,782,419,12,"1,178",224
, TAUNTON AHDO ,"1,228",357,0,487,148
, TRURO AHDO ,438,95,0,448,18
, WORCESTER AHDO ,408,363,0,699,121
Sub-Total,,"5,208","1,864","1,772","4,704",917
SCOTLAND, AYR AHDO ,0,0,315,0,0
, GALASHIELS AHDO ,0,0,215,0,0
, INVERNESS AHDO ,0,0,3,0,0
, INVERURIE AHDO ,0,0,406,0,0
, PERTH AHDO ,0,0,298,0,0
Sub-Total,,0,0,"1,237",0,0
WALES, CAERNARFON AHDO ,639,137,0,249,112
, CARDIFF AHDO ,350,128,0,68,110
, CARMARTHEN AHDO ,879,377,0,327,164
Sub-Total,,"1,868",642,0,644,386
Grand Total,,"7,076","2,506","3,009","5,348","1,303"
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Animals Over 30 days on the holding,,,,,,
,,,,,,
Departure Country,Departure AHDO,SECTION 1,SECTION 2,SECTION 3,SECTION 4,SECTION 5
ENGLAND, BURY ST EDMUNDS AHDO ,35,14,188,74,0
, CARLISLE AHDO ,736,"1,558",369,"1,143",115
, CHELMSFORD AHDO ,0,0,2,0,0
, EXETER AHDO ,"5,143","4,587",0,"9,134",526
, GLOUCESTER AHDO ,"3,332","4,387",0,"6,481",400
, LEEDS AHDO ,0,0,454,0,0
, LEICESTER AHDO ,"1,634","1,557",250,"4,392",178
, LINCOLN AHDO ,24,10,533,147,0
, NEWCASTLE AHDO ,117,521,491,66,14
, PRESTON AHDO ,1,0,257,148,0
, READING AHDO ,"1,129",760,139,"2,638",117
, REIGATE AHDO ,171,163,219,436,23
, STAFFORD AHDO ,"4,494","5,945",36,"9,190",913
, TAUNTON AHDO ,"4,489","6,435",0,"5,308",538
, TRURO AHDO ,"1,935","3,183",0,"5,150",360
, WORCESTER AHDO ,"3,419","5,739",0,"12,170",405
Sub-Total,,"26,659","34,859","2,938","56,477","3,589"
WALES, CAERNARFON AHDO ,"3,730","6,610",0,"5,077",867
, CARDIFF AHDO ,"2,453","3,347",0,"2,893",240
, CARMARTHEN AHDO ,"5,184","5,847",0,"5,994",503
Sub-Total,,"11,367","15,804",0,"13,964","1,610"
Grand Total,,"38,026","50,663","2,938","70,441","5,199"
,,,,,,
,,,,,,
,,,,,,
,,,,,,
ALL Animals,,,,,,
,,,,,,
Departure Country,Departure AHDO,SECTION 1,SECTION 2,SECTION 3,SECTION 4,SECTION 5
ENGLAND, BURY ST EDMUNDS AHDO ,42,17,534,88,0
, CARLISLE AHDO ,956,"1,590",397,"1,184",165
, CHELMSFORD AHDO ,0,0,2,0,0
, EXETER AHDO ,"5,688","4,743",0,"9,933",636
, GLOUCESTER AHDO ,"4,070","4,737",0,"7,025",586
, LEEDS AHDO ,0,0,574,0,0
, LEICESTER AHDO ,"1,813","1,607",270,"4,660",203
, LINCOLN AHDO ,24,10,700,149,0
, NEWCASTLE AHDO ,273,525,875,71,19
, PRESTON AHDO ,1,0,453,148,0
, READING AHDO ,"1,611",790,451,"2,833",142
, REIGATE AHDO ,196,168,406,460,28
, STAFFORD AHDO ,"5,276","6,364",48,"10,368","1,137"
, TAUNTON AHDO ,"5,717","6,792",0,"5,795",686
, TRURO AHDO ,"2,373","3,278",0,"5,598",378
, WORCESTER AHDO ,"3,827","6,102",0,"12,869",526
Sub-Total,,"31,867","36,723","4,710","61,181","4,506"
SCOTLAND, AYR AHDO ,0,0,"1,263",0,0
, GALASHIELS AHDO ,0,0,730,0,0
, INVERNESS AHDO ,0,0,75,0,0
, INVERURIE AHDO ,0,0,"1,678",0,0
, PERTH AHDO ,0,0,881,0,0
Sub-Total,,0,0,"4,627",0,0
WALES, CAERNARFON AHDO ,"4,369","6,747",0,"5,326",979
, CARDIFF AHDO ,"2,803","3,475",0,"2,961",350
, CARMARTHEN AHDO ,"6,063","6,224",0,"6,321",667
Sub-Total,,"13,235","16,446",0,"14,608","1,996"
Grand Total,,"45,102","53,169","9,337","75,789","6,502"
