"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Department for Transport","British Transport Police Authority","Executive Team","BTPA01","B001","29152","34734","Executive Team Post","1.00","Policy"
"Department for Transport","British Transport Police Authority","Executive Team","BTPA01","B001","29152","34734","Executive Team Post","1.00","Policy"
"Department for Transport","British Transport Police Authority","Executive Team","BTPA01","B002","31982","38107","Executive Team Post","1.00","Policy"
"Department for Transport","British Transport Police Authority","Executive Team","BTPA01","B003","37212","44338","Executive Team Post","1.00","Policy"
"Department for Transport","British Transport Police Authority","Executive Team","BTPA01","B003","37212","44338","Executive Team Post","1.00","Communications"
"Department for Transport","British Transport Police Authority","Executive Team","BTPA01","B003","37212","44338","Executive Team Post","1.00","Policy"
"Department for Transport","British Transport Police Authority","Executive Team","BTPA01","B003","37212","44338","Executive Team Post","1.00","Policy"
"Department for Transport","British Transport Police Authority","Executive Team","BTPA02","B004","41106","48978","Executive Team Post","1.00","Finance"
"Department for Transport","British Transport Police Authority","Executive Team","BTPA02","B004","41106","48978","Executive Team Post","1.00","Finance"
"Department for Transport","British Transport Police Authority","Executive Team","BTPA02","C001","47233","56278","Executive Team Post","0.80","Finance"
"Department for Transport","British Transport Police Authority","Executive Team","BTPA01","C001","47233","56278","Executive Team Post","0.80","Policy"
"Department for Transport","British Transport Police Authority","Executive Team","BTPA01","C002","56101","66844","Executive Team Post","1.00","Policy"
"Department for Transport","British Transport Police Authority","Executive Team","BTPA01","C003","65051","77508","Executive Team Post","1.00","Programme and Project Management (PPM)"
