Postal District,Licensed Taxi Vehicles
BT1,11
BT10,81
BT11,403
BT12,312
BT13,238
BT14,306
BT15,159
BT16,103
BT17,395
BT18,32
BT19,136
BT2,*
BT20,74
BT21,20
BT22,68
BT23,176
BT24,40
BT25,20
BT26,8
BT27,64
BT28,170
BT29,103
BT3,*
BT30,81
BT31,46
BT32,71
BT33,31
BT34,179
BT35,178
BT36,313
BT37,151
BT38,157
BT39,54
BT4,100
BT40,54
BT41,157
BT42,72
BT43,68
BT44,21
BT45,85
BT46,17
BT47,385
BT48,784
BT49,63
BT5,675
BT51,54
BT52,59
BT53,71
BT54,22
BT55,12
BT56,20
BT57,10
BT6,119
BT60,85
BT61,42
BT62,90
BT63,23
BT64,*
BT65,44
BT66,96
BT67,52
BT69,5
BT7,60
BT70,52
BT71,101
BT74,76
BT76,*
BT77,*
BT78,80
BT79,75
BT8,114
BT80,48
BT81,29
BT82,134
BT9,475
BT92,22
BT93,15
BT94,31
Total,8791
