Department,Organisation,Check Date,Expense type,Supplier,Invoice number,Invoice Amount,Postcode,
DFI,Department for Infrastructure,06/07/2022,P - Diversion of Utilities,NORTHERN IRELAND WATER,1501-RS,"£25,242,926.00",BT2 8GB,
DFI,Department for Infrastructure,27/07/2022,Subsidies to Public Corporations (Current),TRANSLINK*GRANTEE,ERS-DFI-EF00573784-ERS-385,"£4,950,000.00",BT2 7LX,
DFI,Department for Infrastructure,26/07/2022,Cost Pass-Through Control,SACYR WILLS SOMAGUE JV,ERS-DFI-EF00442752-ERS-55,"£4,941,600.00",IE,
DFI,Department for Infrastructure,18/07/2022,Grants to Public Corporations(PCs) (Capital),TRANSLINK*GRANTEE,ERS-DFI-EF00573780-ERS-159,"£3,941,574.00",BT2 7LX,
DFI,Department for Infrastructure,18/07/2022,Grants to Public Corporations(PCs) (Capital),TRANSLINK*GRANTEE,ERS-DFI-EF00573782-ERS-353,"£2,739,053.00",BT2 7LX,
DFI,Department for Infrastructure,29/07/2022,Cost Pass-Through Control,SACYR WILLS SOMAGUE JV,ERS-DFI-EF00442752-ERS-57,"£2,062,556.48",IE,
DFI,Department for Infrastructure,27/07/2022,P - Contract Roads,HIGHWAY MANAGEMENT (CITY) LIMITED,HMG196A,"£2,041,971.50",SL6 1HN,
DFI,Department for Infrastructure,25/07/2022,Grants to Public Corporations(PCs) (Capital),TRANSLINK*GRANTEE,ERS-DFI-EF00573782-ERS-358,"£1,955,850.00",BT2 7LX,
DFI,Department for Infrastructure,25/07/2022,Grants to Public Corporations(PCs) (Capital),TRANSLINK*GRANTEE,ERS-DFI-EF00573782-ERS-359,"£1,811,564.00",BT2 7LX,
DFI,Department for Infrastructure,28/07/2022,Subsidies to Public Corporations (Current),TRANSLINK*GRANTEE,ERS-DFI-EF00573782-ERS-367,"£1,709,671.23",BT2 7LX,
DFI,Department for Infrastructure,26/07/2022,Subsidies to Public Corporations (Current),TRANSLINK*GRANTEE,ERS-DFI-EF00573782-ERS-361,"£1,709,671.23",BT2 7LX,
DFI,Department for Infrastructure,27/07/2022,Subsidies to Public Corporations (Current),TRANSLINK*GRANTEE,ERS-DFI-EF00573784-ERS-384,"£1,698,144.23",BT2 7LX,
DFI,Department for Infrastructure,27/07/2022,Subsidies to Public Corporations (Current),TRANSLINK*GRANTEE,ERS-DFI-EF00573782-ERS-365,"£1,654,520.55",BT2 7LX,
DFI,Department for Infrastructure,06/07/2022,Subsidies to Public Corporations (Current),TRANSLINK*GRANTEE,ERS-DFI-EF00573782-ERS-351,"£1,654,520.55",BT2 7LX,
DFI,Department for Infrastructure,05/07/2022,Grants to Public Corporations(PCs) (Capital),TRANSLINK*GRANTEE,ERS-DFI-EF00573765-ERS-537,"£1,625,452.00",BT3 9BG,
DFI,Department for Infrastructure,06/07/2022,Subsidies to Public Corporations (Current),TRANSLINK*GRANTEE,ERS-DFI-EF00573784-ERS-374,"£1,358,515.39",BT2 7LX,
DFI,Department for Infrastructure,27/07/2022,Subsidies to Public Corporations (Current),TRANSLINK*GRANTEE,ERS-DFI-EF00573784-ERS-383,"£1,358,515.39",BT2 7LX,
DFI,Department for Infrastructure,28/07/2022,Subsidies to Public Corporations (Current),TRANSLINK*GRANTEE,ERS-DFI-EF00573784-ERS-388,"£1,358,515.39",BT2 7LX,
DFI,Department for Infrastructure,28/07/2022,Subsidies to Public Corporations (Current),TRANSLINK*GRANTEE,ERS-DFI-EF00573782-ERS-366,"£1,231,660.84",BT2 7LX,
DFI,Department for Infrastructure,29/07/2022,Cost Pass-Through Control,POWER NI,7980450,"£1,187,239.49",BT9 5NF,
DFI,Department for Infrastructure,19/07/2022,C - Contract Other Services,FP MCCANN LTD,49663,"£1,183,837.92",BT45 8QA,
DFI,Department for Infrastructure,19/07/2022,Grants to Public Corporations(PCs) (Capital),TRANSLINK*GRANTEE,ERS-DFI-EF00573765-ERS-538,"£1,150,996.00",BT3 9BG,
DFI,Department for Infrastructure,06/07/2022,Cost Pass-Through Control,JOHN MCQUILLAN CONTRACTS LTD,SI4205,"£1,123,616.77",BT28 2SA,
DFI,Department for Infrastructure,28/07/2022,Subsidies to Public Corporations (Current),TRANSLINK*GRANTEE,ERS-DFI-EF00573784-ERS-386,"£1,102,932.73",BT2 7LX,
DFI,Department for Infrastructure,05/07/2022,Subsidies to Public Corporations (Current),TRANSLINK*GRANTEE,ERS-DFI-EF00573782-ERS-350,"£1,000,000.00",BT2 7LX,
DFI,Department for Infrastructure,15/07/2022,Grants to Public Corporations(PCs) (Capital),TRANSLINK*GRANTEE,ERS-DFI-EF00573780-ERS-158,"£995,060.00",BT2 7LX,
DFI,Department for Infrastructure,27/07/2022,Subsidies to Public Corporations (Current),TRANSLINK*GRANTEE,ERS-DFI-EF00573784-ERS-382,"£950,268.84",BT2 7LX,
DFI,Department for Infrastructure,27/07/2022,Subsidies to Public Corporations (Current),TRANSLINK*GRANTEE,ERS-DFI-EF00573782-ERS-364,"£914,061.36",BT2 7LX,
DFI,Department for Infrastructure,05/07/2022,Subsidies to Public Corporations (Current),TRANSLINK*GRANTEE,ERS-DFI-EF00573782-ERS-349,"£899,721.82",BT2 7LX,
DFI,Department for Infrastructure,26/07/2022,Grants to Public Corporations(PCs) (Capital),TRANSLINK*GRANTEE,ERS-DFI-EF00573765-ERS-547,"£869,377.00",BT3 9BG,
DFI,Department for Infrastructure,06/07/2022,Subsidies to Public Corporations (Current),TRANSLINK*GRANTEE,ERS-DFI-EF00573784-ERS-373,"£852,642.05",BT2 7LX,
DFI,Department for Infrastructure,21/07/2022,Cost Pass-Through Control,JOHN MCQUILLAN CONTRACTS LTD,SI4217,"£785,437.92",BT28 2SA,
DFI,Department for Infrastructure,19/07/2022,P - Contract Roads,NSL,00021192,"£768,679.26",OL1 1NZ,
DFI,Department for Infrastructure,22/07/2022,C - Contract Other Services,WHITEMOUNTAIN QUARRIES LTD,I022111,"£719,861.62",BT28 3RD,
DFI,Department for Infrastructure,27/07/2022,Subsidies to Public Corporations (Current),TRANSLINK*GRANTEE,ERS-DFI-EF00573780-ERS-162,"£714,332.58",BT2 7LX,
DFI,Department for Infrastructure,22/07/2022,Grants to Public Corporations(PCs) (Capital),TRANSLINK*GRANTEE,ERS-DFI-EF00573782-ERS-356,"£682,869.00",BT2 7LX,
DFI,Department for Infrastructure,29/07/2022,"Grants to ALBs, other bodies & organisations within CGA (Capital)",WATERWAYS IRELAND*GRANTEE,ERS-DFI-INT413964-ERS-106,"£593,771.00",BT74 7JY,
DFI,DVA,22/07/2022,Fixed Asset Clearing Account,OHMG (HOLDINGS) LIMITED,ERS-DFI-EF00685548-ERS-27,"£591,693.50",BT35 6EE,
DFI,Department for Infrastructure,05/07/2022,Subsidies to Public Corporations (Current),TRANSLINK*GRANTEE,ERS-DFI-EF00573780-ERS-155,"£565,692.17",BT2 7LX,
DFI,Department for Infrastructure,28/07/2022,Subsidies to Public Corporations (Current),TRANSLINK*GRANTEE,ERS-DFI-EF00573780-ERS-164,"£565,692.17",BT2 7LX,
DFI,Department for Infrastructure,15/07/2022,Subsidies to the Private sector (Current),DISABILITY ACTION*GRANTEE,ERS-DFI-EF00577645-ERS-22,"£531,485.50",BT3 9ED,
DFI,Department for Infrastructure,21/07/2022,Cost Pass-Through Control,AMEY OW LTD,90871616,"£487,375.00",OX4 4DQ,
DFI,DVA,05/07/2022,Fixed Asset Clearing Account,OHMG (HOLDINGS) LIMITED,ERS-DFI-EF00685548-ERS-26,"£478,263.07",BT35 6EE,
DFI,Department for Infrastructure,15/07/2022,Cost Pass-Through Control,KEENAN P (CONTRACTOR),0069-ARN-2016,"£467,320.70",BT45 8QE,
DFI,Department for Infrastructure,11/07/2022,Cost Pass-Through Control,KEENAN P (CONTRACTOR),011-SDN2-2019,"£463,531.12",BT45 8QE,
DFI,Department for Infrastructure,26/07/2022,Grants to Public Corporations(PCs) (Capital),TRANSLINK*GRANTEE,ERS-DFI-EF00573784-ERS-381,"£424,867.00",BT2 7LX,
DFI,Department for Infrastructure,15/07/2022,Fixed Asset Clearing Account,BURKES OF CORNASCRIEBE,148614,"£407,145.60",BT62 3SL,
DFI,Department for Infrastructure,07/07/2022,Cost Pass-Through Control,DEPARTMENT OF FINANCE,10064221,"£401,288.09",BT1 4NN,
DFI,Department for Infrastructure,22/07/2022,Grants to Public Corporations(PCs) (Capital),TRANSLINK*GRANTEE,ERS-DFI-EF00573782-ERS-357,"£400,720.00",BT2 7LX,
DFI,Department for Infrastructure,26/07/2022,Grants to Public Corporations(PCs) (Capital),TRANSLINK*GRANTEE,ERS-DFI-EF00573780-ERS-161,"£371,565.00",BT2 7LX,
DFI,Department for Infrastructure,15/07/2022,C - Contract Other Services,KEENAN P (CONTRACTOR),0069-ARN-2016,"£358,638.38",BT45 8QE,
DFI,Department for Infrastructure,29/07/2022,Grant in aid to NDPB's,WATERWAYS IRELAND*GRANTEE,ERS-DFI-INT413964-ERS-107,"£331,000.00",BT74 7JY,
DFI,Department for Infrastructure,29/07/2022,Cost Pass-Through Control,SACYR WILLS SOMAGUE JV,ERS-DFI-EF00442752-ERS-56,"£329,694.60",IE,
DFI,Department for Infrastructure,21/07/2022,Fixed Asset Clearing Account,MSM CONTRACTS LTD,732280/11,"£314,074.50",BT63 5QE,
DFI,Department for Infrastructure,29/07/2022,C - Managed Services,WSP GROUP,64577611,"£311,478.96",RG21 4HJ,
DFI,Department for Infrastructure,22/07/2022,C - Managed Services,AECOM LIMITED,28498803,"£304,129.67",RG21 7PP,
DFI,Department for Infrastructure,14/07/2022,Cost Pass-Through Control,FP MCCANN LTD,49593,"£298,533.04",BT45 8QA,
DFI,Department for Infrastructure,15/07/2022,Grants to Public Corporations(PCs) (Capital),TRANSLINK*GRANTEE,ERS-DFI-EF00573782-ERS-352,"£297,153.00",BT2 7LX,
DFI,Department for Infrastructure,28/07/2022,Subsidies to Public Corporations (Current),TRANSLINK*GRANTEE,ERS-DFI-EF00573780-ERS-165,"£248,142.92",BT2 7LX,
