PracNo,PracticeName,Address1,Address2,Address3,Postcode,LCG,Registered Patients
1,Dr. IRWIN                           ,HOLYWOOD ARCHES HEALTH CENTRE,WESTMINSTER AVENUE,BELFAST,BT4 1NS,Belfast,1349
3,Dr. MCCUTCHEON & PARTNERS           ,HOLYWOOD ARCHES HEALTH CENTRE,WESTMINSTER AVE,BELFAST,BT4 1NS,Belfast,7165
5,Dr. MCBRIEN                         ,CASTLE MEDICAL CENTRE,35-45 CASTLEREAGH ROAD,BELFAST,BT5 5FB,Belfast,1487
6,Dr. SHARKEY & PARTNERS              ,CARRYDUFF SURGERY,HILLSBOROUGH ROAD,CARRYDUFF  BELFAST,BT8 8HR,Belfast,10852
10,Dr. WILSON                          ,TEMPLEMORE MEDICAL CENTRE,225 ALBERTBRIDGE ROAD,BELFAST,BT5 4PX,Belfast,2550
13,Dr. COOGAN                          ,TEMPLEMORE MEDICAL CENTRE,225 ALBERTBRIDGE ROAD,BELFAST,BT5 4PX,Belfast,3324
14,Dr. COULTER & PARTNERS              ,KERRSLAND SURGERY,169 UPPER NEWTOWNARDS ROAD,BELFAST,BT4 3HZ,Belfast,7917
15,Dr. MCGARRITY & PARTNERS            ,54 HOLYWOOD ROAD,BELFAST,NULL,BT4 1NT,Belfast,5503
16,Dr. ROSS & PARTNERS                 ,KNOCK MEDICAL CENTRE,423B UPPER NEWTOWNARDS ROAD,BELFAST,BT4 3LH,Belfast,5713
17,Dr. SCOTT & PARTNERS                ,HOLYWOOD ARCHES HEALTH CENTRE,WESTMINSTER AVENUE,BELFAST,BT4 1NS,Belfast,5487
18,Dr. JONES & PARTNERS                ,BRIDGES FAMILY PRACTICE,2-6 BRYSON STREET,BELFAST,BT5 4ES,Belfast,6692
19,Dr. MITCHELL & PARTNERS             ,LINEN COURT SURGERY,336 BEERSBRIDGE ROAD,BELFAST,BT5 5DY,Belfast,3587
20,Dr. KYLE & PARTNERS                 ,LEWIS SQUARE PRACTICE,HOLYWOOD ARCHES HEALTH CENTRE,"WESTMINSTER AVENUE, BELFAST",BT4 1NS,Belfast,3063
23,Dr. HOEY & PARTNERS                 ,HARLAND MEDICAL PRACTICE,WESTMINSTER AVENUE,BELFAST,BT4 1NS,Belfast,5500
24,Dr. MCKEE                           ,THE MOUNT PRACTICE,50 CASTLEREAGH STREET,BELFAST,BT5 4NH,Belfast,3007
28,Dr. GALLAGHER & PARTNER             ,THE VICTORIA PRACTICE,HOLYWOOD ARCHES HEALTH CENTRE,"WESTMINSTER AVENUE, BELFAST",BT4 1NS,Belfast,3303
29,Dr. SAVAGE & PARTNERS               ,CASTLEREAGH MEDICAL CENTRE,21 BALLYGOWAN  ROAD,BELFAST,BT5 7LH,Belfast,4948
30,Dr. STEVENS & PARTNERS              ,EASTSIDE SURGERY,56 TEMPLEMORE AVENUE,BELFAST,BT5 4FT,Belfast,2899
31,Dr. HASLAM & PARTNERS               ,DUNDONALD MEDICAL CENTRE,16 CHURCH ROAD,"DUNDONALD, BELFAST",BT16 2LN,Belfast,7183
32,Dr. WILSON & PARTNERS               ,WILLOWFIELD SURGERY,50/52 CASTLEREAGH ROAD,BELFAST,BT5 5FP,Belfast,3846
33,Dr. RODGERS & PARTNERS              ,222 WOODSTOCK ROAD,BELFAST,NULL,BT6 9DL,Belfast,4536
36,Dr. IN CHARGE                       ,LEWIS SQUARE PRACTICE,HOLYWOOD ARCHES HEALTH CENTRE,"WESTMINSTER AVENUE, BELFAST",BT4 1NS,Belfast,1205
37,Dr. MONCRIEFF & PARTNERS            ,CHERRYVALLEY HEALTH CENTRE,KINGS SQUARE,BELFAST,BT5 7BP,Belfast,6665
38,Dr. MORRISON & PARTNER              ,CHERRYVALLEY HEALTH CENTRE,KINGS SQUARE,BELFAST,BT5 7BP,Belfast,2010
51,Dr. ROSS & PARTNERS                 ,CORNERSTONE MEDICAL CENTRE,69 SHANKILL ROAD,BELFAST,BT13 1FD,Belfast,2453
52,Dr. SAVAGE & PARTNERS               ,16 MCCANDLESS STREET,CRUMLIN ROAD,BELFAST,BT13 1RU,Belfast,2847
53,Dr. COLGAN                          ,463 FALLS ROAD,BELFAST,NULL,BT12 6DD,Belfast,3125
55,Dr. O'KANE                          ,THE HEALTH CENTRE,94-100 CRUMLIN ROAD,BELFAST,BT14 6AR,Belfast,1208
57,Dr. CAMPBELL & PARTNER              ,THE CARRICKHILL MEDICAL CENTRE,1 CARRICK HILL,BELFAST,BT1 2JR,Belfast,4999
58,Dr. FARNAN & PARTNERS               ,THE GROUP SURGERY,257 NORTH QUEEN STREET,BELFAST,BT15 1HS,Belfast,5832
60,Dr. BURNS & PARTNERS                ,165 DUNCAIRN GARDENS,BELFAST,CO ANTRIM,BT15 2GE,Belfast,2860
61,Dr. CROSSIN & PARTNERS              ,THE CARRICK HILL MEDICAL CENTRE,1 CARRICK HILL,BELFAST,BT1 2JR,Belfast,9868
62,Dr. GARDINER                        ,GARDINER FAMILY PRACTICE,CRUMLIN ROAD HEALTH CENTRE,"100 CRUMLIN ROAD, BELFAST",BT14 6AR,Belfast,1322
63,Dr. O'DONNELL & PARTNER             ,WILLOW MEDICAL PRACTICE,155 ANDERSONSTOWN ROAD,BELFAST,BT11 9EA,Belfast,2963
64,Dr. DONAGHY & PARTNERS              ,DUNVILLE HEALTH CENTRE,309 GROSVENOR ROAD,BELFAST,BT12 4LP,Belfast,4257
66,Dr. MCAUGHEY & PARTNERS             ,"GROVE WELLBEING CENTRE, PARKSIDE SURGERY",120 YORK ROAD,BELFAST,BT15 3HF,Belfast,6895
68,Dr. CRAWFORD & PARTNERS             ,136/138 SHANKILL ROAD,BELFAST,NULL,BT13 2BD,Belfast,2596
69,Dr. TAN & PARTNER                   ,FLAX CENTRE,ARDOYNE AVENUE,BELFAST,BT14 7DA,Belfast,3075
70,Dr. SMYTH & PARTNERS                ,BALLYSILLAN GROUP PRACTICE,156-158 BALLYSILLAN ROAD,BELFAST,BT14 7QR,Belfast,5531
71,Dr. LEAVY & PARTNERS                ,463 SPRINGFIELD ROAD,BELFAST,NULL,BT12 7DP,Belfast,6350
72,Dr. AGAHI                           ,MOUNTAINVIEW SURGERY,585 CRUMLIN ROAD,BELFAST,BT14 7GB,Belfast,1857
73,Dr. CLULOW & PARTNER                ,CRUMLIN ROAD FAMILY PRACTICE,CRUMLIN ROAD HEALTH CENTRE,"94-100 CRUMLIN ROAD, BELFAST",BT14 6AR,Belfast,2278
74,Dr. SIMPSON & PARTNERS              ,DR SIMPSON & DR BEATTIE,NORTHGATE FAMILY PRACTICE,"36 DUNCAIRN GARDENS, BELFAST",BT15 2GH,Belfast,2836
75,Dr. MCCLOSKEY & PARTNERS            ,GROSVENOR ROAD SURGERY,216 GROSVENOR ROAD,BELFAST,BT12 5LT,Belfast,10165
79,Dr. O'NEILL & PARTNERS              ,70 SPRINGFIELD ROAD,BELFAST,CO ANTRIM,BT12 7AH,Belfast,9044
80,Dr. CONWAY & PARTNERS               ,460 OLDPARK ROAD,BELFAST,NULL,BT14 6QG,Belfast,4721
81,Dr. MCHUGH & PARTNERS               ,46 SPRINGFIELD ROAD,BELFAST,NULL,BT12 7AH,Belfast,7757
83,Dr. CARROLL & PARTNERS              ,"GROVE WELLBEING CENTRE, GROVE MEDICAL PRACTICE",120 YORK ROAD,BELFAST,BT15 3HF,Belfast,6283
84,Dr. SALTERS & PARTNERS              ,186 FALLS ROAD,BELFAST,NULL,BT12 6AG,Belfast,3685
85,Dr. MACSORLEY & PARTNERS            ,515 ANTRIM ROAD,BELFAST,NULL,BT15 3BS,Belfast,5460
86,Dr. LOUGHREY & PARTNERS             ,SALISBURY MEDICAL CENTRE,474 ANTRIM ROAD,BELFAST,BT15 5GF,Belfast,10550
92,Dr. MCFERRAN & PARTNERS             ,BALLYOWEN HEALTH CENTRE,179 ANDERSONSTOWN ROAD,BELFAST,BT11 9EA,Belfast,4999
93,Dr. MAHOOD & PARTNERS               ,61 CLIFTONVILLE ROAD,BELFAST,NULL,BT14 6JN,Belfast,5755
94,Dr. CUMMINGS & PARTNERS             ,115 FALLS ROAD,BELFAST,NULL,BT12 6AA,Belfast,7083
95,Dr. WYLIE                           ,BALLYOWEN HEALTH CENTRE,179 ANDERSONSTOWN ROAD,BELFAST,BT11 9EA,Belfast,2673
96,Dr. MCCLEAN & PARTNERS              ,MALVERN FAMILY PRACTICE,69 SHANKILL ROAD,BELFAST,BT13 1FD,Belfast,5535
98,Dr. GILMORE & PARTNER               ,THE LIGONIEL HEALTH CENTRE,74A LIGONIEL ROAD,BELFAST,BT14 8BY,Belfast,3735
101,Dr. KELLY & PARTNERS                ,132-136 SANDY ROW,BELFAST,CO ANTRIM,BT12 5EY,Belfast,4709
103,Dr. NEESON & PARTNERS               ,15/17 CLIFTON STREET,BELFAST,NULL,BT13 1AD,Belfast,9149
104,Dr. WRIGHT & PARTNERS               ,17 BALLYGOMARTIN ROAD,BELFAST,NULL,BT13 3BW,Belfast,8030
105,Dr. DOGGART & PARTNER               ,OLD CHURCH PRACTICE,"2ND FLOOR, CORNERSTONE MEDICAL CENTRE","69 SHANKILL ROAD, BELFAST",BT13 1FD,Belfast,2525
111,Dr. MCKENNA & PARTNER               ,2 THAMES STREET,BELFAST,CO ANTRIM,BT12 6AP,Belfast,2758
