REGISTER OF MINISTERS' MEETINGS WITH EXTERNAL ORGANISATIONS / INDIVIDUALS ,,,,
,,,,
,,,,Period: 1 July to 30 September 2023
Name,Dept,Date,Name of Organisation or individual,Purpose of meeting
Minister ,DAERA ,No Minister in post during this period,,
,,,,
Minister ,DE,No Minister in post during this period,,
,,,,
Minister ,DfC,No Minister in post during this period,,
,,,,
Minister ,DfE,No Minister in post during this period,,
,,,,
Minister ,DfI,No Minister in post during this period,,
,,,,
Minister ,DoF,No Minister in post during this period,,
,,,,
Minister ,DoH,No Minister in post during this period,,
,,,,
Minister ,DoJ,No Minister in post during this period,,
,,,,
First Minister ,TEO ,No First Minister in post during this period,,
,,,,
Deputy First Minister ,TEO ,No Deputy First Minister in post during this period,,
,,,,
