ADDRESS1,ADDRESS2,ADDRESS3,ADDRESS4,POSTCODE,TELEPHONE_NO,DENTISTTYPE,LCG,LGD
32 RAINEY STREET,NULL,MAGHERAFELT,NULL,BT45 5AQ,2879633435,GDS,NORTHERN,MAGHERAFELT
41/43 HOLYWOOD ROAD,NULL,BELFAST,NULL,BT4 3BA,2890471266,GDS,BELFAST,BELFAST
105 MONKSTOWN ROAD,MONKSTOWN,NEWTOWNABBEY,NULL,BT37 0LG,2890863498,GDS,NORTHERN,NEWTOWNABBEY
21 PORTRUSH ROAD,NULL,BALLYMONEY,NULL,BT53 6BX,2827662145,GDS,NORTHERN,BALLYMONEY
138 DOAGH ROAD,NULL,NEWTOWNABBEY,NULL,BT37 9QR,2890862726,GDS,NORTHERN,NEWTOWNABBEY
39 BACHELOR'S WALK,NULL,LISBURN,NULL,BT28 1XN,2892663022,GDS,SOUTH EASTERN,LISBURN
18A JOHN WESLEY STREET,NULL,STRABANE,NULL,BT82 8EF,2871880318,GDS,WESTERN,STRABANE
462 OLDPARK ROAD,NULL,BELFAST,NULL,BT14 6QG,2890743800,GDS,BELFAST,BELFAST
5 PUMP STREET,LONDONDERRY,NULL,NULL,BT48 6JG,2871308762,GDS,WESTERN,DERRY
28 DUNGANNON STREET,MOY,DUNGANNON,NULL,BT71 7SH,2887784977,GDS,SOUTHERN,DUNGANNON
94 CASTLEREAGH STREET,NULL,BELFAST,NULL,BT5 4NJ,2890451989,GDS,BELFAST,BELFAST
211 ALBERTBRIDGE ROAD,BELFAST,NULL,NULL,BT5 4PU,2896919777,GDS,BELFAST,BELFAST
77 MAIN STREET,NULL,MOIRA,NULL,BT67 0LH,2892612836,GDS,SOUTH EASTERN,LISBURN
BISHOP ST DENTAL CARE,BISHOP STREET,LONDONDERRY,NULL,BT48 6PR,2871262402,GDS,WESTERN,DERRY
THE VILLAGE DENTAL PRACTICE,33 DOWNPATRICK STREET,CROSSGAR,NULL,BT30 9EA,2844830111,GDS,SOUTH EASTERN,DOWN
11 UNIVERSITY STREET,BELFAST,NULL,NULL,BT7 1FY,2890323321,GDS,BELFAST,BELFAST
22 DOAGH ROAD,NULL,BALLYCLARE,NULL,BT39 9BG,2893341437,GDS,NORTHERN,NEWTOWNABBEY
32 SHORE ROAD,NULL,HOLYWOOD,NULL,BT18 9HX,2890427325,GDS,SOUTH EASTERN,NORTH DOWN
10 LOWER CRESCENT,NULL,BELFAST,NULL,BT7 1NR,2890246311,GDS,BELFAST,BELFAST
73/75 BROUGHSHANE STREET,NULL,BALLYMENA,NULL,BT43 6EB,2825653800,GDS,NORTHERN,BALLYMENA
CHURCH ROAD DENTAL CARE,29 CHURCH ROAD,CARRYDUFF,NULL,BT8 8DT,2890817848,GDS,BELFAST,CASTLEREAGH
1 TEMPLEWELL,NULL,TEMPLEPATRICK,NULL,BT39 0AB,2894433888,GDS,NORTHERN,ANTRIM
46 CLIFTONVILLE ROAD,NULL,BELFAST,NULL,BT14 6JY,2890351372,GDS,BELFAST,BELFAST
116 UPPER LISBURN ROAD,NULL,BELFAST,NULL,BT10 0BD,2890611880,GDS,BELFAST,BELFAST
14 RAILWAY STREET,NULL,LISBURN,NULL,BT28 1XG,2892663185,GDS,SOUTH EASTERN,LISBURN
62 CATHERINE STREET,NULL,LIMAVADY,NULL,BT49 9DB,2877722464,GDS,WESTERN,LIMAVADY
MALONE DENTAL,54 MALONE ROAD,BELFAST,NULL,BT9 5BS,2890661511,GDS,BELFAST,BELFAST
32 ABBEY STREET,NULL,BANGOR,NULL,BT20 4JA,2891270041,GDS,SOUTH EASTERN,NORTH DOWN
15 IRISH STREET,NULL,DOWNPATRICK,NULL,BT30 6BW,2844612249,GDS,SOUTH EASTERN,DOWN
5 CASTLE PLACE,NULL,STRABANE,NULL,BT82 8AW,2871382875,GDS,WESTERN,STRABANE
231 SHANKILL ROAD,NULL,BELFAST,NULL,BT13 1FQ,2890323526,GDS,BELFAST,BELFAST
OFFICE 5/LEGAHORY CENTRE,BROWNLOW,CRAIGAVON,NULL,BT65 5BE,2838322080,GDS,SOUTHERN,CRAIGAVON
13-15 DUKE STREET,NULL,BALLYMENA,NULL,BT43 6BL,2825639333,GDS,NORTHERN,BALLYMENA
"1ST FLOOR, 40 BALLYRONAN ROAD",NULL,MAGHERAFELT,NULL,BT45 6EN,2879300700,GDS,NORTHERN,MAGHERAFELT
20 CHURCH PLACE,NULL,LURGAN,NULL,BT66 6EY,2838323113,GDS,SOUTHERN,CRAIGAVON
535A FALLS ROAD,NULL,BELFAST,NULL,BT11 9AA,2890629296,GDS,BELFAST,BELFAST
8 FINAGHY ROAD SOUTH,NULL,BELFAST,NULL,BT10 0DR,2890613558,GDS,BELFAST,BELFAST
8 HOLMVIEW TERRACE,CAMPSIE,OMAGH,NULL,BT79 0AH,2882246466,GDS,WESTERN,OMAGH
UNIT 2,3A KILLYCOLP ROAD,COOKSTOWN,NULL,BT80 9AD,2886761108,GDS,NORTHERN,COOKSTOWN
50 STATION ROAD,NULL,GREENISLAND,NULL,BT38 8TP,2890860565,GDS,NORTHERN,CARRICKFERGUS
29 CHURCH STREET,NULL,TANDRAGEE,NULL,BT62 2AF,2838841778,GDS,SOUTHERN,ARMAGH
416 UPPER NEWTOWNARDS RD,NULL,BELFAST,NULL,BT4 3EZ,2890657646,GDS,BELFAST,BELFAST
5 HIGHTOWN ROAD,NULL,GLENGORMLEY,NULL,BT36 7TZ,2890833650,GDS,NORTHERN,NEWTOWNABBEY
279 GROSVENOR ROAD,NULL,BELFAST,NULL,BT12 4LL,2890438395,GDS,BELFAST,BELFAST
65 CREGAGH ROAD,NULL,BELFAST,NULL,BT6 8PX,2890451966,GDS,BELFAST,BELFAST
