pc_district,count
BT1 ,4
BT10,87
BT11,419
BT12,337
BT13,236
BT14,365
BT15,218
BT16,88
BT17,429
BT18,36
BT19,137
BT2 ,5
BT20,67
BT21,21
BT22,67
BT23,167
BT24,49
BT25,39
BT26,13
BT27,68
BT28,179
BT29,103
BT3 ,1
BT30,63
BT31,40
BT32,61
BT33,36
BT34,178
BT35,138
BT36,317
BT37,156
BT38,177
BT39,64
BT4 ,86
BT40,60
BT41,159
BT42,85
BT43,45
BT44,33
BT45,61
BT46,16
BT47,306
BT48,612
BT49,57
BT5 ,196
BT51,57
BT52,61
BT53,55
BT54,19
BT55,15
BT56,22
BT57,9
BT6 ,105
BT60,77
BT61,40
BT62,93
BT63,42
BT64,6
BT65,44
BT66,88
BT67,72
BT69,5
BT7 ,70
BT70,57
BT71,101
BT73,1
BT74,60
BT75,3
BT76,2
BT77,2
BT78,70
BT79,79
BT8 ,106
BT80,57
BT81,31
BT82,129
BT9 ,61
BT92,23
BT93,29
BT94,30
