pc_district,count
 ,1
BT1,5
BT10,107
BT11,496
BT12,410
BT13,295
BT14,433
BT15,250
BT16,117
BT17,544
BT18,45
BT19,185
BT2,5
BT20,89
BT21,30
BT22,84
BT23,231
BT24,67
BT25,46
BT26,19
BT27,99
BT28,215
BT29,143
BT3,2
BT30,92
BT31,54
BT32,102
BT33,36
BT34,245
BT35,228
BT36,397
BT37,211
BT38,219
BT39,81
BT4,120
BT40,84
BT41,219
BT42,142
BT43,79
BT44,58
BT45,86
BT46,28
BT47,452
BT48,862
BT49,87
BT5,279
BT51,81
BT52,85
BT53,89
BT54,29
BT55,20
BT56,31
BT57,12
BT6,163
BT60,114
BT61,71
BT62,123
BT63,52
BT64,4
BT65,58
BT66,126
BT67,95
BT69,7
BT7,91
BT70,75
BT71,150
BT74,86
BT75,5
BT76,5
BT77,2
BT78,89
BT79,95
BT8,132
BT80,72
BT81,49
BT82,190
BT9,74
BT92,35
BT93,42
BT94,49
