Quarter_Year,Detached_Mean_Price,Detached_Median_Price,Detached_Standardised_Price,Semi_Detached_Mean_Price,Semi_Detached_Median_Price,Semi_Detached_Standardised_Price,Terrace_Mean_Price,Terrace_Median_Price,Terrace_Standardised_Price,Apartment_Mean_Price,Apartment_Median_Price,Apartment_Standardised_Price,All_Properties_Mean_Price,All_Properties_Median_Price,All_Properties_Standardised_Price
Q1 2005,166314.816091954,149972.5,160428.832662314,105818.169689119,100000,104056.728000157,85718.634458673,79000,82027.9011359906,106793.824324324,95000,100831.101947589,115912.942222222,100000,111920.268198692
Q2 2005,173370.669075891,155000,169686.542964985,112783.058606368,105500,109644.399560461,85116.306167401,80000,83234.7931713077,105409.46978022,94975,97750.1788100779,120481.29059068,105000,116004.031638551
Q3 2005,185397.896739131,165000,180696.666809837,118770.326996198,111500,115076.864577872,95451.2026304974,85500,89831.2570325656,108503.406181015,99680,102331.766146008,128866.225917274,115000,123386.352672977
Q4 2005,186545.119354839,165000,185323.883533408,120553.988149847,116500,119883.63313347,96872.3480481575,90000,93142.6609899686,110373.539215686,100000,105430.654964001,129649.092074157,117000,127674.143864714
Q1 2006,191328.398119122,173000,188669.36119702,124734.128404669,120000,123446.062257957,99636.1572676729,92500,96072.5397729138,114383.395299145,107500,111248.01686656,132972.115070012,120000,131302.064421842
Q2 2006,202775.619785459,185000,201644.135888346,137739.588498622,130000,135730.123263161,112266.854488189,105000,108074.036516333,121265.891246684,114900,117276.498011393,145268.84973262,130000,143918.236936306
Q3 2006,230350.077364994,200000,222694.906834886,152827.634155055,145000,150445.204936299,127093.037804878,120000,121920.757645074,136989.65729585,127329,133235.828275615,164078.100879517,145000,160529.45994992
Q4 2006,252445.623970345,230000,245251.627704911,170354.947123973,163500,168972.786160648,140207.441652224,133000,137729.24421324,154572.986842105,143000,152704.55145953,179133.78188168,160000,179841.18252036
Q1 2007,284098.16675379,249500,267678.075012714,186952.684162062,180000,186909.402389399,155113.723259153,150000,154281.200669311,163310.550167224,150000,168266.775677485,198065.010710938,175000,198950.442175284
Q2 2007,324630.358797437,280000,305404.079303878,208950.407984031,201000,206147.347723528,163840.277993431,158000,160899.307515326,186544.935007386,172500,180102.77041303,216949.50724299,193000,216751.029247115
Q3 2007,357388.386068477,315000,332718.29939469,215912.504581901,205000,209740.52614822,167368.321116929,162500,164250.919870961,181489.873706004,167500,179706.444113285,233896.534191473,200000,224669.977567311
