Date,District Council,Number of Non-Domestic Properties,Number of Vacant Non-Domestic Properties,Non-Domestic Vacancy Rate %
31st March 2023,Antrim and Newtownabbey,4490,593,13.2
31st March 2023,Ards and North Down,5032,646,12.8
31st March 2023,"Armagh City, Banbridge and Craigavon",7814,1113,14.2
31st March 2023,Belfast,17043,3515,20.6
31st March 2023,Causeway Coast and Glens,6094,861,14.1
31st March 2023,Derry City and Strabane,5658,857,15.1
31st March 2023,Fermanagh and Omagh,5940,1018,17.1
31st March 2023,Lisburn and Castlereagh,4448,492,11.1
31st March 2023,Mid and East Antrim,4927,747,15.2
31st March 2023,Mid Ulster,6557,1056,16.1
31st March 2023,"Newry, Mourne and Down",6893,1025,14.9
31st March 2023,Northern Ireland,74896,11923,15.9
30th June 2023,Antrim and Newtownabbey,4483,580,12.9
30th June 2023,Ards and North Down,5043,651,12.9
30th June 2023,"Armagh City, Banbridge and Craigavon",7832,1105,14.1
30th June 2023,Belfast,17049,3530,20.7
30th June 2023,Causeway Coast and Glens,6097,864,14.2
30th June 2023,Derry City and Strabane,5659,853,15.1
30th June 2023,Fermanagh and Omagh,5948,961,16.2
30th June 2023,Lisburn and Castlereagh,4447,500,11.2
30th June 2023,Mid and East Antrim,4939,755,15.3
30th June 2023,Mid Ulster,6540,1023,15.6
30th June 2023,"Newry, Mourne and Down",6902,1012,14.7
30th June 2023,Northern Ireland,74939,11834,15.8
30th September 2023,Antrim and Newtownabbey,4487,586,13.1
30th September 2023,Ards and North Down,5035,650,12.9
30th September 2023,"Armagh City, Banbridge and Craigavon",7860,1122,14.3
30th September 2023,Belfast,17061,3561,20.9
30th September 2023,Causeway Coast and Glens,6085,845,13.9
30th September 2023,Derry City and Strabane,5666,869,15.3
30th September 2023,Fermanagh and Omagh,5941,954,16.1
30th September 2023,Lisburn and Castlereagh,4454,508,11.4
30th September 2023,Mid and East Antrim,4935,743,15.1
30th September 2023,Mid Ulster,6546,965,14.7
30th September 2023,"Newry, Mourne and Down",6906,1022,14.8
30th September 2023,Northern Ireland,74976,11825,15.8
31st December 2023,Antrim and Newtownabbey,4489,577,12.9
31st December 2023,Ards and North Down,5042,663,13.1
31st December 2023,"Armagh City, Banbridge and Craigavon",7876,1120,14.2
31st December 2023,Belfast,17087,3569,20.9
31st December 2023,Causeway Coast and Glens,6090,848,13.9
31st December 2023,Derry City and Strabane,5675,873,15.4
31st December 2023,Fermanagh and Omagh,5950,957,16.1
31st December 2023,Lisburn and Castlereagh,4465,515,11.5
31st December 2023,Mid and East Antrim,4940,733,14.8
31st December 2023,Mid Ulster,6558,979,14.9
31st December 2023,"Newry, Mourne and Down",6915,1021,14.8
31st December 2023,Northern Ireland,75087,11855,15.8
31st March 2024,Antrim and Newtownabbey,4487,596,13.3
31st March 2024,Ards and North Down,5040,677,13.4
31st March 2024,"Armagh City, Banbridge and Craigavon",7879,1132,14.4
31st March 2024,Belfast,17066,3584,21
31st March 2024,Causeway Coast and Glens,6095,859,14.1
31st March 2024,Derry City and Strabane District Council,5681,876,15.4
31st March 2024,Fermanagh and Omagh,5967,949,15.9
31st March 2024,Lisburn and Castlereagh,4469,512,11.5
31st March 2024,Mid and East Antrim,4941,753,15.2
31st March 2024,Mid Ulster,6570,955,14.5
31st March 2024,"Newry, Mourne and Down",6926,1038,15
31st March 2024,Northern Ireland,75121,11931,15.9
30th June 2024,Antrim and Newtownabbey,4492,580,12.9
30th June 2024,Ards and North Down,5030,668,13.3
30th June 2024,"Armagh City, Banbridge and Craigavon",7877,1115,14.2
30th June 2024,Belfast,17102,3581,20.9
30th June 2024,Causeway Coast and Glens,6089,848,13.9
30th June 2024,Derry City and Strabane District Council,5693,868,15.2
30th June 2024,Fermanagh and Omagh,5996,955,15.9
30th June 2024,Lisburn and Castlereagh,4477,489,10.9
30th June 2024,Mid and East Antrim,4940,715,14.5
30th June 2024,Mid Ulster,6584,980,14.9
30th June 2024,"Newry, Mourne and Down",6953,1070,15.4
30th June 2024,Northern Ireland,75233,11869,15.8
30th September 2024,Antrim and Newtownabbey,4486,580,12.9
30th September 2024,Ards and North Down,5030,668,13.3
30th September 2024,"Armagh City, Banbridge and Craigavon",7876,1124,14.3
30th September 2024,Belfast,17126,3596,21
30th September 2024,Causeway Coast and Glens,6090,853,14
30th September 2024,Derry City and Strabane District Council,5703,884,15.5
30th September 2024,Fermanagh and Omagh,6010,966,16.1
30th September 2024,Lisburn and Castlereagh,4470,487,10.9
30th September 2024,Mid and East Antrim,4935,733,14.9
30th September 2024,Mid Ulster,6590,955,14.5
30th September 2024,"Newry, Mourne and Down",6958,1114,16
30th September 2024,Northern Ireland,75274,11960,15.9
