District,Ward,SaleYr,Type,Ward_VerifiedSales,Reporting_MinPrice,Reporting_LQPrice,Reporting_MedianPrice,Reporting_MeanPrice,Reporting_UQPrice,Reporting_MaxPrice
ARDS AND NORTH DOWN,BALLYCROCHAN,2005,Existing Dwelling,36,53000,120000,179750,172126,220000,249950
ARDS AND NORTH DOWN,BALLYCROCHAN,2006,Existing Dwelling,74,90000,133500,195000,193446,231000,325000
ARDS AND NORTH DOWN,BALLYCROCHAN,2007,Existing Dwelling,43,120000,229975,285500,294674,353500,585000
ARDS AND NORTH DOWN,BALLYCROCHAN,2008,Existing Dwelling,9,.,.,.,.,.,.
ARDS AND NORTH DOWN,BALLYCROCHAN,2009,Existing Dwelling,20,.,.,.,.,.,.
ARDS AND NORTH DOWN,BALLYCROCHAN,2010,Existing Dwelling,24,.,.,.,.,.,.
ARDS AND NORTH DOWN,BALLYCROCHAN,2011,Existing Dwelling,14,.,.,.,.,.,.
ARDS AND NORTH DOWN,BALLYCROCHAN,2012,Existing Dwelling,33,63250,96500,121300,128152,153000,203000
ARDS AND NORTH DOWN,BALLYCROCHAN,2013,Existing Dwelling,48,76000,110000,139950,146661,172500,312300
ARDS AND NORTH DOWN,BALLYCROCHAN,2014,Existing Dwelling,41,85000,125000,149500,165800,200000,350000
ARDS AND NORTH DOWN,BALLYCROCHAN,2015,Existing Dwelling,40,115000,133500,185000,189539,217500,462000
ARDS AND NORTH DOWN,BALLYCROCHAN,2016,Existing Dwelling,52,100000,125250,168000,174629,208750,370000
ARDS AND NORTH DOWN,BALLYCROCHAN,2017,Existing Dwelling,42,102500,128500,177750,180048,235000,304000
ARDS AND NORTH DOWN,BALLYCROCHAN,2018,Existing Dwelling,37,100000,146500,179000,190676,229250,291000
ARDS AND NORTH DOWN,BALLYCROCHAN,2019,Existing Dwelling,37,120000,145000,207000,198305,227500,325000
ARDS AND NORTH DOWN,BALLYCROCHAN,2020,Existing Dwelling,27,.,.,.,.,.,.
ARDS AND NORTH DOWN,BALLYCROCHAN,2021,Existing Dwelling,54,125000,165000,230000,223434,272500,365000
ARDS AND NORTH DOWN,BALLYCROCHAN,2022,Existing Dwelling,51,115000,167475,240500,247779,300500,480000
ARDS AND NORTH DOWN,BALLYCROCHAN,2023,Existing Dwelling,29,.,.,.,.,.,.
