District,Ward,SaleYr,Type,Ward_VerifiedSales,Reporting_MinPrice,Reporting_LQPrice,Reporting_MedianPrice,Reporting_MeanPrice,Reporting_UQPrice,Reporting_MaxPrice
"NEWRY, MOURNE AND DOWN",ABBEY,2005,URBAN,42,40000,97000,127000,117758,139000,175000
"NEWRY, MOURNE AND DOWN",ABBEY,2006,URBAN,72,66326,125000,144500,147566,171000,290000
"NEWRY, MOURNE AND DOWN",ABBEY,2007,URBAN,52,71000,155000,181750,189196,215000,320000
"NEWRY, MOURNE AND DOWN",ABBEY,2008,URBAN,10,.,.,.,.,.,.
"NEWRY, MOURNE AND DOWN",ABBEY,2009,URBAN,20,.,.,.,.,.,.
"NEWRY, MOURNE AND DOWN",ABBEY,2010,URBAN,11,.,.,.,.,.,.
"NEWRY, MOURNE AND DOWN",ABBEY,2011,URBAN,20,.,.,.,.,.,.
"NEWRY, MOURNE AND DOWN",ABBEY,2012,URBAN,21,.,.,.,.,.,.
"NEWRY, MOURNE AND DOWN",ABBEY,2013,URBAN,26,.,.,.,.,.,.
"NEWRY, MOURNE AND DOWN",ABBEY,2014,URBAN,30,.,.,.,.,.,.
"NEWRY, MOURNE AND DOWN",ABBEY,2015,URBAN,34,.,.,.,.,.,.
"NEWRY, MOURNE AND DOWN",ABBEY,2016,URBAN,49,40000,65125,80000,85069,98500,148000
"NEWRY, MOURNE AND DOWN",ABBEY,2017,URBAN,47,40000,80000,103125,109716,138000,275000
"NEWRY, MOURNE AND DOWN",ABBEY,2018,URBAN,35,56000,85500,112500,115906,148750,225000
"NEWRY, MOURNE AND DOWN",ABBEY,2019,URBAN,33,.,.,.,.,.,.
"NEWRY, MOURNE AND DOWN",ABBEY,2020,URBAN,29,.,.,.,.,.,.
"NEWRY, MOURNE AND DOWN",ABBEY,2021,URBAN,45,60000,96000,113000,119041,138000,213500
"NEWRY, MOURNE AND DOWN",ABBEY,2022,URBAN,49,80000,106000,120000,133106,157000,330000
"NEWRY, MOURNE AND DOWN",ABBEY,2023,URBAN,34,82000,124000,140000,146887,175000,267000
"NEWRY, MOURNE AND DOWN",ANNALONG,2005,URBAN,0,0,0,0,0,0,0
"NEWRY, MOURNE AND DOWN",ANNALONG,2006,URBAN,0,0,0,0,0,0,0
"NEWRY, MOURNE AND DOWN",ANNALONG,2007,URBAN,0,0,0,0,0,0,0
"NEWRY, MOURNE AND DOWN",ANNALONG,2008,URBAN,0,0,0,0,0,0,0
"NEWRY, MOURNE AND DOWN",ANNALONG,2009,URBAN,0,0,0,0,0,0,0
"NEWRY, MOURNE AND DOWN",ANNALONG,2010,URBAN,0,0,0,0,0,0,0
"NEWRY, MOURNE AND DOWN",ANNALONG,2011,URBAN,0,0,0,0,0,0,0
"NEWRY, MOURNE AND DOWN",ANNALONG,2012,URBAN,0,0,0,0,0,0,0
"NEWRY, MOURNE AND DOWN",ANNALONG,2013,URBAN,0,0,0,0,0,0,0
"NEWRY, MOURNE AND DOWN",ANNALONG,2014,URBAN,0,0,0,0,0,0,0
"NEWRY, MOURNE AND DOWN",ANNALONG,2015,URBAN,0,0,0,0,0,0,0
"NEWRY, MOURNE AND DOWN",ANNALONG,2016,URBAN,0,0,0,0,0,0,0
"NEWRY, MOURNE AND DOWN",ANNALONG,2017,URBAN,0,0,0,0,0,0,0
"NEWRY, MOURNE AND DOWN",ANNALONG,2018,URBAN,0,0,0,0,0,0,0
"NEWRY, MOURNE AND DOWN",ANNALONG,2019,URBAN,0,0,0,0,0,0,0
"NEWRY, MOURNE AND DOWN",ANNALONG,2020,URBAN,0,0,0,0,0,0,0
"NEWRY, MOURNE AND DOWN",ANNALONG,2021,URBAN,3,.,.,.,.,.,.
"NEWRY, MOURNE AND DOWN",ANNALONG,2022,URBAN,6,.,.,.,.,.,.
"NEWRY, MOURNE AND DOWN",ANNALONG,2023,URBAN,3,.,.,.,.,.,.
"NEWRY, MOURNE AND DOWN",BALLYBOT,2005,URBAN,73,48000,90000,109000,108368,129500,155000
"NEWRY, MOURNE AND DOWN",BALLYBOT,2006,URBAN,82,59000,120000,148000,150301,185000,250000
"NEWRY, MOURNE AND DOWN",BALLYBOT,2007,URBAN,38,64965,165000,170250,179353,200000,255000
"NEWRY, MOURNE AND DOWN",BALLYBOT,2008,URBAN,21,.,.,.,.,.,.
"NEWRY, MOURNE AND DOWN",BALLYBOT,2009,URBAN,17,.,.,.,.,.,.
"NEWRY, MOURNE AND DOWN",BALLYBOT,2010,URBAN,13,.,.,.,.,.,.
"NEWRY, MOURNE AND DOWN",BALLYBOT,2011,URBAN,22,.,.,.,.,.,.
"NEWRY, MOURNE AND DOWN",BALLYBOT,2012,URBAN,26,.,.,.,.,.,.
"NEWRY, MOURNE AND DOWN",BALLYBOT,2013,URBAN,32,.,.,.,.,.,.
"NEWRY, MOURNE AND DOWN",BALLYBOT,2014,URBAN,43,33500,52000,65000,71171,90000,130000
"NEWRY, MOURNE AND DOWN",BALLYBOT,2015,URBAN,48,38000,60000,70000,76844,85000,135000
"NEWRY, MOURNE AND DOWN",BALLYBOT,2016,URBAN,52,50000,65000,78000,84279,103000,130000
"NEWRY, MOURNE AND DOWN",BALLYBOT,2017,URBAN,39,55000,75000,95250,95361,107000,167000
"NEWRY, MOURNE AND DOWN",BALLYBOT,2018,URBAN,36,.,.,.,.,.,.
"NEWRY, MOURNE AND DOWN",BALLYBOT,2019,URBAN,34,60000,78000,91000,95016,112250,151000
"NEWRY, MOURNE AND DOWN",BALLYBOT,2020,URBAN,28,.,.,.,.,.,.
"NEWRY, MOURNE AND DOWN",BALLYBOT,2021,URBAN,49,60000,99000,116500,116647,136418,197500
"NEWRY, MOURNE AND DOWN",BALLYBOT,2022,URBAN,34,70000,99000,114000,114169,130500,173000
"NEWRY, MOURNE AND DOWN",BALLYBOT,2023,URBAN,43,75000,110500,130000,133281,160000,180000
"NEWRY, MOURNE AND DOWN",BALLYDUGAN,2005,URBAN,0,0,0,0,0,0,0
"NEWRY, MOURNE AND DOWN",BALLYDUGAN,2006,URBAN,0,0,0,0,0,0,0
"NEWRY, MOURNE AND DOWN",BALLYDUGAN,2007,URBAN,0,0,0,0,0,0,0
"NEWRY, MOURNE AND DOWN",BALLYDUGAN,2008,URBAN,0,0,0,0,0,0,0
"NEWRY, MOURNE AND DOWN",BALLYDUGAN,2009,URBAN,0,0,0,0,0,0,0
"NEWRY, MOURNE AND DOWN",BALLYDUGAN,2010,URBAN,0,0,0,0,0,0,0
"NEWRY, MOURNE AND DOWN",BALLYDUGAN,2011,URBAN,0,0,0,0,0,0,0
"NEWRY, MOURNE AND DOWN",BALLYDUGAN,2012,URBAN,0,0,0,0,0,0,0
"NEWRY, MOURNE AND DOWN",BALLYDUGAN,2013,URBAN,0,0,0,0,0,0,0
"NEWRY, MOURNE AND DOWN",BALLYDUGAN,2014,URBAN,0,0,0,0,0,0,0
"NEWRY, MOURNE AND DOWN",BALLYDUGAN,2015,URBAN,0,0,0,0,0,0,0
"NEWRY, MOURNE AND DOWN",BALLYDUGAN,2016,URBAN,0,0,0,0,0,0,0
"NEWRY, MOURNE AND DOWN",BALLYDUGAN,2017,URBAN,5,.,.,.,.,.,.
"NEWRY, MOURNE AND DOWN",BALLYDUGAN,2018,URBAN,1,.,.,.,.,.,.
"NEWRY, MOURNE AND DOWN",BALLYDUGAN,2019,URBAN,1,.,.,.,.,.,.
"NEWRY, MOURNE AND DOWN",BALLYDUGAN,2020,URBAN,0,0,0,0,0,0,0
"NEWRY, MOURNE AND DOWN",BALLYDUGAN,2021,URBAN,0,0,0,0,0,0,0
"NEWRY, MOURNE AND DOWN",BALLYDUGAN,2022,URBAN,0,0,0,0,0,0,0
"NEWRY, MOURNE AND DOWN",BALLYDUGAN,2023,URBAN,0,0,0,0,0,0,0
"NEWRY, MOURNE AND DOWN",BALLYNAHINCH,2005,URBAN,84,50000,82500,95500,100113,115250,220000
"NEWRY, MOURNE AND DOWN",BALLYNAHINCH,2006,URBAN,132,50000,116500,132500,139641,157000,340000
