District,Ward,SaleYr,Type,Ward_VerifiedSales,Reporting_MinPrice,Reporting_LQPrice,Reporting_MedianPrice,Reporting_MeanPrice,Reporting_UQPrice,Reporting_MaxPrice
BELFAST,ANDERSONSTOWN,2005,New Dwelling,0,0,0,0,0,0,0
BELFAST,ANDERSONSTOWN,2006,New Dwelling,6,.,.,.,.,.,.
BELFAST,ANDERSONSTOWN,2007,New Dwelling,1,.,.,.,.,.,.
BELFAST,ANDERSONSTOWN,2008,New Dwelling,0,0,0,0,0,0,0
BELFAST,ANDERSONSTOWN,2009,New Dwelling,0,0,0,0,0,0,0
BELFAST,ANDERSONSTOWN,2010,New Dwelling,0,0,0,0,0,0,0
BELFAST,ANDERSONSTOWN,2011,New Dwelling,2,.,.,.,.,.,.
BELFAST,ANDERSONSTOWN,2012,New Dwelling,1,.,.,.,.,.,.
BELFAST,ANDERSONSTOWN,2013,New Dwelling,0,0,0,0,0,0,0
BELFAST,ANDERSONSTOWN,2014,New Dwelling,3,.,.,.,.,.,.
BELFAST,ANDERSONSTOWN,2015,New Dwelling,0,0,0,0,0,0,0
BELFAST,ANDERSONSTOWN,2016,New Dwelling,0,0,0,0,0,0,0
BELFAST,ANDERSONSTOWN,2017,New Dwelling,0,0,0,0,0,0,0
BELFAST,ANDERSONSTOWN,2018,New Dwelling,0,0,0,0,0,0,0
BELFAST,ANDERSONSTOWN,2019,New Dwelling,0,0,0,0,0,0,0
BELFAST,ANDERSONSTOWN,2020,New Dwelling,0,0,0,0,0,0,0
BELFAST,ANDERSONSTOWN,2021,New Dwelling,2,.,.,.,.,.,.
BELFAST,ANDERSONSTOWN,2022,New Dwelling,2,.,.,.,.,.,.
BELFAST,ANDERSONSTOWN,2023,New Dwelling,2,.,.,.,.,.,.
BELFAST,ARDOYNE,2005,New Dwelling,1,.,.,.,.,.,.
BELFAST,ARDOYNE,2006,New Dwelling,0,0,0,0,0,0,0
BELFAST,ARDOYNE,2007,New Dwelling,3,.,.,.,.,.,.
BELFAST,ARDOYNE,2008,New Dwelling,0,0,0,0,0,0,0
BELFAST,ARDOYNE,2009,New Dwelling,0,0,0,0,0,0,0
BELFAST,ARDOYNE,2010,New Dwelling,1,.,.,.,.,.,.
BELFAST,ARDOYNE,2011,New Dwelling,0,0,0,0,0,0,0
BELFAST,ARDOYNE,2012,New Dwelling,3,.,.,.,.,.,.
BELFAST,ARDOYNE,2013,New Dwelling,1,.,.,.,.,.,.
BELFAST,ARDOYNE,2014,New Dwelling,1,.,.,.,.,.,.
BELFAST,ARDOYNE,2015,New Dwelling,0,0,0,0,0,0,0
BELFAST,ARDOYNE,2016,New Dwelling,0,0,0,0,0,0,0
BELFAST,ARDOYNE,2017,New Dwelling,0,0,0,0,0,0,0
BELFAST,ARDOYNE,2018,New Dwelling,0,0,0,0,0,0,0
BELFAST,ARDOYNE,2019,New Dwelling,0,0,0,0,0,0,0
BELFAST,ARDOYNE,2020,New Dwelling,1,.,.,.,.,.,.
BELFAST,ARDOYNE,2021,New Dwelling,0,0,0,0,0,0,0
BELFAST,ARDOYNE,2022,New Dwelling,0,0,0,0,0,0,0
BELFAST,ARDOYNE,2023,New Dwelling,0,0,0,0,0,0,0
BELFAST,BALLYGOMARTIN,2005,New Dwelling,26,.,.,.,.,.,.
BELFAST,BALLYGOMARTIN,2006,New Dwelling,32,50000,96950,116000,119392,137856,200000
BELFAST,BALLYGOMARTIN,2007,New Dwelling,11,.,.,.,.,.,.
BELFAST,BALLYGOMARTIN,2008,New Dwelling,4,.,.,.,.,.,.
BELFAST,BALLYGOMARTIN,2009,New Dwelling,5,.,.,.,.,.,.
BELFAST,BALLYGOMARTIN,2010,New Dwelling,4,.,.,.,.,.,.
BELFAST,BALLYGOMARTIN,2011,New Dwelling,4,.,.,.,.,.,.
BELFAST,BALLYGOMARTIN,2012,New Dwelling,8,.,.,.,.,.,.
BELFAST,BALLYGOMARTIN,2013,New Dwelling,13,.,.,.,.,.,.
BELFAST,BALLYGOMARTIN,2014,New Dwelling,12,.,.,.,.,.,.
BELFAST,BALLYGOMARTIN,2015,New Dwelling,10,.,.,.,.,.,.
BELFAST,BALLYGOMARTIN,2016,New Dwelling,0,0,0,0,0,0,0
BELFAST,BALLYGOMARTIN,2017,New Dwelling,0,0,0,0,0,0,0
BELFAST,BALLYGOMARTIN,2018,New Dwelling,0,0,0,0,0,0,0
BELFAST,BALLYGOMARTIN,2019,New Dwelling,20,.,.,.,.,.,.
BELFAST,BALLYGOMARTIN,2020,New Dwelling,19,.,.,.,.,.,.
BELFAST,BALLYGOMARTIN,2021,New Dwelling,13,.,.,.,.,.,.
BELFAST,BALLYGOMARTIN,2022,New Dwelling,4,.,.,.,.,.,.
BELFAST,BALLYGOMARTIN,2023,New Dwelling,6,.,.,.,.,.,.
BELFAST,BALLYMACARRETT,2005,New Dwelling,0,0,0,0,0,0,0
BELFAST,BALLYMACARRETT,2006,New Dwelling,1,.,.,.,.,.,.
BELFAST,BALLYMACARRETT,2007,New Dwelling,12,.,.,.,.,.,.
BELFAST,BALLYMACARRETT,2008,New Dwelling,1,.,.,.,.,.,.
BELFAST,BALLYMACARRETT,2009,New Dwelling,0,0,0,0,0,0,0
BELFAST,BALLYMACARRETT,2010,New Dwelling,0,0,0,0,0,0,0
BELFAST,BALLYMACARRETT,2011,New Dwelling,4,.,.,.,.,.,.
BELFAST,BALLYMACARRETT,2012,New Dwelling,11,.,.,.,.,.,.
BELFAST,BALLYMACARRETT,2013,New Dwelling,9,.,.,.,.,.,.
BELFAST,BALLYMACARRETT,2014,New Dwelling,12,.,.,.,.,.,.
BELFAST,BALLYMACARRETT,2015,New Dwelling,5,.,.,.,.,.,.
BELFAST,BALLYMACARRETT,2016,New Dwelling,0,0,0,0,0,0,0
BELFAST,BALLYMACARRETT,2017,New Dwelling,0,0,0,0,0,0,0
BELFAST,BALLYMACARRETT,2018,New Dwelling,0,0,0,0,0,0,0
BELFAST,BALLYMACARRETT,2019,New Dwelling,7,.,.,.,.,.,.
BELFAST,BALLYMACARRETT,2020,New Dwelling,5,.,.,.,.,.,.
BELFAST,BALLYMACARRETT,2021,New Dwelling,1,.,.,.,.,.,.
BELFAST,BALLYMACARRETT,2022,New Dwelling,8,.,.,.,.,.,.
BELFAST,BALLYMACARRETT,2023,New Dwelling,6,.,.,.,.,.,.
BELFAST,BALLYMURPHY,2005,New Dwelling,0,0,0,0,0,0,0
BELFAST,BALLYMURPHY,2006,New Dwelling,1,.,.,.,.,.,.
BELFAST,BALLYMURPHY,2007,New Dwelling,15,.,.,.,.,.,.
BELFAST,BALLYMURPHY,2008,New Dwelling,0,0,0,0,0,0,0
BELFAST,BALLYMURPHY,2009,New Dwelling,0,0,0,0,0,0,0
BELFAST,BALLYMURPHY,2010,New Dwelling,0,0,0,0,0,0,0
BELFAST,BALLYMURPHY,2011,New Dwelling,1,.,.,.,.,.,.
BELFAST,BALLYMURPHY,2012,New Dwelling,0,0,0,0,0,0,0
BELFAST,BALLYMURPHY,2013,New Dwelling,0,0,0,0,0,0,0
BELFAST,BALLYMURPHY,2014,New Dwelling,3,.,.,.,.,.,.
BELFAST,BALLYMURPHY,2015,New Dwelling,0,0,0,0,0,0,0
BELFAST,BALLYMURPHY,2016,New Dwelling,0,0,0,0,0,0,0
BELFAST,BALLYMURPHY,2017,New Dwelling,0,0,0,0,0,0,0
BELFAST,BALLYMURPHY,2018,New Dwelling,0,0,0,0,0,0,0
BELFAST,BALLYMURPHY,2019,New Dwelling,1,.,.,.,.,.,.
BELFAST,BALLYMURPHY,2020,New Dwelling,0,0,0,0,0,0,0
BELFAST,BALLYMURPHY,2021,New Dwelling,0,0,0,0,0,0,0
BELFAST,BALLYMURPHY,2022,New Dwelling,1,.,.,.,.,.,.
BELFAST,BALLYMURPHY,2023,New Dwelling,0,0,0,0,0,0,0
BELFAST,BALLYSILLAN,2005,New Dwelling,5,.,.,.,.,.,.
BELFAST,BALLYSILLAN,2006,New Dwelling,5,.,.,.,.,.,.
BELFAST,BALLYSILLAN,2007,New Dwelling,1,.,.,.,.,.,.
BELFAST,BALLYSILLAN,2008,New Dwelling,0,0,0,0,0,0,0
BELFAST,BALLYSILLAN,2009,New Dwelling,0,0,0,0,0,0,0
BELFAST,BALLYSILLAN,2010,New Dwelling,2,.,.,.,.,.,.
BELFAST,BALLYSILLAN,2011,New Dwelling,1,.,.,.,.,.,.
BELFAST,BALLYSILLAN,2012,New Dwelling,3,.,.,.,.,.,.
BELFAST,BALLYSILLAN,2013,New Dwelling,1,.,.,.,.,.,.
BELFAST,BALLYSILLAN,2014,New Dwelling,7,.,.,.,.,.,.
BELFAST,BALLYSILLAN,2015,New Dwelling,3,.,.,.,.,.,.
BELFAST,BALLYSILLAN,2016,New Dwelling,0,0,0,0,0,0,0
BELFAST,BALLYSILLAN,2017,New Dwelling,0,0,0,0,0,0,0
BELFAST,BALLYSILLAN,2018,New Dwelling,8,.,.,.,.,.,.
BELFAST,BALLYSILLAN,2019,New Dwelling,13,.,.,.,.,.,.
BELFAST,BALLYSILLAN,2020,New Dwelling,19,.,.,.,.,.,.
BELFAST,BALLYSILLAN,2021,New Dwelling,7,.,.,.,.,.,.
BELFAST,BALLYSILLAN,2022,New Dwelling,1,.,.,.,.,.,.
BELFAST,BALLYSILLAN,2023,New Dwelling,1,.,.,.,.,.,.
BELFAST,BEECHMOUNT,2005,New Dwelling,11,.,.,.,.,.,.
BELFAST,BEECHMOUNT,2006,New Dwelling,3,.,.,.,.,.,.
BELFAST,BEECHMOUNT,2007,New Dwelling,4,.,.,.,.,.,.
BELFAST,BEECHMOUNT,2008,New Dwelling,2,.,.,.,.,.,.
BELFAST,BEECHMOUNT,2009,New Dwelling,5,.,.,.,.,.,.
BELFAST,BEECHMOUNT,2010,New Dwelling,0,0,0,0,0,0,0
BELFAST,BEECHMOUNT,2011,New Dwelling,2,.,.,.,.,.,.
