District,Ward,SaleYr,Type,Ward_VerifiedSales,Reporting_MinPrice,Reporting_LQPrice,Reporting_MedianPrice,Reporting_MeanPrice,Reporting_UQPrice,Reporting_MaxPrice
"ARMAGH CITY, BANBRIDGE AND CRAIGAVON",AGHAGALLON,2005,TER,1,.,.,.,.,.,.
"ARMAGH CITY, BANBRIDGE AND CRAIGAVON",AGHAGALLON,2006,TER,3,.,.,.,.,.,.
"ARMAGH CITY, BANBRIDGE AND CRAIGAVON",AGHAGALLON,2007,TER,3,.,.,.,.,.,.
"ARMAGH CITY, BANBRIDGE AND CRAIGAVON",AGHAGALLON,2008,TER,1,.,.,.,.,.,.
"ARMAGH CITY, BANBRIDGE AND CRAIGAVON",AGHAGALLON,2009,TER,2,.,.,.,.,.,.
"ARMAGH CITY, BANBRIDGE AND CRAIGAVON",AGHAGALLON,2010,TER,0,0,0,0,0,0,0
"ARMAGH CITY, BANBRIDGE AND CRAIGAVON",AGHAGALLON,2011,TER,0,0,0,0,0,0,0
"ARMAGH CITY, BANBRIDGE AND CRAIGAVON",AGHAGALLON,2012,TER,5,.,.,.,.,.,.
"ARMAGH CITY, BANBRIDGE AND CRAIGAVON",AGHAGALLON,2013,TER,0,0,0,0,0,0,0
"ARMAGH CITY, BANBRIDGE AND CRAIGAVON",AGHAGALLON,2014,TER,1,.,.,.,.,.,.
"ARMAGH CITY, BANBRIDGE AND CRAIGAVON",AGHAGALLON,2015,TER,3,.,.,.,.,.,.
"ARMAGH CITY, BANBRIDGE AND CRAIGAVON",AGHAGALLON,2016,TER,2,.,.,.,.,.,.
"ARMAGH CITY, BANBRIDGE AND CRAIGAVON",AGHAGALLON,2017,TER,5,.,.,.,.,.,.
"ARMAGH CITY, BANBRIDGE AND CRAIGAVON",AGHAGALLON,2018,TER,5,.,.,.,.,.,.
"ARMAGH CITY, BANBRIDGE AND CRAIGAVON",AGHAGALLON,2019,TER,3,.,.,.,.,.,.
"ARMAGH CITY, BANBRIDGE AND CRAIGAVON",AGHAGALLON,2020,TER,2,.,.,.,.,.,.
"ARMAGH CITY, BANBRIDGE AND CRAIGAVON",AGHAGALLON,2021,TER,6,.,.,.,.,.,.
"ARMAGH CITY, BANBRIDGE AND CRAIGAVON",AGHAGALLON,2022,TER,5,.,.,.,.,.,.
"ARMAGH CITY, BANBRIDGE AND CRAIGAVON",AGHAGALLON,2023,TER,2,.,.,.,.,.,.
"ARMAGH CITY, BANBRIDGE AND CRAIGAVON",BALLYBAY,2005,TER,61,28050,57500,64000,61976,67000,85000
"ARMAGH CITY, BANBRIDGE AND CRAIGAVON",BALLYBAY,2006,TER,117,50000,78000,86000,91888,110000,142000
"ARMAGH CITY, BANBRIDGE AND CRAIGAVON",BALLYBAY,2007,TER,60,40000,120000,135000,127099,146000,230000
"ARMAGH CITY, BANBRIDGE AND CRAIGAVON",BALLYBAY,2008,TER,25,.,.,.,.,.,.
"ARMAGH CITY, BANBRIDGE AND CRAIGAVON",BALLYBAY,2009,TER,21,.,.,.,.,.,.
"ARMAGH CITY, BANBRIDGE AND CRAIGAVON",BALLYBAY,2010,TER,26,.,.,.,.,.,.
"ARMAGH CITY, BANBRIDGE AND CRAIGAVON",BALLYBAY,2011,TER,31,.,.,.,.,.,.
"ARMAGH CITY, BANBRIDGE AND CRAIGAVON",BALLYBAY,2012,TER,21,.,.,.,.,.,.
"ARMAGH CITY, BANBRIDGE AND CRAIGAVON",BALLYBAY,2013,TER,24,.,.,.,.,.,.
"ARMAGH CITY, BANBRIDGE AND CRAIGAVON",BALLYBAY,2014,TER,36,.,.,.,.,.,.
"ARMAGH CITY, BANBRIDGE AND CRAIGAVON",BALLYBAY,2015,TER,24,.,.,.,.,.,.
"ARMAGH CITY, BANBRIDGE AND CRAIGAVON",BALLYBAY,2016,TER,32,.,.,.,.,.,.
"ARMAGH CITY, BANBRIDGE AND CRAIGAVON",BALLYBAY,2017,TER,33,.,.,.,.,.,.
"ARMAGH CITY, BANBRIDGE AND CRAIGAVON",BALLYBAY,2018,TER,33,.,.,.,.,.,.
"ARMAGH CITY, BANBRIDGE AND CRAIGAVON",BALLYBAY,2019,TER,47,45000,57500,64000,66717,72500,108000
"ARMAGH CITY, BANBRIDGE AND CRAIGAVON",BALLYBAY,2020,TER,28,.,.,.,.,.,.
"ARMAGH CITY, BANBRIDGE AND CRAIGAVON",BALLYBAY,2021,TER,38,50000,70000,79975,86409,95000,142500
"ARMAGH CITY, BANBRIDGE AND CRAIGAVON",BALLYBAY,2022,TER,30,.,.,.,.,.,.
"ARMAGH CITY, BANBRIDGE AND CRAIGAVON",BALLYBAY,2023,TER,41,50000,80000,89500,93887,106000,146280
"ARMAGH CITY, BANBRIDGE AND CRAIGAVON",BANBRIDGE EAST,2005,TER,14,.,.,.,.,.,.
"ARMAGH CITY, BANBRIDGE AND CRAIGAVON",BANBRIDGE EAST,2006,TER,21,.,.,.,.,.,.
"ARMAGH CITY, BANBRIDGE AND CRAIGAVON",BANBRIDGE EAST,2007,TER,10,.,.,.,.,.,.
"ARMAGH CITY, BANBRIDGE AND CRAIGAVON",BANBRIDGE EAST,2008,TER,5,.,.,.,.,.,.
"ARMAGH CITY, BANBRIDGE AND CRAIGAVON",BANBRIDGE EAST,2009,TER,7,.,.,.,.,.,.
"ARMAGH CITY, BANBRIDGE AND CRAIGAVON",BANBRIDGE EAST,2010,TER,4,.,.,.,.,.,.
"ARMAGH CITY, BANBRIDGE AND CRAIGAVON",BANBRIDGE EAST,2011,TER,5,.,.,.,.,.,.
"ARMAGH CITY, BANBRIDGE AND CRAIGAVON",BANBRIDGE EAST,2012,TER,9,.,.,.,.,.,.
"ARMAGH CITY, BANBRIDGE AND CRAIGAVON",BANBRIDGE EAST,2013,TER,8,.,.,.,.,.,.
"ARMAGH CITY, BANBRIDGE AND CRAIGAVON",BANBRIDGE EAST,2014,TER,7,.,.,.,.,.,.
"ARMAGH CITY, BANBRIDGE AND CRAIGAVON",BANBRIDGE EAST,2015,TER,5,.,.,.,.,.,.
"ARMAGH CITY, BANBRIDGE AND CRAIGAVON",BANBRIDGE EAST,2016,TER,12,.,.,.,.,.,.
"ARMAGH CITY, BANBRIDGE AND CRAIGAVON",BANBRIDGE EAST,2017,TER,11,.,.,.,.,.,.
"ARMAGH CITY, BANBRIDGE AND CRAIGAVON",BANBRIDGE EAST,2018,TER,10,.,.,.,.,.,.
"ARMAGH CITY, BANBRIDGE AND CRAIGAVON",BANBRIDGE EAST,2019,TER,9,.,.,.,.,.,.
