District,Ward,SaleYr,Type,Ward_VerifiedSales,Reporting_MinPrice,Reporting_LQPrice,Reporting_MedianPrice,Reporting_MeanPrice,Reporting_UQPrice,Reporting_MaxPrice
"NEWRY, MOURNE AND DOWN",ABBEY,2005,DET,3,.,.,.,.,.,.
"NEWRY, MOURNE AND DOWN",ABBEY,2006,DET,7,.,.,.,.,.,.
"NEWRY, MOURNE AND DOWN",ABBEY,2007,DET,3,.,.,.,.,.,.
"NEWRY, MOURNE AND DOWN",ABBEY,2008,DET,0,0,0,0,0,0,0
"NEWRY, MOURNE AND DOWN",ABBEY,2009,DET,0,0,0,0,0,0,0
"NEWRY, MOURNE AND DOWN",ABBEY,2010,DET,3,.,.,.,.,.,.
"NEWRY, MOURNE AND DOWN",ABBEY,2011,DET,1,.,.,.,.,.,.
"NEWRY, MOURNE AND DOWN",ABBEY,2012,DET,1,.,.,.,.,.,.
"NEWRY, MOURNE AND DOWN",ABBEY,2013,DET,6,.,.,.,.,.,.
"NEWRY, MOURNE AND DOWN",ABBEY,2014,DET,3,.,.,.,.,.,.
"NEWRY, MOURNE AND DOWN",ABBEY,2015,DET,6,.,.,.,.,.,.
"NEWRY, MOURNE AND DOWN",ABBEY,2016,DET,4,.,.,.,.,.,.
"NEWRY, MOURNE AND DOWN",ABBEY,2017,DET,12,.,.,.,.,.,.
"NEWRY, MOURNE AND DOWN",ABBEY,2018,DET,4,.,.,.,.,.,.
"NEWRY, MOURNE AND DOWN",ABBEY,2019,DET,4,.,.,.,.,.,.
"NEWRY, MOURNE AND DOWN",ABBEY,2020,DET,6,.,.,.,.,.,.
"NEWRY, MOURNE AND DOWN",ABBEY,2021,DET,4,.,.,.,.,.,.
"NEWRY, MOURNE AND DOWN",ABBEY,2022,DET,3,.,.,.,.,.,.
"NEWRY, MOURNE AND DOWN",ABBEY,2023,DET,3,.,.,.,.,.,.
"NEWRY, MOURNE AND DOWN",ANNALONG,2005,DET,21,.,.,.,.,.,.
"NEWRY, MOURNE AND DOWN",ANNALONG,2006,DET,17,.,.,.,.,.,.
"NEWRY, MOURNE AND DOWN",ANNALONG,2007,DET,13,.,.,.,.,.,.
"NEWRY, MOURNE AND DOWN",ANNALONG,2008,DET,3,.,.,.,.,.,.
"NEWRY, MOURNE AND DOWN",ANNALONG,2009,DET,3,.,.,.,.,.,.
"NEWRY, MOURNE AND DOWN",ANNALONG,2010,DET,6,.,.,.,.,.,.
"NEWRY, MOURNE AND DOWN",ANNALONG,2011,DET,9,.,.,.,.,.,.
"NEWRY, MOURNE AND DOWN",ANNALONG,2012,DET,7,.,.,.,.,.,.
"NEWRY, MOURNE AND DOWN",ANNALONG,2013,DET,12,.,.,.,.,.,.
"NEWRY, MOURNE AND DOWN",ANNALONG,2014,DET,18,.,.,.,.,.,.
