District,Ward,SaleYr,Type,Ward_VerifiedSales,Reporting_MinPrice,Reporting_LQPrice,Reporting_MedianPrice,Reporting_MeanPrice,Reporting_UQPrice,Reporting_MaxPrice
ARDS AND NORTH DOWN,BALLYCROCHAN,2005,All Sales,36,53000,120000,179750,172126,220000,249950
ARDS AND NORTH DOWN,BALLYCROCHAN,2006,All Sales,75,90000,133500,195000,193446,231000,325000
ARDS AND NORTH DOWN,BALLYCROCHAN,2007,All Sales,43,120000,229975,285500,294674,353500,585000
ARDS AND NORTH DOWN,BALLYCROCHAN,2008,All Sales,9,.,.,.,.,.,.
ARDS AND NORTH DOWN,BALLYCROCHAN,2009,All Sales,21,.,.,.,.,.,.
ARDS AND NORTH DOWN,BALLYCROCHAN,2010,All Sales,24,.,.,.,.,.,.
ARDS AND NORTH DOWN,BALLYCROCHAN,2011,All Sales,15,.,.,.,.,.,.
ARDS AND NORTH DOWN,BALLYCROCHAN,2012,All Sales,33,63250,96500,121300,128152,153000,203000
ARDS AND NORTH DOWN,BALLYCROCHAN,2013,All Sales,48,76000,110000,139950,146661,172500,312300
ARDS AND NORTH DOWN,BALLYCROCHAN,2014,All Sales,41,85000,125000,149500,165800,200000,350000
ARDS AND NORTH DOWN,BALLYCROCHAN,2015,All Sales,40,115000,133500,185000,189539,217500,462000
ARDS AND NORTH DOWN,BALLYCROCHAN,2016,All Sales,52,100000,125250,168000,174629,208750,370000
ARDS AND NORTH DOWN,BALLYCROCHAN,2017,All Sales,42,102500,128500,177750,180048,235000,304000
ARDS AND NORTH DOWN,BALLYCROCHAN,2018,All Sales,37,100000,146500,179000,190676,229250,291000
ARDS AND NORTH DOWN,BALLYCROCHAN,2019,All Sales,37,120000,145000,207000,198305,227500,325000
ARDS AND NORTH DOWN,BALLYCROCHAN,2020,All Sales,27,.,.,.,.,.,.
ARDS AND NORTH DOWN,BALLYCROCHAN,2021,All Sales,54,125000,165000,230000,223434,272500,365000
ARDS AND NORTH DOWN,BALLYCROCHAN,2022,All Sales,51,115000,167475,240500,247779,300500,480000
ARDS AND NORTH DOWN,BALLYCROCHAN,2023,All Sales,29,.,.,.,.,.,.
ARDS AND NORTH DOWN,BALLYGOWAN,2005,All Sales,51,62500,106033,137725,164952,191250,425000
ARDS AND NORTH DOWN,BALLYGOWAN,2006,All Sales,73,36666,130000,171000,185678,220000,445500
ARDS AND NORTH DOWN,BALLYGOWAN,2007,All Sales,46,75000,175000,230000,289560,345000,730000
ARDS AND NORTH DOWN,BALLYGOWAN,2008,All Sales,11,.,.,.,.,.,.
ARDS AND NORTH DOWN,BALLYGOWAN,2009,All Sales,24,.,.,.,.,.,.
ARDS AND NORTH DOWN,BALLYGOWAN,2010,All Sales,15,.,.,.,.,.,.
ARDS AND NORTH DOWN,BALLYGOWAN,2011,All Sales,32,66000,110000,140000,154692,171250,340000
ARDS AND NORTH DOWN,BALLYGOWAN,2012,All Sales,19,.,.,.,.,.,.
ARDS AND NORTH DOWN,BALLYGOWAN,2013,All Sales,39,62000,98000,121875,144461,180000,380000
ARDS AND NORTH DOWN,BALLYGOWAN,2014,All Sales,51,43750,97500,128000,140337,164319,360000
ARDS AND NORTH DOWN,BALLYGOWAN,2015,All Sales,69,47000,106000,135000,144388,165000,350000
ARDS AND NORTH DOWN,BALLYGOWAN,2016,All Sales,80,60000,121500,143581,152473,164746,345000
ARDS AND NORTH DOWN,BALLYGOWAN,2017,All Sales,62,48584,130000,143500,161416,171000,395000
ARDS AND NORTH DOWN,BALLYGOWAN,2018,All Sales,81,60000,135000,158508,170532,201960,425000
ARDS AND NORTH DOWN,BALLYGOWAN,2019,All Sales,79,74000,140000,157500,171839,187500,350000
