District,SaleYr,Type,LGD_VerifiedSales,Reporting_MinPrice,Reporting_LQPrice,Reporting_MedianPrice,Reporting_MeanPrice,Reporting_UQPrice,Reporting_MaxPrice
"NEWRY, MOURNE AND DOWN",2005,All Sales,2039,37500,97500,125000,135872,158000,630000
"NEWRY, MOURNE AND DOWN",2006,All Sales,2779,46250,122619,155000,171728,198600,1200000
"NEWRY, MOURNE AND DOWN",2007,All Sales,1977,43500,162000,200000,221676,250000,1262500
"NEWRY, MOURNE AND DOWN",2008,All Sales,800,50000,145000,185000,205619,245000,850000
"NEWRY, MOURNE AND DOWN",2009,All Sales,827,50000,122000,150000,161086,185000,675000
"NEWRY, MOURNE AND DOWN",2010,All Sales,687,41000,100000,131500,143685,170000,495000
"NEWRY, MOURNE AND DOWN",2011,All Sales,755,40000,84500,120000,131613,160000,1000000
"NEWRY, MOURNE AND DOWN",2012,All Sales,920,30000,74000,105000,116748,140000,512500
"NEWRY, MOURNE AND DOWN",2013,All Sales,1157,22000,70000,100000,113066,140000,400000
"NEWRY, MOURNE AND DOWN",2014,All Sales,1544,31000,82000,115000,123417,148500,500000
"NEWRY, MOURNE AND DOWN",2015,All Sales,1661,36250,85000,120000,129478,150000,480000
"NEWRY, MOURNE AND DOWN",2016,All Sales,1676,40000,93000,125000,133924,155000,650000
"NEWRY, MOURNE AND DOWN",2017,All Sales,1828,40000,104000,132000,140871,165000,540000
"NEWRY, MOURNE AND DOWN",2018,All Sales,2003,43949,105000,138500,146534,168350,650000
"NEWRY, MOURNE AND DOWN",2019,All Sales,1854,45000,110000,143000,153400,178027,715000
"NEWRY, MOURNE AND DOWN",2020,All Sales,1564,42500,120000,150000,166393,195000,1000000
"NEWRY, MOURNE AND DOWN",2021,All Sales,2091,40000,130000,165000,182628,214975,1100000
"NEWRY, MOURNE AND DOWN",2022,All Sales,1876,50000,130000,170500,189514,223000,1075000
"NEWRY, MOURNE AND DOWN",2023,All Sales,1587,45000,133500,173000,193100,234000,999000
