District,SaleYr,Type,LGD_VerifiedSales,Reporting_MinPrice,Reporting_LQPrice,Reporting_MedianPrice,Reporting_MeanPrice,Reporting_UQPrice,Reporting_MaxPrice
"NEWRY, MOURNE AND DOWN",2005,RURAL,1020,45000,98250,122750,140808,165000,630000
"NEWRY, MOURNE AND DOWN",2006,RURAL,1340,49250,123882,157000,180757,215000,1200000
"NEWRY, MOURNE AND DOWN",2007,RURAL,950,43500,168000,210000,238234,277000,1262500
"NEWRY, MOURNE AND DOWN",2008,RURAL,449,60000,150000,190000,216816,249600,850000
"NEWRY, MOURNE AND DOWN",2009,RURAL,396,55000,130000,150000,170447,195000,675000
"NEWRY, MOURNE AND DOWN",2010,RURAL,348,47947,110810,136000,153073,185000,495000
"NEWRY, MOURNE AND DOWN",2011,RURAL,393,40000,90000,125000,143362,180000,1000000
"NEWRY, MOURNE AND DOWN",2012,RURAL,448,30000,81000,117000,132454,166800,512500
"NEWRY, MOURNE AND DOWN",2013,RURAL,563,30000,78750,110000,123713,155500,400000
"NEWRY, MOURNE AND DOWN",2014,RURAL,751,37000,92000,120000,136086,165000,500000
"NEWRY, MOURNE AND DOWN",2015,RURAL,859,40000,93000,125000,140535,175000,480000
"NEWRY, MOURNE AND DOWN",2016,RURAL,847,40000,102477,128000,146238,175000,650000
"NEWRY, MOURNE AND DOWN",2017,RURAL,916,50000,109500,135000,147747,170000,540000
"NEWRY, MOURNE AND DOWN",2018,RURAL,1078,43949,112875,142000,156602,180000,650000
"NEWRY, MOURNE AND DOWN",2019,RURAL,970,49500,116000,149500,164627,190000,715000
"NEWRY, MOURNE AND DOWN",2020,RURAL,788,42500,125000,155000,179932,223500,1000000
"NEWRY, MOURNE AND DOWN",2021,RURAL,1105,40000,135000,170000,196785,240000,1100000
"NEWRY, MOURNE AND DOWN",2022,RURAL,957,55000,136000,176000,201416,245000,780000
"NEWRY, MOURNE AND DOWN",2023,RURAL,796,65000,137500,175000,201756,240000,635000
