District,SaleYr,Type,LGD_VerifiedSales,Reporting_MinPrice,Reporting_LQPrice,Reporting_MedianPrice,Reporting_MeanPrice,Reporting_UQPrice,Reporting_MaxPrice
ARDS AND NORTH DOWN,2005,Existing Dwelling,2713,39000,90000,117500,140329,166125,750000
ARDS AND NORTH DOWN,2006,Existing Dwelling,3828,36040,116000,147000,173415,200000,1030000
ARDS AND NORTH DOWN,2007,Existing Dwelling,2947,45000,160000,205000,252117,290000,2800000
ARDS AND NORTH DOWN,2008,Existing Dwelling,965,33250,139000,180000,227346,250000,1750000
ARDS AND NORTH DOWN,2009,Existing Dwelling,1084,46000,118000,145900,172336,200000,650000
ARDS AND NORTH DOWN,2010,Existing Dwelling,1023,45000,108000,140000,176494,210000,1250000
ARDS AND NORTH DOWN,2011,Existing Dwelling,1087,32000,90000,125000,149553,182000,820000
ARDS AND NORTH DOWN,2012,Existing Dwelling,1317,25000,82000,115000,138266,165000,850000
ARDS AND NORTH DOWN,2013,Existing Dwelling,1703,30000,79000,112500,135623,165000,985000
ARDS AND NORTH DOWN,2014,Existing Dwelling,2205,21000,87500,122500,148006,176000,1200000
ARDS AND NORTH DOWN,2015,Existing Dwelling,2001,39500,91500,125000,154285,186000,1250000
ARDS AND NORTH DOWN,2016,Existing Dwelling,2289,40000,95000,130000,156298,185000,1550000
ARDS AND NORTH DOWN,2017,Existing Dwelling,2300,40500,97500,132000,154721,180000,1150000
ARDS AND NORTH DOWN,2018,Existing Dwelling,2363,50000,102000,135250,163251,195000,1250000
ARDS AND NORTH DOWN,2019,Existing Dwelling,2398,44000,105000,139000,167808,196000,2612500
ARDS AND NORTH DOWN,2020,Existing Dwelling,1988,52000,112000,146250,181049,217000,2749000
ARDS AND NORTH DOWN,2021,Existing Dwelling,3192,55000,123000,165000,204987,249950,2950000
ARDS AND NORTH DOWN,2022,Existing Dwelling,2697,52500,125000,169950,207082,245000,2050000
ARDS AND NORTH DOWN,2023,Existing Dwelling,2180,55000,129950,173000,211067,250000,1787500
