pc_district,count
BT1,8
BT11,8
BT12,13
BT13,4
BT14,8
BT17,5
BT19,1
BT2,9
BT22,18
BT23,6
BT24,6
BT26,1
BT28,23
BT29,15
BT3,1427
BT30,7
BT31,7
BT32,7
BT33,6
BT34,106
BT35,64
BT36,3
BT37,27
BT38,10
BT39,6
BT40,10
BT41,11
BT42,18
BT43,6
BT44,54
BT45,34
BT46,32
BT47,10
BT48,69
BT49,11
BT5,2
BT51,18
BT53,31
BT54,7
BT56,2
BT57,4
BT60,24
BT61,308
BT62,29
BT63,1
BT66,2
BT67,31
BT68,3
BT7,2
BT70,30
BT71,70
BT74,13
BT76,1
BT77,1
BT78,15
BT79,27
BT8,7
BT80,15
BT81,27
BT82,9
BT9,9
BT92,18
BT93,15
BT94,10
NO,7
