pc_district,count
BT1,8
BT11,11
BT12,13
BT13,8
BT14,11
BT15,58
BT17,9
BT19,2
BT2,1380
BT22,20
BT23,7
BT24,3
BT26,1
BT28,34
BT29,17
BT3,79
BT30,7
BT31,5
BT32,7
BT33,6
BT34,110
BT35,74
BT36,2
BT37,33
BT38,12
BT39,6
BT40,17
BT41,8
BT42,10
BT43,5
BT44,53
BT45,46
BT46,29
BT47,19
BT48,78
BT49,14
BT5,1
BT51,14
BT52,6
BT53,35
BT54,5
BT56,2
BT57,3
BT6,2
BT60,27
BT61,850
BT62,29
BT63,1
BT65,2
BT66,2
BT67,28
BT68,5
BT7,3
BT70,35
BT71,66
BT74,21
BT76,1
BT77,1
BT78,16
BT79,26
BT8,4
BT80,18
BT81,33
BT82,17
BT9,10
BT92,21
BT93,16
BT94,6
