Senior Official (SCS2 and above),Date,Person or organisation that offered hospitality,Type of hospitality received,"Accompanied by spouse, family member(s) or friend?"
Adam Altoft,Nil return,Nil return,Nil return,Nil return
Adrian Hannell,Nil return,Nil return,Nil return,Nil return
Aidan Reilly,Nil return,Nil return,Nil return,Nil return
Alan Evans,Nil return,Nil return,Nil return,Nil return
Alice Gunn,Nil return,Nil return,Nil return,Nil return
Alice Maynard,Nil return,Nil return,Nil return,Nil return
Alison Bexfield,Nil return,Nil return,Nil return,Nil return
Andres Honeywell,Nil return,Nil return,Nil return,Nil return
Andy Leggett,Nil return,Nil return,Nil return,Nil return
Angela MacDonald,29/09/2021,National Leadership Centre,Dinner - evening meal (after dinner speech),No
Ann Conway-Hughes,Nil return,Nil return,Nil return,Nil return
Antony Collard,Nil return,Nil return,Nil return,Nil return
Aydin Sheibani,Nil return,Nil return,Nil return,Nil return
Carol Bristow,Nil return,Nil return,Nil return,Nil return
Catherine Blair,Nil return,Nil return,Nil return,Nil return
Cerys McDonald,Nil return,Nil return,Nil return,Nil return
Claire McGuckin,Nil return,Nil return,Nil return,Nil return
Colin Casse,Nil return,Nil return,Nil return,Nil return
Craig Ogilvie,Nil return,Nil return,Nil return,Nil return
Daljit Rehal,Nil return,Nil return,Nil return,Nil return
David Cooper,Nil return,Nil return,Nil return,Nil return
David Jones,Nil return,Nil return,Nil return,Nil return
Denise Dourado,Nil return,Nil return,Nil return,Nil return
Denise Rae-Murray,Nil return,Nil return,Nil return,Nil return
Elizabeth Fullerton-Rome,Nil return,Nil return,Nil return,Nil return
Emily Antcliffe,Nil return,Nil return,Nil return,Nil return
Esther Wallington,Nil return,Nil return,Nil return,Nil return
Gill Evans,Nil return,Nil return,Nil return,Nil return
Hannah Watson,Nil return,Nil return,Nil return,Nil return
Hitesh Patel,Nil return,Nil return,Nil return,Nil return
Ian Marshall,Nil return,Nil return,Nil return,Nil return
Jane Whittaker,Nil return,Nil return,Nil return,Nil return
Janet Alexander,Nil return,Nil return,Nil return,Nil return
Jayne-Anne Gadhia,Nil return,Nil return,Nil return,Nil return
Jim Harra,Nil return,Nil return,Nil return,Nil return
Jo Wakeman,Nil return,Nil return,Nil return,Nil return
Joanna Rowland,Nil return,Nil return,Nil return,Nil return
John Evans,Nil return,Nil return,Nil return,Nil return
Jon Sherman,Nil return,Nil return,Nil return,Nil return
Julie Etheridge,28/09/2021,Fujitsu,Post workshop drinks- Wine,No
Juliette Scott,Nil return,Nil return,Nil return,Nil return
Justin Holliday,Nil return,Nil return,Nil return,Nil return
Kate Tilley,Nil return,Nil return,Nil return,Nil return
Katherine Green,Nil return,Nil return,Nil return,Nil return
Kelly Paterson,Nil return,Nil return,Nil return,Nil return
Kerrie Spendiff,Nil return,Nil return,Nil return,Nil return
Lucy Pink,Nil return,Nil return,Nil return,Nil return
Marc Gill,Nil return,Nil return,Nil return,Nil return
Mark Wilson,Nil return,Nil return,Nil return,Nil return
Martin Coombs,Nil return,Nil return,Nil return,Nil return
Mary Aiston,Nil return,Nil return,Nil return,Nil return
Mary Barber,Nil return,Nil return,Nil return,Nil return
Matt Vick,Nil return,Nil return,Nil return,Nil return
Maurice Mattholie,Nil return,Nil return,Nil return,Nil return
Michael Hearty,Nil return,Nil return,Nil return,Nil return
Mike Shipp,Nil return,Nil return,Nil return,Nil return
Myrtle Lloyd,Nil return,Nil return,Nil return,Nil return
Nic Harrison,Nil return,Nil return,Nil return,Nil return
Nicole Newbury,Nil return,Nil return,Nil return,Nil return
Nigel Green,Nil return,Nil return,Nil return,Nil return
Oliver Fisher,Nil return,Nil return,Nil return,Nil return
Patricia Gallan,Nil return,Nil return,Nil return,Nil return
Patrick Whittome,Nil return,Nil return,Nil return,Nil return
Paul Morton,Nil return,Nil return,Nil return,Nil return
Paul Riley,Nil return,Nil return,Nil return,Nil return
Penny Ciniewicz,Nil return,Nil return,Nil return,Nil return
Poli Stuart-Lacey,Nil return,Nil return,Nil return,Nil return
Richard Forster,Nil return,Nil return,Nil return,Nil return
Richard Las,Nil return,Nil return,Nil return,Nil return
Richard West,Nil return,Nil return,Nil return,Nil return
Rob Jones,Nil return,Nil return,Nil return,Nil return
Ruth Stanier,Nil return,Nil return,Nil return,Nil return
Saghir Akbar,Nil return,Nil return,Nil return,Nil return
Samantha Pullin,Nil return,Nil return,Nil return,Nil return
Sarah Goom,Nil return,Nil return,Nil return,Nil return
Sarah McMann,Nil return,Nil return,Nil return,Nil return
Simon York,Nil return,Nil return,Nil return,Nil return
Sophie Dean,Nil return,Nil return,Nil return,Nil return
Steve Long,Nil return,Nil return,Nil return,Nil return
Steve Timewell,Nil return,Nil return,Nil return,Nil return
Steve Walters,Nil return,Nil return,Nil return,Nil return
Susan Roberts,Nil return,Nil return,Nil return,Nil return
Thomas Taylor,Nil return,Nil return,Nil return,Nil return
Tim Addison,Nil return,Nil return,Nil return,Nil return
Tim Lai,Nil return,Nil return,Nil return,Nil return
Tim East,Nil return,Nil return,Nil return,Nil return
Toni Court,Nil return,Nil return,Nil return,Nil return
